GO,ID,Description,NES,p.adjust,core_enrichment,Database,Description_lc,Functional_Module
GO:0007269,GO:0007269,neurotransmitter secretion,-2.104155102,0.008589736,23396/80331/9899/63908/8867/6844/10815/6853/10814/8541/6854/127833/6616/6804/27445/5864/6857/134957/6812/9066/8618/28964/57512/22895,GOBP,neurotransmitter secretion,Synaptic regulation
GO:0099643,GO:0099643,signal release from synapse,-2.104155102,0.008589736,23396/80331/9899/63908/8867/6844/10815/6853/10814/8541/6854/127833/6616/6804/27445/5864/6857/134957/6812/9066/8618/28964/57512/22895,GOBP,signal release from synapse,Synaptic regulation
GO:0009636,GO:0009636,response to toxic substance,2.053992662,0.008589736,3240/1291/4129/2944/5445/1356/10935/1312/1728/4747/4155/2052/6648/210/348/128/9588/847/1267/6647/2950/445/2876/3045/1066/2098/3039/3043,GOBP,response to toxic substance,Unclassified
GO:0006887,GO:0006887,exocytosis,-1.863045721,0.008589736,8775/10987/10890/6622/112476/5874/2243/60412/5582/164/10652/7447/112755/5899/23396/80331/5058/9522/9899/9146/63908/27183/80725/8867/10015/9515/6844/10815/6853/10814/11031/8541/6854/4905/127833/4067/2244/6616/84258/6804/27445/8723/5864/55512/23122/6857/11151/115827/134957/5532/6812/9066/8618/28964/22895,GOBP,exocytosis,Synaptic regulation
GO:0097237,GO:0097237,cellular response to toxic substance,2.111647168,0.009304443,3240/2944/1356/10935/1728/6648/348/128/9588/847/6647/2950/2876/3045/2098/3039/3043/5052/2947/216,GOBP,cellular response to toxic substance,Unclassified
GO:0030695,GO:0030695,GTPase regulator activity,-2.528040582,2.80E-06,9515/57580/8567/23380/5902/5910/23365/1983/9922/10059/23236/23108/9901/23637/6305/134957/394/6904/5909/11033/23362/28964/10681/6000/8874,GOMF,gtpase regulator activity,Unclassified
GO:0060589,GO:0060589,nucleoside-triphosphatase regulator activity,-2.528040582,2.80E-06,9515/57580/8567/23380/5902/5910/23365/1983/9922/10059/23236/23108/9901/23637/6305/134957/394/6904/5909/11033/23362/28964/10681/6000/8874,GOMF,nucleoside-triphosphatase regulator activity,Mitochondria and metabolism
GO:0008047,GO:0008047,enzyme activator activity,-2.233484972,7.31E-05,10006/2534/9515/350/57580/5529/8567/23380/3672/5605/5902/23365/5604/28988/261726/1983/10059/23236/23108/9901/23637/5581/134957/394/6904/5909/11033/28964/9475/10681/5300/6000/57512,GOMF,enzyme activator activity,Unclassified
GO:0003924,GO:0003924,GTPase activity,-2.227103592,7.31E-05,2782/403/2775/22808/81876/201475/5898/56681/10383/5868/5870/391/10376/2783/5878/3265/11076/1917/998/2909/53916/10890/5861/51560/5862/5879/5874/51552/7280/10381/5899/22931/375/2770/388/2935/11021/11031/26052/2794/51062/381/10059/5864/22800/2781/1759/115827/394/5909/10681/6000,GOMF,gtpase activity,Unclassified
GO:0005096,GO:0005096,GTPase activator activity,-2.382500786,0.00010657,9515/57580/23380/5902/23365/1983/10059/23236/23108/9901/23637/134957/394/6904/5909/11033/28964/10681/6000,GOMF,gtpase activator activity,Unclassified
GO:0019001,GO:0019001,guanyl nucleotide binding,-2.129643755,0.000285441,2775/22808/81876/201475/5898/56681/10383/5868/5870/391/10376/3320/5878/3265/1917/998/2288/29789/2909/53916/10890/126298/5861/51560/7277/5862/309/5879/5874/51552/7280/10381/5899/22931/375/2770/30845/388/55915/8396/2935/11021/51143/11031/26052/2794/51062/381/1983/10059/5864/22800/2781/1759/115827/5138,GOMF,guanyl nucleotide binding,Unclassified
GO:0032561,GO:0032561,guanyl ribonucleotide binding,-2.129643755,0.000285441,2775/22808/81876/201475/5898/56681/10383/5868/5870/391/10376/3320/5878/3265/1917/998/2288/29789/2909/53916/10890/126298/5861/51560/7277/5862/309/5879/5874/51552/7280/10381/5899/22931/375/2770/30845/388/55915/8396/2935/11021/51143/11031/26052/2794/51062/381/1983/10059/5864/22800/2781/1759/115827/5138,GOMF,guanyl ribonucleotide binding,Unclassified
GO:0005201,GO:0005201,extracellular matrix structural constituent,2.224517734,0.00078169,2200/1292/1291/1293/3915/3913/3908/2266/1462/3911/176,GOMF,extracellular matrix structural constituent,Extracellular matrix and adhesion
GO:0005525,GO:0005525,GTP binding,-2.057420547,0.00078169,2775/22808/81876/201475/5898/56681/10383/5868/5870/391/10376/3320/5878/3265/1917/998/2288/29789/2909/53916/10890/126298/5861/51560/7277/5862/309/5879/5874/51552/7280/10381/5899/22931/375/2770/30845/388/55915/8396/2935/11021/11031/26052/2794/51062/381/1983/10059/5864/22800/2781/1759/115827,GOMF,gtp binding,Unclassified
GO:0004866,GO:0004866,endopeptidase inhibitor activity,2.150574947,0.000863675,2/351/1293/5265/718/720/1992/302/27344/6653/1471/12/5621,GOMF,endopeptidase inhibitor activity,Peptidase activity
GO:0005178,GO:0005178,integrin binding,2.081410991,0.001676797,2200/351/3913/3679/3383/3673/5034/102/3936/2246/811/3688/83700/928/3911/3684/2670/3689/5803/3655/3691/7402/7094/3339,GOMF,integrin binding,Extracellular matrix and adhesion
GO:0030414,GO:0030414,peptidase inhibitor activity,2.168623435,0.001801436,2/351/1293/5265/718/720/1992/302/27344/6653/1471/12/5621,GOMF,peptidase inhibitor activity,Peptidase activity
GO:0061134,GO:0061134,peptidase regulator activity,2.106053838,0.001801436,2/351/1293/5265/718/720/1992/302/5720/27344/6653/1471/12/5621/3329/5721/5269/4057,GOMF,peptidase regulator activity,Peptidase activity
GO:0061135,GO:0061135,endopeptidase regulator activity,2.136075115,0.001902797,2/351/1293/5265/718/720/1992/302/5720/27344/6653/1471/12/5621/3329/5721/5269/4057,GOMF,endopeptidase regulator activity,Peptidase activity
GO:0004867,GO:0004867,serine-type endopeptidase inhibitor activity,2.092202739,0.002164689,2/351/1293/5265/1992/302/27344,GOMF,serine-type endopeptidase inhibitor activity,Peptidase activity
GO:0004857,GO:0004857,enzyme inhibitor activity,1.934185194,0.002924892,2/351/1293/5265/718/720/306/1992/302/5788/301/8826/27344/6418/3309/3315/307/6653/7184/1471/308/12/5621,GOMF,enzyme inhibitor activity,Peptidase activity
GO:0016773,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",-1.959127098,0.003823629,23396/283209/5058/8566/1457/5214/5211/7525/2534/8396/6416/5605/22848/57118/5604/4067/5602/9201/2043/166614/5581/814/9475/5297,GOMF,"phosphotransferase activity, alcohol group as acceptor",Unclassified
GO:0046914,GO:0046914,transition metal ion binding,1.918007265,0.004177694,351/1356/6285/8639/759/811/51056/7018/760/22933/2992/3422/6648/2495/10493/1429/1368/8411/9104/210/6279/2512/28970/4012/7402/128/388753/1465/5621/1363/6647/1837/23549/4835/3612/4057,GOMF,transition metal ion binding,Unclassified
GO:0004672,GO:0004672,protein kinase activity,-2.028829519,0.005342999,5058/1457/7525/2534/6416/5605/22848/57118/5604/4067/5602/9201/2043/166614/5581/814/9475,GOMF,protein kinase activity,Peptidase activity
GO:0004930,GO:0004930,G protein-coupled receptor activity,-2.123393141,0.007284733,23284/57528/2550/9568/2912/2913/57512,GOMF,g protein-coupled receptor activity,Unclassified
GO:0005788,GO:0005788,endoplasmic reticulum lumen,2.704063012,1.85E-08,2200/1292/351/29106/1291/1293/5265/1356/718/720/3915/5589/3913/8404/9601/2266/5034/102/23193/1462/10130/811/7018/3309/2923/5479/821/7184/1471/1605/813/10961/348,GOCC,endoplasmic reticulum lumen,Endoplasmic reticulum and secretory pathway
GO:0030312,GO:0030312,external encapsulating structure,2.52404737,1.85E-08,2200/2/1292/1291/1293/954/5265/3915/3959/60484/3913/3908/8404/2266/3383/7143/3263/1992/5004/302/301/2246/1462/811/5660/3911/176/307/6279/7184/5803/1605/308/1508/3691/348/12/3068/3339/249/3897/5269/7052/22795/1509/63827,GOCC,external encapsulating structure,Extracellular matrix and adhesion
GO:0031012,GO:0031012,extracellular matrix,2.52404737,1.85E-08,2200/2/1292/1291/1293/954/5265/3915/3959/60484/3913/3908/8404/2266/3383/7143/3263/1992/5004/302/301/2246/1462/811/5660/3911/176/307/6279/7184/5803/1605/308/1508/3691/348/12/3068/3339/249/3897/5269/7052/22795/1509/63827,GOCC,extracellular matrix,Extracellular matrix and adhesion
GO:0062023,GO:0062023,collagen-containing extracellular matrix,2.520617249,1.85E-08,2200/2/1292/1291/1293/954/5265/3915/3959/60484/3913/3908/8404/2266/3383/7143/3263/1992/5004/302/301/1462/811/5660/3911/176/307/6279/7184/5803/1605/308/1508/3691/348/12/3068/3339/3897/5269/7052/22795/1509/63827,GOCC,collagen-containing extracellular matrix,Extracellular matrix and adhesion
GO:0042734,GO:0042734,presynaptic membrane,-2.438463373,2.66E-06,1173/492/5789/1212/6616/57528/491/2550/6326/2043/401190/6857/1759/6812/9066/2912/9829/5802/10681/5138/2913/57512/84628,GOCC,presynaptic membrane,Synaptic regulation
GO:0072562,GO:0072562,blood microparticle,2.379583054,3.66E-06,3240/2/1356/3507/718/720/3959/3306/3514/2266/3500/3263/3493/5004/7018/3502/308/6521/1192/2040/348/12/4478,GOCC,blood microparticle,Unclassified
GO:0009897,GO:0009897,external side of plasma membrane,2.270256339,1.45E-05,4340/361/3679/2266/3383/4162/3673/5034/5788/3123/811/3916/3688/928/4897/3684/3689/824/1605/3655/2209/308/1508/5027/5621,GOCC,external side of plasma membrane,Extracellular matrix and adhesion
GO:0070382,GO:0070382,exocytic vesicle,-2.070644332,0.000394168,8417/9892/388662/10987/10890/6622/535/2572/112476/162/5874/11311/1211/51382/80331/9522/9899/57030/490/6844/6853/23673/1173/160/6854/127833/1212/6616/84258/6804/9922/10059/23312/5864/81565/6857/115827/134957/10947/8927/9066/1742/5802/22895,GOCC,exocytic vesicle,Extracellular matrix and adhesion
GO:0005740,GO:0005740,mitochondrial envelope,2.03181559,0.000394168,351/4129/4128/293/7385/7384/94081/1329/4719/23446/7417/2820/3032/7416/55847/1340/1727/8604/5250/291/3030/10493/1327/4704/821/3098/9377/388753/5621/3329/4976/1267/6647/249/1537/445,GOCC,mitochondrial envelope,Mitochondria and metabolism
GO:0030672,GO:0030672,synaptic vesicle membrane,-2.1974918,0.000474266,6622/535/2572/112476/5874/1211/51382/80331/9522/9899/57030/490/6844/6853/23673/6854/127833/1212/6804/10059/23312/5864/6857/115827/8927/9066/5802/22895,GOCC,synaptic vesicle membrane,Synaptic regulation
GO:0099501,GO:0099501,exocytic vesicle membrane,-2.1974918,0.000474266,6622/535/2572/112476/5874/1211/51382/80331/9522/9899/57030/490/6844/6853/23673/6854/127833/1212/6804/10059/23312/5864/6857/115827/8927/9066/5802/22895,GOCC,exocytic vesicle membrane,Extracellular matrix and adhesion
GO:0008021,GO:0008021,synaptic vesicle,-2.058284438,0.000474266,8417/9892/388662/10987/6622/535/2572/112476/162/5874/11311/1211/51382/80331/9522/9899/57030/490/6844/6853/23673/1173/160/6854/127833/1212/6616/6804/9922/10059/23312/5864/81565/6857/115827/134957/10947/8927/9066/1742/5802/22895,GOCC,synaptic vesicle,Synaptic regulation
GO:0031966,GO:0031966,mitochondrial membrane,2.028929575,0.000506222,351/4129/4128/293/7385/7384/94081/1329/4719/23446/7417/2820/3032/7416/55847/1340/1727/8604/5250/291/3030/10493/1327/4704/821/3098/9377/5621/3329/4976/1267/249/1537/445,GOCC,mitochondrial membrane,Mitochondria and metabolism
GO:0045211,GO:0045211,postsynaptic membrane,-2.147438794,0.000510436,1739/6529/1627/3778/1399/287/288/2891/107/23380/26052/57528/491/2550/2043/9568/401190/6857/2912/1742/5802/10681/1741/2913/57512/22895,GOCC,postsynaptic membrane,Synaptic regulation
GO:0005775,GO:0005775,vacuolar lumen,2.018159169,0.000765434,718/427/302/950/1462/23593/1200/5538/5660/2992/1727/2548/176/10493/23646/2512/1508/12/55313/9588/3339/54749/3074/2171/3920/11240/1509/63827/8836/5834/29952,GOCC,vacuolar lumen,Extracellular matrix and adhesion
GO:0140534,GO:0140534,endoplasmic reticulum protein-containing complex,2.070620074,0.002547121,5589/5034/23193/10130/811/3309/2923/5479/7184,GOCC,endoplasmic reticulum protein-containing complex,Endoplasmic reticulum and secretory pathway
GO:0031045,GO:0031045,dense core granule,-2.097793792,0.003008857,547/127833/23312/6857/134957/9066/8618,GOCC,dense core granule,Extracellular matrix and adhesion
GO:1990204,GO:1990204,oxidoreductase complex,2.086939984,0.003008857,7385/7384/5034/1329/4719/3032/1340/1727/3030/1327/4704/1536/9377/5160/847/1537,GOCC,oxidoreductase complex,Mitochondria and metabolism
GO:0005743,GO:0005743,mitochondrial inner membrane,2.02980269,0.003008857,351/293/7385/7384/94081/1329/4719/2820/3032/1340/8604/5250/291/3030/1327/4704/9377/3329/4976/1267,GOCC,mitochondrial inner membrane,Mitochondria and metabolism
GO:0019866,GO:0019866,organelle inner membrane,2.015564284,0.003008857,351/293/7385/7384/94081/1329/4719/2820/3032/1340/8604/5250/291/3030/1327/4704/9377/3329/4976/1267,GOCC,organelle inner membrane,Mitochondria and metabolism
hsa04721,hsa04721,Synaptic vesicle cycle,-2.345283089,0.0003863,1213/8775/6506/535/1211/51382/112755/163/6529/57030/161/6844/10815/10814/1173/160/4905/26052/1212/6616/6804/5864/6857/1759/6812,KEGG,synaptic vesicle cycle,Synaptic regulation
hsa04144,hsa04144,Endocytosis,-2.102873971,0.0003863,9798/3312/5878/3265/998/29924/1213/6642/10890/11311/112936/84313/9559/1211/58513/55737/9135/375/23396/163/9146/161/27183/30845/57180/10015/6456/11021/6455/1173/11031/160/26052/51100/56904/51699/1212/381/6457/9922/8723/1759/23362/28964/9829/51534/3800,KEGG,endocytosis,Unclassified
hsa04512,hsa04512,ECM-receptor interaction,2.183371657,0.000615607,960/1292/1291/1293/3915/3913/3908/3679/7143/3673/3688/3911/1605/3655/3691,KEGG,ecm-receptor interaction,Extracellular matrix and adhesion
hsa01100,hsa01100,Metabolic pathways,1.727321464,0.000615607,4129/2944/954/4128/7385/7384/5730/427/1329/8639/759/23193/4719/113026/443/1312/1728/51056/5538/3032/760/4507/22933/2992/1340/501/3422/6888/5860/2548/3030/29968/23646/1327/23475/11112/4704/133121/9104/210/22978/11164/22908/29925/3098/51084/3295/10840/5333/9377/128/5160/952/5305/9588/847/873/3074/5238/2950/875/249/683/8991/3033/8644/55748/1537/1431/4860/445/3612/134147/2876/223/8659/22875/2746/51144/26227/51292/231/25796/653689/55361/50/132789/2098/9380/10135/5834/2729/953/5092/51181/5208/217/5338/10007/2806/80347/10606/874/2947/3176/216/1892/10654/9296,KEGG,metabolic pathways,Mitochondria and metabolism
hsa04820,hsa04820,Cytoskeleton in muscle cells,1.922265112,0.00375615,2200/1292/1291/1293/3908/3679/3673/1462/3688/4629/6641/1832/1605/7414/3655/483/3691/1465/7094/3339/1837/3728,KEGG,cytoskeleton in muscle cells,Unclassified
hsa05222,hsa05222,Small cell lung cancer,2.029366877,0.015228025,3915/3913/3908/3673/3688/3911/3655,KEGG,small cell lung cancer,Unclassified
hsa05208,hsa05208,Chemical carcinogenesis - reactive oxygen species,1.932643491,0.018134139,2944/293/7385/7384/1329/4719/7417/1728/7416/1340/2052/6648/291/1327/4704/9377/847/873/6647/8644/1537/1956,KEGG,chemical carcinogenesis - reactive oxygen species,Mitochondria and metabolism
hsa05150,hsa05150,Staphylococcus aureus infection,1.95603302,0.027176649,718/720/2266/3383/3123/3684/3689/2209,KEGG,staphylococcus aureus infection,Immune Response and Regulation
hsa05171,hsa05171,Coronavirus disease - COVID-19,1.842248095,0.027837951,718/720/2266/6772/6147/6138/1536/6142/6181/6129/6139/6122/6136/6137/6130/1956/6175/6210/6233/5595/100529239/6124,KEGG,coronavirus disease - covid-19,Immune Response and Regulation
hsa04610,hsa04610,Complement and coagulation cascades,1.952802327,0.029166076,2/5265/718/720/2266/3684/3689,KEGG,complement and coagulation cascades,Immune Response and Regulation
hsa04072,hsa04072,Phospholipase D signaling pathway,-1.904095781,0.032909848,108/5781/5899/375/23396/2534/107/5605/26052/5604/23236/22800/1759/2912/2913,KEGG,phospholipase d signaling pathway,Unclassified
hsa04961,hsa04961,Endocrine and other factor-regulated calcium reabsorption,-1.894678762,0.032909848,477/1213/793/476/5582/1211/6546/163/490/6543/161/1173/160/492/26052/1212/491/23236/1759,KEGG,endocrine and other factor-regulated calcium reabsorption,Unclassified
hsa05415,hsa05415,Diabetic cardiomyopathy,1.826660554,0.037069852,293/7385/7384/1329/4719/7417/7416/1340/291/1327/4704/1536/9377/5160,KEGG,diabetic cardiomyopathy,Unclassified
hsa04724,hsa04724,Glutamatergic synapse,-1.810750521,0.037069852,6506/2786/5582/108/2788/2752/5530/2770/57030/2891/107/23236/5532/2912/1742/10681/9456/2913,KEGG,glutamatergic synapse,Synaptic regulation
hsa04024,hsa04024,cAMP signaling pathway,-1.851527781,0.039382501,5879/5500/476/108/5058/2770/490/2891/107/5605/492/5604/491/2550/5602/22800/9568/814/9475,KEGG,camp signaling pathway,Unclassified
hsa05165,hsa05165,Human papillomavirus infection,1.743668952,0.039382501,1292/1291/1293/3915/3913/3908/3679/7143/3673/1499/6772/3688/3911,KEGG,human papillomavirus infection,Unclassified
hsa04510,hsa04510,Focal adhesion,1.749751044,0.042447863,1292/1291/1293/3915/3913/3908/3679/103910/7143/3673/1499/3688/2316/3911/824/7414/3655/3691/7094/2317,KEGG,focal adhesion,Extracellular matrix and adhesion
hsa05140,hsa05140,Leishmaniasis,1.928402143,0.045795297,718/3123/6772/3688/3684/3689/1536/2209/65108/5595,KEGG,leishmaniasis,Unclassified
hsa04360,hsa04360,Axon guidance,-1.725949796,0.045795297,5530/5058/2770/2534/10154/23380/23365/9901/2043/5532/9475/91584/5361/8440/84628,KEGG,axon guidance,Unclassified
hsa04640,hsa04640,Hematopoietic cell lineage,1.821254391,0.049827869,960/3673/3123/928/3684/3655/2209/952,KEGG,hematopoietic cell lineage,Unclassified
R-HSA-1474244,R-HSA-1474244,Extracellular matrix organization,2.517629061,5.73E-08,2200/960/2/1292/351/1291/1293/3915/3913/3908/3679/2266/3383/7143/3673/5034/102/1462/3688/83700/3911/176/3684/6641/5479/3689/824/1605/3655/1508/3691/7402,Reactome,extracellular matrix organization,Extracellular matrix and adhesion
R-HSA-381426,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2.382030481,2.17E-06,2200/351/29106/5265/1356/718/720/3915/5589/3913/8404/2266/5034/102/1462/10130/7018,Reactome,regulation of insulin-like growth factor (igf) transport and uptake by insulin-like growth factor binding proteins (igfbps),Unclassified
R-HSA-8957275,R-HSA-8957275,Post-translational protein phosphorylation,2.382030481,2.17E-06,2200/351/29106/5265/1356/718/720/3915/5589/3913/8404/2266/5034/102/1462/10130/7018,Reactome,post-translational protein phosphorylation,Unclassified
R-HSA-112316,R-HSA-112316,Neuronal System,-2.231498279,7.34E-06,5577/4137/7277/6506/5879/2572/2786/5582/3737/108/7280/9254/2788/2561/8514/10381/2036/2752/1740/80331/163/1739/2770/6529/57030/161/3778/5792/2891/6844/10815/6853/107/83988/1173/8541/7102/160/6854/4905/127833/5789/28988/6616/6804/23236/2550/5864/9568/6857/6812/814/9066/1742/28964/5802/10681/9456/8874/1741,Reactome,neuronal system,Synaptic regulation
R-HSA-3000178,R-HSA-3000178,ECM proteoglycans,2.252289657,4.95E-05,1292/351/1291/1293/3915/3913/3908/3679/7143/3673/1462/3688/3911/176,Reactome,ecm proteoglycans,Extracellular matrix and adhesion
R-HSA-114608,R-HSA-114608,Platelet degranulation,2.178499415,7.91E-05,2/351/29106/5265/3959/2266/5004/928/2316/7018/5660/3309/23052/7414/308/813/51097/12/8407/7094/6647/3920,Reactome,platelet degranulation,Unclassified
R-HSA-1474228,R-HSA-1474228,Degradation of the extracellular matrix,2.209624764,0.000107377,2200/960/2/1292/1291/1293/3915/102/3911/176/824/1508,Reactome,degradation of the extracellular matrix,Extracellular matrix and adhesion
R-HSA-212676,R-HSA-212676,Dopamine Neurotransmitter Release Cycle,-2.274279957,0.000192237,6844/10815/6853/8541/6854/6616/6804/5864/6857/6812,Reactome,dopamine neurotransmitter release cycle,Synaptic regulation
R-HSA-112315,R-HSA-112315,Transmission across Chemical Synapses,-2.067265461,0.000192237,5577/4137/7277/6506/5879/2572/2786/5582/108/7280/9254/2788/2561/10381/2036/2752/1740/80331/163/1739/2770/6529/57030/161/2891/6844/10815/6853/107/83988/1173/8541/7102/160/6854/4905/6616/6804/23236/2550/5864/9568/6857/6812/814/1742/28964/10681/8874/1741,Reactome,transmission across chemical synapses,Synaptic regulation
R-HSA-76005,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,2.143946684,0.00022074,2/351/29106/5265/3959/2266/5004/928/2316/7018/5660/3309/23052/7414/308/813/51097/12/8407/7094/6647/3920,Reactome,response to elevated platelet cytosolic ca2+,Unclassified
R-HSA-6794362,R-HSA-6794362,Protein-protein interactions at synapses,-2.410718751,0.000314066,2036/1740/1739/5792/8541/127833/5789/28988/6804/6857/6812/9066/1742/5802/9456/1741,Reactome,protein-protein interactions at synapses,Synaptic regulation
R-HSA-181429,R-HSA-181429,Serotonin Neurotransmitter Release Cycle,-2.281044991,0.000360349,6844/10815/6853/8541/6854/6616/6804/5864/6857/6812,Reactome,serotonin neurotransmitter release cycle,Synaptic regulation
R-HSA-216083,R-HSA-216083,Integrin cell surface interactions,2.138780826,0.000539417,2200/960/1292/1291/1293/3679/2266/3383/3673/3688/83700/3684/3689/3655,Reactome,integrin cell surface interactions,Extracellular matrix and adhesion
R-HSA-3000171,R-HSA-3000171,Non-integrin membrane-ECM interactions,2.044613465,0.001130557,3915/3913/3908/3673/3688/3911/6641/1605/3655/3691/7402/3339/1837,Reactome,non-integrin membrane-ecm interactions,Extracellular matrix and adhesion
R-HSA-112314,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,-2.033981422,0.00159716,55327/5567/805/817/2782/59345/27020/10383/10376/2783/3265/5576/5577/4137/7277/5879/2786/5582/108/7280/2788/2561/10381/2036/1740/163/1739/2770/161/2891/107/83988/1173/7102/160/4905/23236/2550/9568/814/1742/28964/10681/8874/1741,Reactome,neurotransmitter receptors and postsynaptic signal transmission,Synaptic regulation
R-HSA-9734767,R-HSA-9734767,Developmental Cell Lineages,2.046332483,0.001683501,3915/3913/3908/306/302/301/3688/760/3911/3655/3691/448834/2171,Reactome,developmental cell lineages,Unclassified
R-HSA-1430728,R-HSA-1430728,Metabolism,1.572301343,0.001683501,960/4129/2944/954/4128/5445/7385/7384/5730/427/1329/8639/759/1462/10226/8826/4719/113026/443/23446/1312/2820/6147/1728/6138/5538/3032/760/4507/7416/5660/2992/1340/2052/501/1727/3422/6888/8604/5860/291/2548/3030/176/29968/23646/1327/23475/11112/4704/133121/210/56898/55970/22978/11164/6142/6181/64077/6129/22908/3098/51084/3295/10840/5333/4035/9377/348/6139/128/6122/5160/952/5305/3339/6136/873/145482/3074/2171/6137/2950/875/683/3033/6130/8644/55748/1537/1431/4860/4835/445/3612/6175/6210/134147/5690/63827/2876/223/8659/114876/2746/51144/26227/51292/6233/231/25796/653689/55361/50/84836/1066/132789/2098/9380/5573/10135/5683/5834/6124/2729/953/5092/51181/5208/5687/217/5338/5688/10007/5686/2806/375790/80347/2778/3313/10606/874/54331/857/2947/3176/6222/5694/216,Reactome,metabolism,Mitochondria and metabolism
R-HSA-399719,R-HSA-399719,Trafficking of AMPA receptors,-2.174995072,0.002270977,5582/2036/163/1739/161/2891/1173/7102/160/4905/1742,Reactome,trafficking of ampa receptors,Unclassified
R-HSA-399721,R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",-2.174995072,0.002270977,5582/2036/163/1739/161/2891/1173/7102/160/4905/1742,Reactome,"glutamate binding, activation of ampa receptors and synaptic plasticity",Synaptic regulation
