Significant	-Log(P-value)	Difference	Gene names	Symbol color	Symbol type	Symbol size	Show label	riBAQ 17	riBAQ 18	riBAQ 35	riBAQ 36	riBAQ 19	riBAQ 20	riBAQ 21	riBAQ 22	riBAQ 23	riBAQ 37	riBAQ 38	riBAQ 39	riBAQ 40	riBAQ 41	riBAQ 24	riBAQ 25	riBAQ 26	riBAQ 42	riBAQ 43
+	2.631032381567796	1.584335407614708	ACAA2	Color2 [DarkGray]	1	4		-1.7869569063186646	NaN	-1.9613041877746582	-1.7717854976654053	-2.865365982055664	NaN	-1.2188678979873657	-2.3153059482574463	-1.042540192604065	-1.2334097623825073	-1.7279213666915894	-1.8272453546524048	-0.5357266068458557	-1.664469838142395	-0.6493951082229614	-0.19071541726589203	0.22586920857429504	-0.9165772795677185	0.25241798162460327
	-0	0.8563653528690338	ACADM	Color2 [DarkGray]	1	4		-2.7999343872070312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.77786922454834	NaN	-2.8539955615997314	-1.9038187265396118	-1.7743921279907227	NaN	-1.2420697212219238
	-0	1.7762154936790466	ACADVL	Color2 [DarkGray]	1	4		-2.908186912536621	NaN	NaN	NaN	-2.5318098068237305	NaN	-3.2924487590789795	NaN	-2.7134757041931152	-3.83113169670105	NaN	NaN	-2.64882755279541	-4.636211395263672	-1.919484257698059	-0.6149145364761353	-0.6123876571655273	-2.2340593338012695	-0.2790113091468811
	0.6261416249524978	0.8567720979452131	ACAN	Color2 [DarkGray]	1	4		2.9293527603149414	1.9894593954086304	1.0387511253356934	0.4927026629447937	1.820302128791809	2.4199368953704834	2.90913987159729	2.1340787410736084	2.4015488624572754	2.12502121925354	2.6357367038726807	2.6758005619049072	2.8594789505004883	2.2341954708099365	3.217602491378784	2.9341092109680176	3.1325817108154297	1.0967694520950317	1.965630054473877
+	1.5791045026668344	1.2815330430865288	ACAT1	Color2 [DarkGray]	1	4		-0.5787840485572815	NaN	-1.6998896598815918	-2.103264570236206	-1.6169995069503784	-2.7039568424224854	-0.6743189692497253	-1.1426670551300049	-0.5134931802749634	-1.4910105466842651	-2.308622121810913	-1.1019006967544556	-0.38675788044929504	-1.103486180305481	-0.35702911019325256	0.08339633792638779	0.1016722023487091	-0.9367551207542419	0.21315044164657593
+	2.88143797945383	-0.8528701364994049	ACAT2	Color2 [DarkGray]	1	4		0.39467233419418335	0.5413726568222046	0.6665235161781311	0.8033706545829773	0.03769503906369209	0.16785798966884613	0.27500852942466736	0.698754072189331	0.5103782415390015	0.9338170886039734	0.3445703089237213	-0.121346116065979	0.5523108839988708	1.0523756742477417	-0.15393652021884918	-0.45283469557762146	0.16904261708259583	-0.5787076354026794	-0.24049049615859985
+	2.4098726977272533	-1.1469404032453894	ACBD7	Color2 [DarkGray]	1	4		1.3342913389205933	1.2040237188339233	1.1790566444396973	1.7081644535064697	0.8355742692947388	0.361413836479187	0.6900838017463684	NaN	0.7385925054550171	1.1372863054275513	NaN	0.3749641180038452	1.3322629928588867	1.443902850151062	-0.16818155348300934	0.013224025256931782	0.271030455827713	1.035232663154602	-0.10408741235733032
+	2.807084162558055	-1.328491473197937	ACLY	Color2 [DarkGray]	1	4		-1.5676442384719849	-0.5170913934707642	-0.9833301901817322	-0.6935604214668274	-1.3170002698898315	-0.9067403078079224	-1.2402807474136353	-0.8558743000030518	-1.7954908609390259	-0.4135788381099701	-0.4994438588619232	-2.1921794414520264	-2.910320281982422	-1.4718247652053833	-1.8370219469070435	-2.7255845069885254	-2.0755615234375	-2.267742156982422	-2.43858003616333
	0.09344893994996573	-0.04279269278049469	ACO1	Color2 [DarkGray]	1	4		-0.5329228043556213	-1.2529665231704712	-1.1841015815734863	-1.1602742671966553	-1.1101692914962769	-1.356791615486145	-1.3523908853530884	-0.9311621189117432	-1.209190011024475	-0.7583902478218079	-1.192163348197937	-1.1789308786392212	-1.334634780883789	-1.218068242073059	-1.2633534669876099	-0.8518244028091431	-0.9832582473754883	-1.1505182981491089	-1.127840518951416
+	1.6756930030451518	1.2806996434926985	ACO2	Color2 [DarkGray]	1	4		2.159653663635254	0.2548726797103882	1.4740376472473145	0.6975652575492859	1.5337220430374146	0.8541668653488159	1.9276889562606812	1.4112803936004639	1.8403438329696655	1.3024550676345825	0.903692364692688	1.4787505865097046	2.2458133697509766	1.5046442747116089	2.2286765575408936	2.6166434288024902	2.782719612121582	1.7442418336868286	2.763878345489502
