GO,ID,Description,NES,p.adjust,core_enrichment,Database,Functional_Module
GO:0120111,GO:0120111,Neuron Projection Cytoplasm,-2.282303302,0.000101061,7345/4137/4130/4133/55605/8943/3208/1740/5874/3800/8120/10458/1742,GOCC,Synaptic regulation
GO:0044391,GO:0044391,Ribosomal Subunit,2.212447747,0.000103103,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,GOCC,Endoplasmic reticulum and secretory pathway
GO:0070069,GO:0070069,Cytochrome Complex,2.158907459,0.000110046,7385/7384/1327/1329/1537/1340/9377/7381/4513,GOCC,Mitochondria and metabolism
GO:0140534,GO:0140534,Endoplasmic Reticulum Protein-Containing Complex,2.187265219,0.000114132,5589/10130/2923/23193/5034/3309/811/7184/5479/51144,GOCC,Endoplasmic reticulum and secretory pathway
GO:0014069,GO:0014069,Postsynaptic Density,-2.050515985,0.000148015,2534/84966/476/28988/1739/5582/10243/4131/3337/6252/57142/375/815/5064/23413/119/6546/26052/5063/1020/491/28964/4905/10486/1740/23362/6853/8927/6854/2596/57512/6857/6543/10458/112476/9829/1742/2913/2043,GOCC,Synaptic regulation
GO:0030665,GO:0030665,Clathrin-Coated Vesicle Membrane,-2.224702087,0.000148127,529/3312/164/9296/28988/526/9114/523/535/528/1211/534/1213/11021/162/1173/51606/161/80331/29924/163/1212/160/25977/57030/6844/83988/84251/5864/8120/6456/6857,GOCC,Endoplasmic reticulum and secretory pathway
GO:0030135,GO:0030135,Coated Vesicle,-2.111272042,0.000170809,8615/529/3312/164/9296/28988/526/9114/523/535/9522/51552/528/1211/534/55690/1213/11021/162/1173/9892/51606/161/80331/29924/163/1212/8522/160/25977/57030/22848/6844/5874/83988/84251/5864/8120/6456/29993/6857/9829,GOCC,Endoplasmic reticulum and secretory pathway
GO:0098798,GO:0098798,Mitochondrial Protein-Containing Complex,2.107609343,0.000196583,3032/3030/293/10989/291/7416/11331,GOCC,Mitochondria and metabolism
GO:0022626,GO:0022626,Cytosolic Ribosome,2.234961515,0.000197721,347/6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,GOCC,Endoplasmic reticulum and secretory pathway
GO:0030118,GO:0030118,Clathrin Coat,-2.227161149,0.000197731,58513/1211/1213/162/1173/161/29924/163/1212/160/25977/83988/84251/8867,GOCC,Endoplasmic reticulum and secretory pathway
GO:0099572,GO:0099572,Postsynaptic Specialization,-1.993098255,0.000216124,2534/84966/476/28988/1739/5582/10243/4131/3337/6252/57142/375/815/5064/23413/119/6546/26052/5063/1020/491/28964/4905/10486/1740/23362/6853/8927/6854/2596/57512/6857/6543/10458/112476/9829/1742/2913/2043,GOCC,Synaptic regulation
GO:0043679,GO:0043679,Axon Terminus,-2.216318851,0.000633144,57282/805/9114/5582/6855/274/3737/7162/6546/10815/57465/23157/28964/22848/8943/6623/5864/6622/29993/6543/8867/112476/2043/10814,GOCC,Synaptic regulation
GO:0060076,GO:0060076,Excitatory Synapse,-2.236450025,0.000646952,7533/491/5534/57030/492/8927/6857/10458/10681/1742/6812/91584,GOCC,Synaptic regulation
GO:0072562,GO:0072562,Blood Microparticle,2.063770116,0.000706527,1356/3240/2/720/6521/1192/2266/718/3306/308/3959/4478/3507/23549/3263/3493/3500/3514/2040/5004,GOCC,Immune Response and Regulation
GO:0030120,GO:0030120,Vesicle Coat,-2.190621315,0.000776774,1211/1213/162/1173/161/29924/163/1212/160/25977/83988/84251,GOCC,Endoplasmic reticulum and secretory pathway
hsa05208,hsa05208,Chemical Carcinogenesis - Reactive Oxygen Species,2.631622624,3.15E-08,7385/7384/4719/293/291/1327/7417/1329/4704/6648/7416/1537/1340/9377/6389/2052/7381/7419/847/1728/8644/4513,KEGG,Mitochondria and metabolism
hsa05415,hsa05415,Diabetic Cardiomyopathy,2.435483584,2.75E-06,7385/7384/4719/293/291/1327/7417/1329/4704/7416/1537/1340/9377/6389/7381/7419/1536/4513/1509/5160,KEGG,Unclassified
hsa04932,hsa04932,Non-Alcoholic Fatty Liver Disease,2.369365559,2.75E-06,7385/7384/4719/1327/1329/4704/1537/1340/9377/6389/7381/4513,KEGG,Unclassified
hsa01100,hsa01100,Metabolic Pathways,1.901381179,7.22E-06,4129/7385/954/7384/3032/4719/3030/4128/1327/427/1329/4704/1537/1340/23193/9377/1312/6389/8639/51056/3295/5538/3033/7381/847/2548/9588/1728/5333/2687/683/4860/210/8644/4513/51144/37/113026/3176/7263/249/10135/29968/5730/6652/952/10449/953/2184/11112/23475/5160/501/223/5238/22978/2992/133121/11164/51084/8991/9104/445/5162/2944/1431/128/1892/38/50/1738/4357/443/2950/1737/217/2746/51477/203/216/4507/8424/134147/51181/641371/2946/55361/2947/2876/2098/2936/18/55748/22908/8659/7915/4329/5092/3074/34/873/3418/760/645/1743/22875/10840/6697/653689/25796/2806,KEGG,Mitochondria and metabolism
hsa04714,hsa04714,Thermogenesis,2.347439195,7.95E-06,7385/7384/4719/1327/1329/4704/1537/1340/9377/6389/7381/4513,KEGG,Unclassified
hsa04512,hsa04512,ECM-Receptor Interaction,2.303376805,2.18E-05,960/1292/1291/1293/3673/3679/3915/3913/3688/3908/3911/3691/3655/375790/1605,KEGG,Extracellular matrix and adhesion
hsa05171,hsa05171,Coronavirus Disease - Covid-19,2.243023159,6.46E-05,720/2266/718/6222/1536/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/1956/3921/6203/6128/6125/6217/9045/6772/6201/2243/6205,KEGG,Immune Response and Regulation
hsa05012,hsa05012,Parkinson Disease,2.036217199,0.000124045,4129/7385/7384/4719/293/4128/291/1327/7417/1329/4704/7416/1537/1340/3309/9377/6389/7381/7419,KEGG,Synaptic regulation
hsa04820,hsa04820,Cytoskeleton in Muscle Cells,2.103187966,0.000140615,2200/1292/1291/1293/3673/4629/3679/3688/3908/3691/7414/3655/483/7431/375790/1605/7094/6641,KEGG,Microtubule organisation
hsa04144,hsa04144,Endocytosis,-1.995100708,0.000194558,3312/11031/51699/51100/58513/8027/1211/9146/23396/375/274/30845/1213/381/11021/51534/1173/26052/161/10015/29924/9135/163/1212/160/28964/57180/56904/273/1759/23362/3800/6456/9829,KEGG,Extracellular matrix and adhesion
