Ensembl	symbol	GeneOntology
ENSG00000132341	RAN	GO:0006886
ENSG00000122705	CLTA	GO:0006886
ENSG00000173692	PSMD1	GO:0051348
ENSG00000156052	GNAQ	GO:0051348
ENSG00000108344	PSMD3	GO:0051348
ENSG00000103035	PSMD7	GO:0051348
ENSG00000111911	HINT3	GO:0016787
ENSG00000114573	ATP6V1A	GO:0016787
ENSG00000156052	GNAQ	GO:0016787
ENSG00000075785	RAB7A	GO:0016787
ENSG00000159720	ATP6V0D1	GO:0016787
ENSG00000155097	ATP6V1C1	GO:0016787
ENSG00000176055	MBLAC2	GO:0016787
ENSG00000156976	EIF4A2	GO:0016787
ENSG00000124406	ATP8A1	GO:0016787
ENSG00000128524	ATP6V1F	GO:0016787
ENSG00000197535	MYO5A	GO:0016787
ENSG00000213760	ATP6V1G2	GO:0016787
ENSG00000131100	ATP6V1E1	GO:0016787
ENSG00000147416	ATP6V1B2	GO:0016787
ENSG00000047249	ATP6V1H	GO:0016787
ENSG00000132341	RAN	GO:0016787
ENSG00000156052	GNAQ	GO:0070201
ENSG00000182985	CADM1	GO:0070201
ENSG00000112697	TMEM30A	GO:0070201
ENSG00000132341	RAN	GO:0007051
ENSG00000132341	RAN	GO:0007052
ENSG00000250151	ARPC4-TTLL3	GO:0032956
ENSG00000241685	ARPC1A	GO:0032956
ENSG00000115306	SPTBN1	GO:0032956
ENSG00000088247	KHSRP	GO:0016070
ENSG00000173692	PSMD1	GO:0016070
ENSG00000156976	EIF4A2	GO:0016070
ENSG00000108344	PSMD3	GO:0016070
ENSG00000116120	FARSB	GO:0016070
ENSG00000103035	PSMD7	GO:0016070
ENSG00000088247	KHSRP	GO:0016071
ENSG00000173692	PSMD1	GO:0016071
ENSG00000156976	EIF4A2	GO:0016071
ENSG00000108344	PSMD3	GO:0016071
ENSG00000103035	PSMD7	GO:0016071
ENSG00000114573	ATP6V1A	GO:0015075
ENSG00000104888	SLC17A7	GO:0015075
ENSG00000159720	ATP6V0D1	GO:0015075
ENSG00000197106	SLC6A17	GO:0015075
ENSG00000155097	ATP6V1C1	GO:0015075
ENSG00000124406	ATP8A1	GO:0015075
ENSG00000128524	ATP6V1F	GO:0015075
ENSG00000131100	ATP6V1E1	GO:0015075
ENSG00000147416	ATP6V1B2	GO:0015075
ENSG00000047249	ATP6V1H	GO:0015075
ENSG00000033627	ATP6V0A1	GO:0015075
ENSG00000114573	ATP6V1A	GO:0015077
ENSG00000104888	SLC17A7	GO:0015077
ENSG00000159720	ATP6V0D1	GO:0015077
ENSG00000197106	SLC6A17	GO:0015077
ENSG00000155097	ATP6V1C1	GO:0015077
ENSG00000128524	ATP6V1F	GO:0015077
ENSG00000131100	ATP6V1E1	GO:0015077
ENSG00000147416	ATP6V1B2	GO:0015077
ENSG00000047249	ATP6V1H	GO:0015077
ENSG00000033627	ATP6V0A1	GO:0015077
ENSG00000070808	CAMK2A	GO:0010556
ENSG00000088247	KHSRP	GO:0010556
ENSG00000141367	CLTC	GO:0010556
ENSG00000156976	EIF4A2	GO:0010556
ENSG00000132471	WBP2	GO:0010556
ENSG00000132341	RAN	GO:0010556
ENSG00000115073	ACTR1B	GO:0032559
ENSG00000114573	ATP6V1A	GO:0032559
ENSG00000138107	ACTR1A	GO:0032559
ENSG00000115484	CCT4	GO:0032559
ENSG00000070808	CAMK2A	GO:0032559
ENSG00000146731	CCT6A	GO:0032559
ENSG00000075785	RAB7A	GO:0032559
ENSG00000156110	ADK	GO:0032559
ENSG00000156976	EIF4A2	GO:0032559
ENSG00000163468	CCT3	GO:0032559
ENSG00000124406	ATP8A1	GO:0032559
ENSG00000197535	MYO5A	GO:0032559
ENSG00000147416	ATP6V1B2	GO:0032559
ENSG00000120438	TCP1	GO:0032559
ENSG00000116120	FARSB	GO:0032559
ENSG00000114573	ATP6V1A	GO:0033572
ENSG00000159720	ATP6V0D1	GO:0033572
ENSG00000141367	CLTC	GO:0033572
ENSG00000155097	ATP6V1C1	GO:0033572
ENSG00000128524	ATP6V1F	GO:0033572
ENSG00000213760	ATP6V1G2	GO:0033572
ENSG00000131100	ATP6V1E1	GO:0033572
ENSG00000147416	ATP6V1B2	GO:0033572
ENSG00000047249	ATP6V1H	GO:0033572
ENSG00000033627	ATP6V0A1	GO:0033572
ENSG00000115073	ACTR1B	GO:0032555
ENSG00000114573	ATP6V1A	GO:0032555
ENSG00000138107	ACTR1A	GO:0032555
ENSG00000115484	CCT4	GO:0032555
ENSG00000070808	CAMK2A	GO:0032555
ENSG00000146731	CCT6A	GO:0032555
ENSG00000156052	GNAQ	GO:0032555
ENSG00000075785	RAB7A	GO:0032555
ENSG00000156110	ADK	GO:0032555
ENSG00000156976	EIF4A2	GO:0032555
ENSG00000163468	CCT3	GO:0032555
ENSG00000124406	ATP8A1	GO:0032555
ENSG00000197535	MYO5A	GO:0032555
ENSG00000147416	ATP6V1B2	GO:0032555
ENSG00000120438	TCP1	GO:0032555
ENSG00000116120	FARSB	GO:0032555
ENSG00000132341	RAN	GO:0032555
ENSG00000115073	ACTR1B	GO:0032550
ENSG00000114573	ATP6V1A	GO:0032550
ENSG00000138107	ACTR1A	GO:0032550
ENSG00000115484	CCT4	GO:0032550
ENSG00000070808	CAMK2A	GO:0032550
ENSG00000146731	CCT6A	GO:0032550
ENSG00000156052	GNAQ	GO:0032550
ENSG00000075785	RAB7A	GO:0032550
ENSG00000156110	ADK	GO:0032550
ENSG00000156976	EIF4A2	GO:0032550
ENSG00000163468	CCT3	GO:0032550
ENSG00000124406	ATP8A1	GO:0032550
ENSG00000197535	MYO5A	GO:0032550
ENSG00000147416	ATP6V1B2	GO:0032550
ENSG00000120438	TCP1	GO:0032550
ENSG00000116120	FARSB	GO:0032550
ENSG00000132341	RAN	GO:0032550
ENSG00000115073	ACTR1B	GO:0032553
ENSG00000114573	ATP6V1A	GO:0032553
ENSG00000138107	ACTR1A	GO:0032553
ENSG00000115484	CCT4	GO:0032553
ENSG00000070808	CAMK2A	GO:0032553
ENSG00000146731	CCT6A	GO:0032553
ENSG00000156052	GNAQ	GO:0032553
ENSG00000075785	RAB7A	GO:0032553
ENSG00000156110	ADK	GO:0032553
ENSG00000156976	EIF4A2	GO:0032553
ENSG00000163468	CCT3	GO:0032553
ENSG00000124406	ATP8A1	GO:0032553
ENSG00000197535	MYO5A	GO:0032553
ENSG00000147416	ATP6V1B2	GO:0032553
ENSG00000120438	TCP1	GO:0032553
ENSG00000116120	FARSB	GO:0032553
ENSG00000132341	RAN	GO:0032553
ENSG00000171246	NPTX1	GO:0071248
ENSG00000171246	NPTX1	GO:0071241
ENSG00000132341	RAN	GO:0033753
ENSG00000156052	GNAQ	GO:1903827
ENSG00000112697	TMEM30A	GO:1903827
ENSG00000173692	PSMD1	GO:1901991
ENSG00000108344	PSMD3	GO:1901991
ENSG00000103035	PSMD7	GO:1901991
ENSG00000173692	PSMD1	GO:1901990
ENSG00000108344	PSMD3	GO:1901990
ENSG00000103035	PSMD7	GO:1901990
ENSG00000115306	SPTBN1	GO:0043244
ENSG00000112697	TMEM30A	GO:1903829
ENSG00000115306	SPTBN1	GO:0043242
ENSG00000114573	ATP6V1A	GO:0015672
ENSG00000104888	SLC17A7	GO:0015672
ENSG00000159720	ATP6V0D1	GO:0015672
