Significant	-Log(P-value)	Difference	Proteins	Symbol color	Symbol type	Symbol size	Show label	riBAQ.17	riBAQ.18	riBAQ.35	riBAQ.36	riBAQ.19	riBAQ.20	riBAQ.21	riBAQ.22	riBAQ.23	riBAQ.37	riBAQ.38	riBAQ.39	riBAQ.40	riBAQ.41	riBAQ.24	riBAQ.25	riBAQ.26	riBAQ.42	riBAQ.43
	0.09852560818674819	0.07423241933186842	ACOT1	Color2 [DarkGray]	1	4		-2.0999536514282227	NaN	-1.0863714218139648	-2	-2.117903709411621	NaN	NaN	NaN	-1.6881341934204102	NaN	-1.7384834289550781	-2.146864891052246	-1.332005500793457	-1.7946529388427734	NaN	-1.2840900421142578	0.11349773406982422	-0.7210307121276855	-3.0700206756591797
	-0	NaN	ACOX1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.8004560470581055	-2.8534393310546875	-1.7210307121276855	-1.9196043014526367
	0.05824622419611021	0.04091420173645022	ACP1	Color2 [DarkGray]	1	4		0.1039419174194336	0.906529426574707	0.8275928497314453	0.8918962478637695	0.7029581069946289	0.10934019088745117	0.4263744354248047	0.7187581062316895	-0.2830009460449219	0.7676267623901367	0.9771633148193359	0.9346780776977539	0.8852100372314453	1.1766510009765625	0.5207424163818359	-0.7773160934448242	-0.3905000686645508	0.41408491134643555	-0.51617431640625
	-0	NaN	ACP2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	-2.316833972930908	-1.7790918350219727	-2.2558627128601074	NaN	NaN	NaN	-2.1593017578125	NaN	NaN	-1.6912870407104492	-1.2371892929077148	-2.116474151611328	-2.1918463706970215	-1.719834327697754
	0.6155882274979811	0.449021203177316	ACSBG1	Color2 [DarkGray]	1	4		-2.678656578063965	-3.371793746948242	-2.759261131286621	-1.9080772399902344	-3.6960926055908203	NaN	-2.376333236694336	NaN	NaN	-3.156749725341797	-2.7537498474121094	-3.9514360427856445	-2.7378244400024414	-3.227092742919922	-3.5238866806030273	NaN	NaN	NaN	NaN
	-0	NaN	ACSS1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-3.304903030395508	NaN	NaN	NaN	NaN	-3.650857925415039	-3.2068004608154297	NaN	NaN	NaN	NaN	-3.0168800354003906	-3.4864959716796875	-3.5609307289123535	-1.877375602722168
	-0	NaN	ACSS3	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-5.029043197631836	NaN	-5.202303886413574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.583531379699707	-5.184720993041992	-4.023956298828125	NaN	-4.2010393142700195
	0.031113624575683622	0.014349317550659269	ACTR3	Color2 [DarkGray]	1	4		1.2764997482299805	1.2271175384521484	1.5870332717895508	1.639216423034668	1.3181219100952148	1.2369294166564941	2.110466957092285	1.5180468559265137	1.2002067565917969	1.5752582550048828	1.434952735900879	1.311614990234375	1.031327247619629	1.444249153137207	1.5200481414794922	1.239790916442871	2.067009925842285	1.935269832611084	0.8972597122192383
	-0	NaN	ACY1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	-3.676234245300293	NaN	-3.614132881164551	NaN	NaN	NaN	-1.8376884460449219	NaN	NaN	-2.8665456771850586	-2.542591094970703	-3.2973809242248535	-2.555447578430176
	-0	NaN	ADAM9	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.7354488372802734	NaN	NaN	NaN	-3.907801628112793	-3.7932968139648438	-3.2295875549316406	-3.446524143218994	-3.836348533630371
	1.1640114972536555	-0.451307725906372	ADH5	Color2 [DarkGray]	1	4		-0.12366962432861328	0.23698043823242188	1.1023445129394531	0.9999446868896484	1.2698907852172852	0.3915581703186035	1.0002422332763672	1.04899263381958	1.1182441711425781	1.1715450286865234	0.8678178787231445	1.056107521057129	0.7743453979492188	1.3533334732055664	1.4909143447875977	1.182358741760254	1.6784963607788086	1.7379565238952637	1.1197080612182617
+	2.6020770518684775	-1.2780887126922607	AHNAK	Color2 [DarkGray]	1	4		-0.5108156204223633	-2.1171159744262695	-2.097540855407715	-2.0319900512695312	-0.6672430038452148	-0.22318601608276367	-0.8673191070556641	-0.7587733268737793	0.06922626495361328	-0.45630931854248047	-1.0229368209838867	0.5729913711547852	-0.34945106506347656	-0.40976810455322266	1.0632457733154297	0.5393762588500977	1.3312654495239258	2.0952868461608887	0.6348514556884766
