Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
DMD,CRADD,CNTNAP2,EPN2,ERICH1
DMP1,CREG1,CNTNAP3,SELENOI,ESAM
DNAI1,CRIP1,CNTNAP4,ERMN,ESM1
DNAJC25,CRY1,CNTNAP5,ETNK2,ESYT1
DNALI1,CRYBA4,COCH,ETV1,ESYT2
DOCK1,CRYBB1,COL19A1,EXO1,KIAA1217
DPF3,CRYL1,COL23A1,EXOG,ETS1
DPY19L3,CSF1,COL24A1,EXTL1,ETS2
DRP2,CSF1R,COL25A1,EXTL2,EXOC3L1
DTNA,CSF2,COL6A2,FA2H,EXOC5
DYNC2H1,CSF2RB,CORT,FAH,EXOC6
DYNLRB2,CSF3R,COX7A1,FAM114A1,F2R
DZIP1L,CSK,CPEB1,FAM122A,F2RL1
ECH1,CST3,CPEB3,FAM149A,F2RL3
ECHDC1,CST7,CPLX1,FAM163A,F5
ECHDC2,CSTB,CPLX2,FAM169A,UBALD2
ECHDC3,CTBS,CPNE4,FAM178B,RFLNA
ECI2,CTDNEP1,CPNE5,FAM180A,RFLNB
EDIL3,CTLA4,CPNE6,INSYN2B,FAM111A
EDNRB,CTNS,CPNE7,TAFA4,TCAF2
EEA1,CTSA,CPNE9,CALHM5,FAM124B
EEPD1,CTSB,CRABP1,FAM3C,NIBAN1
EFHD1,CTSD,CRABP2,TLCD3A,FAM162B
EFNA4,CTSE,CRH,CCNQ,EVA1B
EGF,CTSF,CRHBP,BRINP3,GASK1B
EGFL6,CTSH,CRHR2,MINDY1,PIEZO2
EGFR,CTSV,CRMP1,TMEM255A,FAM43A
EHBP1,CTSS,CSNK1E,TMEM255B,NXPE2
EHHADH,CTSZ,CSRNP2,MIGA1,RIPOR1
EIF4G3,CX3CR1,CTCF,FAM89A,FAM71A
ELMO2,CXCL10,CTIF,FANCA,FAM71F2
ELMO3,CXCL3,CTXN2,FANCD2,EEF2KMT
ELOVL2,CXCR3,CX3CL1,FAR1,FAP
ELOVL5,CXCR5,CXCL12,FBLN7,FAR2
EMP2,CYB5R1,CXXC4,FBN1,FBLN5
ENKUR,CYBA,CYB561,FBXO17,FBXL12
ENTPD2,CYB561A3,CYGB,FBXO36,FBXL8
EPB41L5,CYBB,CYP2S1,FBXO7,FCHO2
EPHB3,CYFIP1,CYP46A1,FCHSD2,FEM1C
EPHX2,CYP4F2,CYP4B1,FEM1B,FERMT2
ERBB2,CYTH4,CYP4X1,FEZ1,FGD5
ERBIN,CYTIP,NREP,FGF22,FGFBP1
ETAA1,PHF11,ARFGEF3,FHL2,FGFR4
ETFA,LDLRAD4,PLPPR4,FIGNL1,FILIP1
ETFDH,M1AP,DAB2IP,FKBP1A,FILIP1L
EVC,C19orf53,DACH1,FMNL2,FKBP10
EVC2,PRAG1,DACT1,FNTA,FKBP7
EVI5,DAGLB,DAPK1,FNTB,FKBPL
EXD1,DCXR,ACKR1,FOXM1,FLI1
EZR,INTS6L,DAXX,FRMD4A,FLNA
F3,DDX31,DBN1,FRMD5,FLNB
FABP5,DENND1C,DBNDD1,FRMD7,FLRT2
FABP7,DENND4B,DCAF7,FRYL,FLT1
FADS2,DEPDC7,DCK,FSD1,FLT4
FAM117A,DGKD,DCP1A,FYN,FN1
FAM135A,DGKZ,DCX,G0S2,FOXC1
FAM13C,DHDH,DEPTOR,GAB1,FOXF1
FAM168A,DHRS3,DGKE,GAB2,FOXF2
FAM171B,DHX34,DGKG,GABRA3,FREM1
FAM181A,DHX58,DGKK,GALE,FRK
FAM181B,DMXL1,DHX57,GALNT10,FRMD4B
FAM184A,DNAJB13,DIABLO,GALNT13,FUT4
MCRIP2,DNAJC1,DIRAS1,GALNT3,TIMM10B
GASK1A,DNASE1L3,DIRAS2,GALNT6,FXYD5
FAM20A,DNASE2,DISP2,GALNT16,FZD4
PRXL2A,DNM2,DKKL1,GAMT,FZD6
NXPE4,DOCK2,DLG2,GAP43,G6PC
GAREM1,DOCK8,DLG3,GAS2,GABPB1
GAREM2,DOK1,DLGAP2,GBP6,GADD45A
FAM76B,DOK2,DLX1,GFOD1,GALNT15
FAM83B,DOK3,DLX2,GFOD2,GALNT18
FARS2,DPP7,DLX5,GFRA1,GATA2
FAT1,DQX1,DLX6,GFRA2,GATA3
FBP2,DTNBP1,DMRT3,GGCT,GBE1
FBXL21P,DTX4,DMRTA2,GJB1,GBP2
FBXO2,DUOXA1,DMXL2,GLRA4,GBP6
FDFT1,DUPD1,DNAH1,GLRB,GBP5
FGA,DUSP1,DNAJB6,GLTP,GCHFR
FGD4,DUSP13,DNAJC27,NOP53,GCNT2
FGD6,DUSP2,DNAJC6,GMDS,MYZAP
FGF1,DUSP27,DNAJC9,GNA12,GDPD3
FGF2,DUSP5,DNER,GNAT1,GIMAP1
FGFBP3,DVL2,DNM1,GNB4,GIMAP4
FGFR1,DYRK2,DNMT3A,GNE,GIMAP1-GIMAP5
CEP43,DYRK4,DOC2A,GNG12,GIMAP6
FGFR3,E2F2,DOC2B,GNG13,GIMAP8
FHL1,RNASE2,DPYSL3,GNG8,GIPC3
FICD,EBI3,DPYSL5,GNPTAB,GJA4
VEGFD,EDEM1,DRD1,GNPTG,GJA5
FJX1,EDEM2,DRD2,GP1BB,GJC1
FKBP9,EEF2K,DRD5,GPATCH11,GLIPR2
FLNC,EFHD2,DSG1,GPC1,GLYATL3
FLOT2,EFR3A,DSP,GPR158,GMNN
FMN2,EGR2,DUSP14,GPR17,GNG11
FMO1,EGR3,DUSP8,GPR37,GNG5
FMO4,EHD1,DUT,GPR62,GOLIM4
FNDC5,EHD4,DYNC1I1,GPR75,GPCPD1
FOS,EID3,DZANK1,GPRC5B,ADGRF5
FOSB,EIF4EBP1,EBF2,GRB14,ADGRA2
FOXR2,ELF4,EBF3,GRHPR,ADGRG6
FOXRED1,ELMO1,ECEL1,GRIA3,GPR143
FRAS1,EML3,EEF1A2,GRIK3,SLC52A2
FREM2,EMP3,EFCAB6,GRIK4,GPER1
FRMPD1,ADGRE1,MICU3,GRIN3A,GPR4
CMTR2,ENGASE,EFHC2,GRXCR2,ADGRG3
FUT9,ENO3,EFNA3,PPP1R17,GPRC5A
FXYD1,ENPP4,EFNA5,GSN,TAMALIN
FZD10,ENTPD1,EHBP1,GSS,GRB10
FZD2,EPDR1,EHMT1,GSTP1,GRB7
GABBR1,EPN1,EHMT2,GSX1,GRK5
