Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
Capzb,Cap1,Camk4,Chtf18,Ces2b
Car3,Capn1,Camkv,Ckap2,Ces2e
Car5b,Capn3,Camsap1,Ckap2l,Ces2g
Car8,Capza1,Camta1,Cldn11,Cfi
Caskin1,Car13,Car10,Cldn14,Cgnl1
Caskin2,Card11,Casd1,Clec3b,Chek2
Casp8ap2,Card9,Casp2,Clgn,Chic2
Cat,Casp1,Casp3,Cmip,Chmp2b
Catsper2,Casp4,Casz1,Cmtm4,Chrnb1
Cblb,Cass4,Cbln1,Cmtm5,Chst9
Cbr3,Cbln1,Cbln2,Cnksr3,Cish
Cbs,Cbln2,Cbln4,Cnp,Cks1b
Cbx5,Cbln4,Cbx2,Cntn1,Cks2
Kyat3,Cbr2,Cbx4,Cntn2,Clca2
Cfap65,Ccdc162,Cbx6,Cntn4,Cldn5
Ccdc113,Ccdc186,Cbx7,Cntn6,Cldn6
Ccdc121,Ccdc22,Cc2d1a,Cntnap5b,Clec14a
Ccdc138,Ccdc50,Ccbe1,Cobl,Clec1a
Ccdc157,Ccdc86,Mcub,Col11a2,Clec1b
Ccdc18,Ccdc88b,Ccdc116,Col12a1,Clec2d
Ccdc3,Ccdc93,Ccdc120,Col13a1,Clec9a
Cfap100,Ccdc97,Ccdc148,Col1a1,Clic5
Ccdc60,Ccl12,Ccdc152,Col1a2,Clic6
Deup1,Ccl17,Ccdc177,Col20a1,Clint1
Ccdc80,Ccl2,Ccdc30,Col2a1,Cmtm8
Ccdc84,Ccl22,Cep112,Col3a1,Cngb1
Ccdc88c,Ccl24,Ccdc6,Col9a3,Cnn2
Ccdc90b,Ccl3,Bicdl1,Colec11,Cnot6l
Ccdc96,Ccl4,Ccdc71l,Corin,Cobll1
Ccna1,Ccl5,Ccdc73,Cp,Col14a1
Ccnd2,Ccl6,Ccdc85c,Cplx1,Col18a1
Ccno,Ccl7,Cck,Cpox,Col28a1
Ackr4,Ccl8,Ccl27a,Cpz,Col4a1
Cd247,Ccl9,Ccl27b,Crcp,Col4a2
Cd38,Ccr1,Ccnb1,Creg2,Col4a3
Cd44,Ccr1l1,Ccnf,Cryab,Cox4i2
Cdc42ep1,Ccr2,Ccnt1,Csmd3,Cox7b
Cdc42ep4,Ccr3,Ccsap,Cspg4,Cpa1
Cdh2,Ccr5,Cd164l2,Cspg5,Cr1l
Cdk11b,Ccr6,Cd200,Csrp1,Crem
Cdk5rap2,Ccr7,Cd24a,Ctnna3,Crip2
Cecr2,Ccrl2,Cd274,Ctnnal1,Crispld1
Hdhd5,Cd101,Cd2bp2,Cyfip2,Crk
Celsr1,Cd14,Cdc40,Cygb,Crtap
Ccp110,Cd163,Cdh12,Cyp2j12,Crybb3
Cep350,Cd164,Cdh18,Cyp2j6,Crybg3
Chd2,Cd180,Cdh4,Cyp4f41-ps,Ybx3
Chd6,Cd19,Cdh7,Cys1,Csf3
Chd9,Cd2,Cdh8,D630045J12Rik,Csrp2
Chpt1,Cd200r1,Cdh9,D7Ertd443e,Cthrc1
Chrdl1,Cd209a,Cdhr1,Dapk2,Ctla2a
Chst1,Cd209b,Cdk13,Brinp1,Ctla2b
Chst2,Cd209d,Cdk2ap1,Dbil5,Ctnna1
Chsy1,Cd209f,Cdk5r1,Dbndd2,Ctnnb1
Cideb,Cd209g,Cdk5r2,Dbpht2,Ctsw
Ckap5,Cd22,Cdkl1,Dcaf12l1,Cttnbp2nl
Ckm,Cd300a,Cdkl2,Dcaf12l2,Cutc
Clcc1,Cd300lb,Cdkl4,Dcn,Cxcl1
