Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
Rcn2,Nlrp3,Nos1,Spsb1,Slc30a1
Rdh5,Nme4,Nosip,Spsb4,Slc31a1
Retsat,Nmnat3,Ccn3,Srd5a1,Slc31a2
Rftn2,Nmt1,Nova2,Srpk3,Slc35b3
Rfx4,Nod2,Npas4,Srpx2,Slc35d2
Rfx5,Nop2,Npcd,Ssh3,Slc35f2
Rgma,Npc2,Npffr1,Sstr1,Slc38a11
Rgs20,Npl,Npnt,Sstr3,Slc38a2
Rgs22,Nradd,Nppc,St18,Slc38a5
Rgs7,Nrap,Nptx1,St8sia1,Slc39a10
Rhbdf1,Nrbf2,Nptxr,Stam,Slc39a8
Rhcg,Nrp,Npy,Steap1,Slc3a2
Rhoq,Nt5e,Npy1r,Stk32a,Slc40a1
Riiad1,Ntpcr,Npy2r,Stk33,Slc43a3
Rmnd1,Nuak1,Nr1h4,Stk39,Slc47a2
Rmst,Nuak2,Nr2f2,Stmn4,Slc5a5
Rnf215,Numb,Nrde2,Strn,Slc5a6
Rnf24,Nup62,Nrg1,Stx1b,Slc6a20a
Romo1,Il4i1b,Nrg3,Stxbp6,Slc6a6
Ror2,Nupr1,Nrip3,Sulf1,Slc7a1
Rorb,Oaf,Nrn1,Sulf2,Slc7a5
Rsad1,Oard1,Nrsn2,Syce2,Slc9a2
Rsph1,Oas2,Nrxn3,Sycp3,Slc9a3r2
Rsph4a,Oasl1,Nsd1,Syde2,Slco1a4
Rsph9,Olfm4,Nsf,Synj2,Slco1a5
Rtn3,Olfml3,Nsg1,Synpo,Slco1a6
Rufy4,Olfr110,Nsg2,Syt2,Slco1b2
S1pr1,Olfr111,Nsrp1,Syt3,Slco1c1
Sag,Ophn1,Nt5c1a,Sytl5,Slco2a1
Sall3,Orai1,Nt5dc2,Szt2,Slfn3
Sar1b,Orai3,Nt5dc3,Tacc2,Slfn5
Sardh,Osbpl11,Ntn5,Taf9b,Slk
Sash1,Osgep,Ntng2,Tbc1d14,Smad6
Msmo1,Osgin1,Ntrk1,Tbc1d19,Smoc2
Scara3,Osm,Nts,Tbc1d22b,Smtn
Scd2,Otud1,Ntsr1,Tbc1d23,Snai2
Scd3,P2rx1,Numbl,Tbc1d5,Snora15
Scg3,P2rx4,Nup35,Tbc1d8,Snora21
Scp2,P2rx7,Nxnl2,Tbc1d9b,Snrk
Sctr,P2ry12,Nxph2,Tbx18,Snrpb2
Sdsl,P2ry13,Nxph3,Tceal3,Snrpe
Sec14l2,P2ry2,Nxph4,Tceal5,Snrpg
Sema3b,P2ry6,Nyx,Tcf7l2,Sntb2
Sema6d,P2ry13,Ociad2,Tcfl5,Snx7
Senp1,Pacsin2,Tenm1,Tdrd7,Sod3
Septin11,Pald1,Tenm4,Itpr3,Sox13
Septin9,Paox,Ogt,Tfeb,Sox17
Serhl,Parp14,Olfm1,Tgoln1,Sox18
Sfrp1,Parp3,Olfm3,Tgoln2,Sox7
Sfrp5,Parvg,Olfr315,Tm7sf3,Sp100
Pnisr,Pctp,Olfr317,Tmcc1,Spata4
Sfxn1,Pdcd1,Opn3,Tmcc3,Spata6
Sfxn2,Pde3b,Oprd1,Tmem100,Sptbn1
Sfxn5,Pdgfb,Oprk1,Tmem108,Spock2
Sh3bgrl2,Pdlim4,Oprm1,Tmem121,Spon2
Sh3pxd2b,Pdxk,Osbpl5,Tmem132b,Srgn
Sigmar1,Pecr,Oscar,Tmem132c,Srms
Six5,Pepd,Oxtr,Tmem132d,Srpr
Slc10a1,Pes1,P2rx5,Tmem132e,Ssu72
Slc12a4,Pf4,Pacsin1,Tmem151a,St3gal1
Slc13a1,Pfkfb3,Pak3,Tmem163,St3gal6
Slc13a3,Pfn1,Pak6,Tmem179,St6galnac2
Slc13a5,Pggt1b,Pak7,Tmem196,St8sia4
Slc14a1,Pgpep1,Pakap,Cemip2,St8sia6
Slc14a2,Jade2,Palm3,Tmem200b,Stap2
Slc15a2,Phf23,Panx2,Tmem26,Stard13
Slc1a2,Phka2,Pappa2,Tmem40,Stc1
Slc1a3,Phldb3,Paqr9,Tmem9,Steap4
Slc1a4,Phyhd1,Parp6,Tmf1,Stk3
Slc20a1,Pigv,Patz1,Tmod1,Stom
Slc20a2,Pik3ap1,Pax6,Tmprss5,Stox1
Slc22a12,Pik3c2a,Paxbp1,Tnfrsf13c,Stra6
Slc22a4,Pik3cd,Pbk,Tnpo1,Sugt1
Slc25a18,Pik3cg,Pbrm1,Tnr,Syap1
Slc25a21,Pik3r5,Pbx1,Tns3,Synj2bp
Slc25a34,Pilra,Pbx3,Tpd52l2,Syt15
Slc25a42,Pilrb1,Pcbp3,Tpm1,Sytl4
Slc25a48,Pim1,Pcdh17,Tppp,T
Slc26a5,Pip4k2a,Pcdha1,Tppp3,Tacr3
Slc26a6,Pira6,Pcdha12,Tpx2,Taf7
Slc27a1,Pkn1,Pcdha2,Traf4,Tagln2
Slc2a10,Pla2g15,Pcdha3,Trak2,Tax1bp3
Slc2a4,Pla2g2d,Pcdha4,Trf,Tbc1d1
Slc30a10,Pla2g4a,Pcdha5,Trim27,Tbc1d2
Slc38a3,Pla2g4d,Pcdha6,Trim67,Tbrg1
Slc39a12,Plac8,Pcdha7,Trp53inp2,Tbx1
Slc39a14,Plagl2,Pcdhac2,Tsga13,Tbx2
Slc41a1,Plau,Pcdhgc4,Tshz3,Tbx3
Slc44a3,Plbd1,Pcgf2,Tspan2,Tbx4
Slc4a4,Plcb2,Pcp4,Tspo2,Tbxa2r
Slc6a1,Plcg2,Pcsk1,Ttc30a2,Tcea1
Slc6a11,Plcl2,Pcsk5,Ttl,Tcea3
Slc6a17,Pld3,Pdcd1lg2,Tub,Tcf15
Slc6a9,Pld4,Pde1a,Tubb4a,Tcf23
Slc7a10,Plek,Pde4a,Tyw5,Tcf7
Slc7a11,Plekhm2,Pde4dip,Ubap1,Tcp11l2
Slc7a2,Plekho1,Pdp1,Ube2j2,Tead2
Slc9a3r1,Plekho2,Pdxp,Ubl3,Tead4
Slitrk2,Plin2,Pdzd2,Ubr3,Tecrl
Smc4,Plod1,Pdzd4,Ucn,Tek
Smc5,Plod3,Pdzd7,Ugdh,Tns2
Smdt1,Plscr3,Peg10,Ugt8a,Tepp
Smg1,Plxdc1,Peg3,Uhrf1,Tes
Smim8,Plxdc2,Peli3,Unc80,Tfpi
Smo,Plxnb2,Penk,Uri1,Tfpi2
Smpd2,Pmepa1,Pfdn1,Urm1,Tfrc
Smyd1,Pmm2,Pfdn6,Usp16,Tgfb1i1
Sncaip,Pmp22,Pgbd5,Usp24,Tgfbr3
Sned1,Pnp,Pgf,Usp32,Tgtp2
Snhg3,Pnp2,Pgm2l1,Usp54,Thbd
Snora28,Pnpla7,Pgr,Ust,Thsd1
Snora2b,Pnpo,Pgrmc1,Utp14b,Tiam1
Snta1,Pon3,Phc1,Vamp1,Tie1
Sntb1,Por,Phc2,Vat1l,Timp1
Soat1,Pou2f2,Phc3,Vcan,Tinagl1
Son,Ppcdc,Phf14,Vipr2,Tjp1
Sorbs1,Ppp1r15a,Phf20l1,Vldlr,Tm4sf1
Sorcs2,Ppp1r3b,Phf8,Vmp1,Tango6
Sorl1,Ppp6r1,Phip,Vps13b,Tmem123
Sox2,Pprc1,Pias2,Vsnl1,Tmem154
Sox21,Ppt1,Pias4,Vstm2b,Tmem204
Sox9,Ppt2,Pik3c2g,Wasf1,Tmem45a
Sp5,Slc66a1,Pip4k2b,Wdhd1,Tmem71
Sp6,Prg2,Pip5kl1,Wfikkn1,Tmem88
Spag1,Prkcd,Pisd-ps1,Ccn6,Tmem98
Spag8,Prorsd1,Pitpnm2,Wnt10a,Tmigd1
Spag9,Prps1l1,Pitpnm3,Wnt4,Tmod3
Sparcl1,Prps2,Piwil2,Wnt6,Tmod4
Spata17,Psap,Pkib,Xkr5,Tmsb10
Spata18,Psd4,Pla2g4e,Xpo6,Tmsb4x
Spata22,Psmb10,Pla2g4f,Xrcc3,Tmtc2
Spata3,Psmb8,Plcd3,Xylt1,Tnfaip1
Spire1,Psmb9,Plch2,Ythdc2,Tnfaip8l1
Spry2,Psme2,Plcxd2,Rtl4,Tnfrsf10b
Sptan1,Ptafr,Plcxd3,Zcchc17,Tnfrsf11b
Sqle,Ptbp3,Plcz1,Zcchc24,Tnfrsf18
Srebf1,Ptgds,Plek2,Zdhhc14,Tnfrsf25
Srek1,Ptger1,Plekha5,Zdhhc15,Tnfrsf8
Srrm2,Ptger4,Plekha7,Zdhhc2,Tnfsf10
Srsf10,Ptgr1,Plg,Zdhhc23,Tnks1bp1
Srsf11,Ptgs1,Plin5,Zfhx4,Tns1
Srsf5,Ptk2b,Plxna2,Zfp365,Tpd52l1
Itprid2,Ptpn1,Pnck,Zfp41,Tpk1
St6galnac5,Ptpn18,Pnma1,Zfp462,Tpm4
Stk17b,Ptpn6,Pnma2,Zfp579,Trib3
Stk36,Ptpn7,Pnoc,Zfp648,Trim12c
Stk38l,Ptprc,Pogz,Zfp651,Trim16
Ston2,Ptprcap,Pola1,Zfp791,Trim25
Stt3b,Ptprj,Pola2,Zfp932,Trim34a
Suclg2,Pts,Polr2d,Zfp276,Trim56
Suox,Pus1,Pomgnt2,Zfp281,Trim69
Sybu,Pus10,Popdc3,Zfp579,Triobp
Sycp2,Pwwp2b,Pou3f4,Zzef1,Trip10
Syne1,Pxn,Pou4f1,Septin5,Trpm6
Synm,Pycard,Pou6f2,,Tsc22d1
Synpo2,Pygl,Ppargc1b,,Tshz2
Sypl2,Pyroxd2,Ppfia2,,Tspan13
Syt11,Qprt,Ppfia4,,Tspan18
Taco1,Qsox1,Ppif,,Tspan5
Taf1,Rab11fip5,Ppifos,,Ttc32
Tagln,Rab17,Ppm1d,,Ttc7b
Tank,Rab20,Ppm1e,,Ttr
Tbc1d10a,Rab27a,Ppp1r1b,,Txn1
Tbce,Rab32,Ppp1r3f,,Tyms
Tfap2c,Rab35,Ppp3cb,,Tyms-ps
Tctn3,Rab39,Pqbp1,,Uaca
Tead1,Rab3d,Pqlc3,,Ubb
Tectb,Rab3il1,Prdm8,,Ube2d3
Tekt1,Rab43,Prepl,,Ube2l6
Tekt4,Rab8b,Prim1,,Ubxn10
Tekt5,Rabep2,Prkacb,,Ubxn2a
Tet2,Rac2,Prkar1b,,Unc45b
Tex9,Rad9a,Prkar2b,,Ushbp1
Tgfb2,Rap2c,Prkcg,,Usp18
Thbs1,Rapsn,Prkce,,Usp3
Thbs4,Rasa4,Prkcg,,Usp43
Them4,Rasal3,Prkrip1,,Usp53
Thoc1,Rasd2,Prlhr,,Usp6nl
Thoc2,Rassf4,Prmt8,,Utp14a
Timm21,Rassf5,Prokr2,,Utrn
Timp3,Gm38431,Prox1,,Vamp5
Tjp2,Rbm34,Prph,,Vangl1
Tlcd1,Rbm38,Prps1,,Vegfc
Tm7sf2,Rbm47,Prr12,,Vil1
Tmc7,Rcan1,Prrc2b,,Vim
Tmed1,Rcsd1,Prrt2,,Vsig2
Tlcd5,Rel,Prtn3,,Vtn
Tmem161b,Rela,Prune2,,Vwa1
Tmem176b,Relb,Psd,,Vwa3a
Tmem200c,Renbp,Psg16,,Vwf
Tmem218,Retnla,Psme4,,Tceal9
Tmem229a,Retnlg,Ptchd1,,Wdr86
Tmem259,Rftn1,Pth2r,,Wee1
Tmem82,Rgs1,Ptprn2,,Wfdc1
Tmem86b,Rgs10,Pvt1,,Wnt5b
Tmprss7,Rgs14,Pycr1,,Wwc2
Tnc,Rgs19,Qser1,,Wwtr1
Tnfaip8,Rgs2,Rab11fip2,,Xaf1
Tnfrsf19,Rhbdf2,Rab11fip4,,Xiap
Tnni3,Rhob,Rab26,,Yes1
Tnnt3,Rhog,Rab3a,,Zap70
Tob1,Rhoh,Rab3b,,Tut7
Tom1l1,Rilpl1,Rab3c,,Zdhhc20
Tom1l2,Rilpl2,Rab3d,,Zfand2a
Tpbg,Rin3,Rab6b,,Zfp119b
Tpm2,Rinl,Rab9b,,Zfp277
Tpmt,Ripk3,Rabif,,Zfp366
Traf3,Rn4.5s,Rac3,,Zfp52
Trak1,Rnase10,Radil,,Zfp69
Trh,Rnase12,Rai1,,Zfp747
Trib2,Rnase4,Rai2,,Zfp758
Tril,Rnase6,Ralgps2,,Zfp820
Trim9,Rnasel,Ralyl,,Zfp949
Trip11,Rnaset2a,Ramp3,,Zfp959
Trmt12,Rnaset2b,Rapgefl1,,Zic3
Trpm3,Rnf114,Rarb,,
Trpm7,Rnf166,Rasgef1a,,
Trps1,Rnf19b,Rasgef1c,,
Tsc22d4,Rnf213,Rasgrf2,,
Tsga10,Rnh1,Rasgrp2,,
Tsku,Rnpep,Rassf6,,
Tspan7,Rogdi,Rassf7,,
Tst,Rp2,Rb1,,
Tsx,Rpl10,Rbfox1,,
Ttc12,Rpl19,Rbfox2,,
Ttc14,Rpl3,Rbfox3,,
Ttc21a,Rpl30,Rbm15b,,
Ttc21b,Rplp1,Rbm38,,
Ttc37,Rps6ka1,Rbm4,,
Ttc9,Rps6ka4,Rbm4b,,
Ttll4,Rptor,Rbms3,,
Ttll8,Rrad,Rcan2,,
Ttpa,Rraga,Rcan3,,
Ttyh1,Rragc,Rcor2,,
Ttyh3,Rtn4rl1,Rell2,,
Tulp3,Rufy1,Reln,,
Txnrd3,Snx29,Rem2,,
Ube2f,Runx1,Retn,,
Ucp3,Runx3,Rfx1,,
Ugt1a6a,Rxra,Rfx3,,
Ugt1a6a,Rxrb,Rtl9,,
Upf3b,S100a8,Rgmb,,
Upp1,S100a9,Rgs11,,
Uqcrh,S1pr4,Rgs17,,
Usp54,Sag,Rgs4,,
Uty,Sall1,Rgs7bp,,
Vav3,Samhd1,Rgs8,,
Vcam1,Sap30,Rhbdl1,,
Vcl,Sash3,Rhof,,
Vegfa,Sat1,Rhov,,
Veph1,Sbno2,Rian,,
Vezt,Scamp2,Rimbp2,,
Vgll2,Scly,Rims3,,
Vhl,Scpep1,Rims4,,
Vit,Sdc4,Ripk4,,
Vmn2r57,Selplg,Rit2,,
Vnn1,Serinc3,Carmil2,,
Vps13c,Serpina3n,Rnaseh2b,,
Vps13d,Serpinb1b,Rnd3,,
Vwa8,Serpinb6a,Rnf152,,
Wasf3,Serpinb8,Rnf165,,
Cfap52,Serpine1,Rnf214,,
Wdr19,Serpinf1,Rnf39,,
Wdr35,Serpinf2,Rnft2,,
Cfap44,Spi1,Rnpc3,,
Wdr5b,Sft2d1,Robo2,,
Wdr60,Sft2d2,Rpp25,,
Wdr63,Sfxn2,Rps19bp1,,
Daw1,Sgk1,Rrm2,,
Wdr78,Sgpl1,Rsph4a,,
Cfap43,Sgsh,Rspo1,,
Wipi1,Sh2b2,Rspo2,,
Wnt7a,Sh2b3,Rspo3,,
Wsb1,Sh3bp1,Rtbdn,,
Wwc1,Sh3bp2,Rtl1,,
Xkrx,Sh3kbp1,Rtn1,,
Yap1,Sh3pxd2a,Rtn4r,,
Zbtb20,Sh3tc1,Rtn4rl2,,
Zbtb25,Shb,Rufy3,,
Zbtb37,Shc1,Rundc3b,,
Zbtb41,Shkbp1,Runx1t1,,
Zc3h13,Shmt1,Rusc1,,
Zcchc24,Siae,Rxfp1,,
Zdhhc21,Siglec1,Ryr2,,
Zfc3h1,Siglecf,Samd10,,
Zfp11,Siglece,Samd14,,
Zfp112,Siglecg,Samd3,,
Zfp142,Siglech,Sap130,,
Zfp160,Sipa1,Sarm1,,
Zfp185,Sirpa,Satb2,,
Zfp229,Skap2,Sbk1,,
Zfp280c,Ski,Sbsn,,
Zfp36l2,Sla,Scai,,
Zfp40,Slamf1,Scarna13,,
Zfp449,Slamf6,Scg2,,
Zfp507,Slamf8,Scmh1,,
Zfp532,Slamf9,Scml4,,
Zfp58,Slc10a3,Scn2b,,
Zfp607a,Slc10a6,Scn3b,,
Zfp661,Slc11a1,Scn4b,,
Zfp708,Slc11a2,Scn5a,,
Zfp759,Slc12a7,Scn9a,,
Zfp799,Slc15a3,Scrt1,,
Zfp839,Slc15a4,Scrt2,,
Zfp870,Slc16a10,Scube3,,
Zfp879,Slc16a3,Scx,,
Zfp933,Slc16a6,Sdk2,,
Zfp945,Slc17a9,Sdr39u1,,
Zfp964,Slc25a10,Sdsl,,
Zfp97,Slc25a45,Sema3a,,
Zfyve16,Slc29a1,Sema4g,,
Zhx2,Slc29a3,Sema6c,,
Zhx3,Slc2a5,Senp3,,
Zmynd10,Slc2a8,Senp7,,
Znrd1as,Slc2a9,Septin3,,
Znrf3,Slc30a3,Septin6,,
Zranb3,Slc35a3,Serp2,,
Zscan12,Slc35c2,Serpinc1,,
Zscan20,Slc36a1,Serpini1,,
Hacd3,Slc36a2,Sertad4,,
Marchf2,Slc37a2,Setd2,,
2610507B11Rik,Slc38a10,Sez6,,
,Slc38a7,Sez6l2,,
,Slc39a1,Sfswap,,
,Slc39a4,Sfxn3,,
,Slc43a1,Sgip1,,
,Slc43a2,Sgsm1,,
,Slc44a2,Sgtb,,
,Slc46a1,Sh2d7,,
,Slc5a10,Sh3gl2,,
,Slc7a7,Sh3rf3,,
,Slc7a8,Sh3yl1,,
,Slc9a9,Shank1,,
,Slco2b1,Shank2,,
,Slco4a1,Shisa6,,
,Slfn2,Sidt1,,
,Slfn8,Sin3b,,
,Slmap,Sipa1l1,,
,Smad3,Sipa1l3,,
,Smap2,Sirt6,,
,Smarcd2,Six3,,
,Smcr8,Slc10a4,,
,Smpdl3b,Slc12a5,,
,Snn,Slc17a6,,
,Snora3,Slc17a8,,
,Snora43,Slc18a2,,
,Snora62,Slc18a3,,
,Snora78,Slc22a15,,
,Snta1,Slc24a2,,
,Snx17,Slc24a3,,
,Snx2,Slc25a22,,
,Snx20,Slc25a27,,
,Snx29,Slc27a2,,
,Snx5,Slc27a3,,
,Snx8,Slc2a13,,
,Snx9,Slc2a3,,
,Soat2,Slc32a1,,
,Socs3,Slc35d3,,
,Sord,Slc35e1,,
,Sox15,Slc35f4,,
,Sp110,Slc37a1,,
,Sp140,Slc38a1,,
,Spata13,Slc38a4,,
,Spcs3,Slc5a7,,
,Spg11,Slc6a15,,
,Spg21,Slc6a17,,
,Sphk1,Slc6a7,,
,Sphk2,Slc7a14,,
,Spi1,Slc7a4,,
,Spib,Slc9a6,,
,Spic,Slco5a1,,
,Spn,Slfn9,,
,Spns3,Slit1,,
,Spp1,Slit3,,
,Sqor,Sln,,
,Srd5a3,Smarca5,,
,Srgap2,Smarcal1,,
,Srrd,Smarcd3,,
,Srsf6,Smc4,,
,Srsf9,Smc5,,
,Srxn1,Smg1,,
,St14,Smg7,,
,St3gal2,Smg8,,
,St6galnac4,Smpd3,,
,Stab1,Smpd4,,
,Stambpl1,Sms,,
,Stard3,Snap25,,
,Stat1,Snap91,,
,Stat2,Snca,,
,Stat5b,Sncb,,
,Stat6,Snhg10,,
,Stfa1,Snhg11,,
,Stfa2,Snhg4,,
,Stfa2l1,Snora75,,
,Stfa3,Snord15b,,
,Stk10,Snord17,,
,Stk11ip,Snrpn,,
,Stk40,Sntg2,,
,Sts,Snx10,,
,Stx11,Snx16,,
,Stxbp2,Snx21,,
,Stxbp5,Sobp,,
,Sult1a1,Sox11,,
,Sumo3,Sox4,,
,Sun2,Sp8,,
,Susd3,Sp9,,
,Syk,Spag6,,
,Syk,Spata2l,,
,Syngr1,Spc25,,
,Syngr2,Spdef,,
,Tagap,Spen,,
,Tagap1,Sphkap,,
,Taok3,Spin1,,
,Tap1,Spink10,,
,Tap2,Spint2,,
,Tapbp,Sptbn4,,
,Tapbpl,Spock1,,
,Tatdn2,Spryd3,,
,Tbc1d10a,Srgap3,,
,Tbc1d10c,Srrm3,,
,Tbc1d13,Srrm4,,
,Tbc1d22a,Srsf12,,
,Tbc1d2b,Ss18l1,,
,Tbxas1,Ssbp2,,
,Tcap,Ssbp3,,
,Tfe3,Ssh2,,
,Tfec,Znrd2,,
,Tcirg1,Sst,,
,Tcn2,Sstr2,,
,Tep1,Sstr4,,
,Tfe3,St18,,
,Tgfb1,St7,,
,Tgfbi,St8sia2,,
,Tgfbr1,St8sia3,,
,Tgfbrap1,St8sia5,,
,Tgif1,Stac,,
,Tgif2,Stau2,,
,Tgm1,Stk32b,,
,Tgm2,Stk32c,,
,Themis2,Stmn1,,
,Ticam1,Stmn2,,
,Ticam2,Stmn3,,
,Tifa,Strbp,,
,Tifab,Stx19,,
,Timd4,Stx1a,,
,Tk1,Stx1b,,
,Tk2,Stxbp1,,
,Tlcd2,Suds3,,
,Tle3,Sugp1,,
,Tln1,Sugp2,,
,Tlr1,Sult4a1,,
,Tlr12,Sult5a1,,
,Tlr13,Susd2,,
,Tlr2,Suv39h2,,
,Tlr3,Suz12,,
,Tlr5,Sv2b,,
,Tlr6,Sv2c,,
,Tlr7,Svop,,
,Tlr8,Syn1,,
,Tlr9,Syn2,,
,Tmco4,Syn3,,
,Tmem104,Syne2,,
,Tmem106a,Syngap1,,
,Tmem119,Syngr3,,
,Tmem120a,Synpr,,
,Sting1,Syp,,
,Tmem179b,Syt1,,
,Tmem185b,Syt10,,
,Tmem202,Syt13,,
,Pacc1,Syt17,,
,Tmem219,Syt2,,
,Tmem221,Syt3,,
,Tmem52,Syt4,,
,Tmem63a,Syt5,,
,Tmem86a,Syt6,,
,Mymk,Syt7,,
,Tnf,Sytl1,,
,Tnfaip2,Tac2,,
,Tnfaip3,Tacc3,,
,Tnfaip8l2,Tacr1,,
,Tnfrsf11a,Tanc2,,
,Tnfrsf13b,Tas1r1,,
,Tnfrsf14,Tasp1,,
,Tnfrsf17,Tbc1d30,,
,Tnfrsf1a,Tbc1d7,,
,Tnfrsf1b,Tbr1,,
,Tnfrsf23,Tbx6,,
,Tnfsf13,Tceal7,,
,Tnfsf14,Tcerg1l,,
,Tnfsf18,Tcf20,,
,Tnfsf9,Tcf4,,
,Tnip2,Tfap2d,,
,Tnni2,Tchh,,
,Tns4,Tcp11,,
,Top3a,Tdrd3,,
,Tor3a,Tdrd6,,
,Tor4a,Tead1,,
,Tpd52,Tecta,,
,Tpm3,Tekt2,,
,Tpp1,Terf2,,
,Tpsab1,Terf2ip,,
,Tpst2,Tet3,,
,Tradd,Tex15,,
,Traf2,Tex30,,
,Traf3ip3,Tgfb1,,
,Traf5,Th,,
,Trem1,Thbs2,,
,Trem2,Thsd7a,,
,Trem3,Thsd7b,,
,Treml1,Thy1,,
,Treml2,Tiam2,,
,Treml4,Timeless,,
,Trex1,Tle3,,
,Trib1,Tlk2,,
,Trim14,Tm4sf5,,
,Trim21,Tmem130,,
,Trim30d,Tmem132a,,
,Trim47,Tmem145,,
,Trim65,Tmem150c,,
,Trmt2a,Tmem158,,
,Trpm2,Tmem169,,
,Trpm4,Tmem178,,
,Trpv2,Tmem198,,
,Trpv4,Tmem200a,,
,Tslp,Tmem210,,
,Tspan14,Tmem30c,,
,Tspan32,Tmem35a,,
,Tspan33,Tmem59l,,
,Tspan8,Tmem63c,,
,Ttc39b,Syndig1l,,
,Ttc7,Tmem91,,
,Tuba4a,Tmppe,,
,Tubb1,Tmprss2,,
,Tubb6,Tnfaip8l3,,
,Twf2,Tnrc6c,,
,Txnip,Tomm5,,
,Txnrd1,Top2a,,
,Tyrobp,Tpx2,,
,Uap1l1,Trank1,,
,Uba7,Trappc6b,,
,Ubash3b,Tfr2,,
,Ubc,Trhde,,
,Ube2g2,Trim17,,
,Ucp2,Trim33,,
,Ugt1a7c,Trim46,,
,Ugt1a9,Trim66,,
,Uhrf1bp1,Trim67,,
,Umps,Trnp1,,
,Unc13d,Tro,,
,Unc93b1,Trp53i11,,
,Usp25,Trp73,,
,Usp35,Trpc3,,
,Vamp8,Trpc4,,
,Vasp,Trpc5,,
,Vav1,Trpc6,,
,Vav2,Trpc7,,
,Vipr1,Trpv1,,
,Vpreb3,Trpv6,,
,Vps13c,Trrap,,
,Vps18,Tsc22d2,,
,Vps26a,Tspan11,,
,Vps37b,Tspyl4,,
,Vrk2,Ttbk2,,
,Vwa5a,Ttc22,,
,Was,Ttc26,,
,Wasf2,Ttc34,,
,Wdfy2,Ttc39a,,
,Wdfy4,Ttc9b,,
,Wdr55,Ttl,,
,Wdr81,Tuba8,,
,Wnt11,Tubb2a,,
,Wwp2,Tubb2a-ps2,,
,Pald1,Tubb2b,,
,Xcr1,Tubb3,,
,Xdh,Tubg2,,
,Xirp1,Tuft1,,
,Ykt6,Tulp1,,
,Zbtb32,Tusc3,,
,Zbtb8os,Twsg1,,
,Zc3h10,Ubash3b,,
,Zc3h12a,Ube2c,,
,Zc3h6,Ube2o,,
,Zc3hav1,Ube2ql1,,
,Zfhx3,Ube2v2,,
,Zfp296,Ubfd1,,
,Zfp36,Ubqln1,,
,Zfp385a,Ubqln2,,
,Zfp513,Uchl1,,
,Zfp658,Ufsp1,,
,Zfp691,Uggt2,,
,Zfp697,Ulk1,,
,Zfp703,Unc119,,
,Zfp710,Unc13a,,
,Zfpm1,Unc5a,,
,Zfyve26,Unc5d,,
,Zmynd15,Upf2,,
,Znfx1,Upk3a,,
,Zswim4,Upp2,,
,Zyx,Urb1,,
,,Usp11,,
,,Usp22,,
,,Usp28,,
,,Usp29,,
,,Usp48,,
,,Usp9x,,
,,Utp23,,
,,Utp3,,
,,Vamp2,,
,,Vash2,,
,,Vax1,,
,,Vezf1,,
,,Vgf,,
,,Vip,,
,,Vkorc1l1,,
,,Vmn2r1,,
,,Vmn2r2,,
,,Vopp1,,
,,Dcaf1,,
,,Vsnl1,,
,,Vstm2a,,
,,Vstm2l,,
,,Vwa5b2,,
,,Vwc2,,
,,Vwc2l,,
,,Vwce,,
,,Wdhd1,,
,,Wdr47,,
,,Wdr6,,
,,Wdr74,,
,,Wrap73,,
,,Whrn,,
,,Nsd2,,
,,Wif1,,
,,Wipf3,,
,,Wiz,,
,,Wnt2,,
,,Wscd2,,
,,Xkr4,,
,,Xkr7,,
,,Xxylt1,,
,,Ybx2,,
,,Ydjc,,
,,Ypel1,,
,,Ypel4,,
,,Yrdc,,
,,Ywhag,,
,,Zbtb12,,
,,Zbtb16,,
,,Zbtb18,,
,,Zbtb8b,,
,,Zc2hc1a,,
,,Zc3h13,,
,,Zcchc12,,
,,Zcchc18,,
,,Zdbf2,,
,,Zdhhc22,,
,,Zfp280d,,
,,Zfp292,,
,,Zfp362,,
,,Zfp37,,
,,Zfp385b,,
,,Zfp423,,
,,Zfp532,,
,,Zfp57,,
,,Zfp575,,
,,Zfp62,,
,,Zfp644,,
,,Zfp667,,
,,Zfp711,,
,,Zfp804a,,
,,Zfp804b,,
,,Zfp821,,
,,Zfp871,,
,,Zfp92,,
,,Zfpm2,,
,,Zfr2,,
,,Zic1,,
,,Zic2,,
,,Zic4,,
,,Zkscan16,,
,,Zmat4,,
,,Zmym2,,
,,Zmym3,,
,,Zfp143,,
,,Zfp148,,
,,Zfp422,,
,,Zfp280c,,
,,Zfp280d,,
,,Zfp423,,
,,Zfp521,,
,,Zfp532,,
,,Zfp536,,
,,Zfp609,,
,,Zfp668,,
,,Zfp704,,
,,Zpbp,,
,,Zscan21,,
,,Zwint,,
,,Shtn1,,
