ID	Symbol	Name	Species	Date	Remarks
8294	HIST1H4I	histone cluster 1, H4i	Hs	11/03/2015	
127731	VWA5B1	von Willebrand factor A domain containing 5B1	Hs	11/03/2015	
127733	UBXN10	UBX domain protein 10	Hs	11/03/2015	
65268	WNK2	WNK lysine deficient protein kinase 2	Hs	11/03/2015	
343637	RSPO4	R-spondin family, member 4	Hs	11/03/2015	
65260	C1orf163	chromosome 1 open reading frame 163	Hs	11/03/2015	
393	ARHGAP4	Rho GTPase activating protein 4	Hs	11/03/2015	
392	ARHGAP1	Rho GTPase activating protein 1	Hs	11/03/2015	
391	RHOG	ras homolog gene family, member G (rho G)	Hs	11/03/2015	
390	RND3	Rho family GTPase 3	Hs	11/03/2015	
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	Hs	11/03/2015	
396	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	Hs	11/03/2015	
395	ARHGAP6	Rho GTPase activating protein 6	Hs	11/03/2015	
394	ARHGAP5	Rho GTPase activating protein 5	Hs	11/03/2015	
399	RHOH	ras homolog gene family, member H	Hs	11/03/2015	
398	ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma	Hs	11/03/2015	
93134	ZNF561	zinc finger protein 561	Hs	11/03/2015	
389690	FLJ43860	FLJ43860 protein	Hs	11/03/2015	
3748	KCNC3	potassium voltage-gated channel, Shaw-related subfamily, member 3	Hs	11/03/2015	
3749	KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4	Hs	11/03/2015	
3746	KCNC1	potassium voltage-gated channel, Shaw-related subfamily, member 1	Hs	11/03/2015	
3747	KCNC2	potassium voltage-gated channel, Shaw-related subfamily, member 2	Hs	11/03/2015	
3744	KCNA10	potassium voltage-gated channel, shaker-related subfamily, member 10	Hs	11/03/2015	
3745	KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	Hs	11/03/2015	
3742	KCNA6	potassium voltage-gated channel, shaker-related subfamily, member 6	Hs	11/03/2015	
3743	KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	Hs	11/03/2015	
3741	KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5	Hs	11/03/2015	
222553	SLC35F1	solute carrier family 35, member F1	Hs	11/03/2015	
57661	PHRF1	PHD and ring finger domains 1	Hs	11/03/2015	
57663	USP29	ubiquitin specific peptidase 29	Hs	11/03/2015	
57665	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	Hs	11/03/2015	
57664	PLEKHA4	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4	Hs	11/03/2015	
57666	FBRSL1	fibrosin-like 1	Hs	11/03/2015	
57669	EPB41L5	erythrocyte membrane protein band 4.1 like 5	Hs	11/03/2015	
116224	FAM122A	family with sequence similarity 122A	Hs	11/03/2015	
113146	AHNAK2	AHNAK nucleoprotein 2	Hs	11/03/2015	
146310	RNF151	ring finger protein 151	Hs	11/03/2015	
57085	AGTRAP	angiotensin II receptor-associated protein	Hs	11/03/2015	
57084	SLC17A6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	Hs	11/03/2015	
57082	CASC5	cancer susceptibility candidate 5	Hs	11/03/2015	
260294	NSUN5C	NOL1/NOP2/Sun domain family, member 5C	Hs	11/03/2015	
57089	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	Hs	11/03/2015	
57088	PLSCR4	phospholipid scramblase 4	Hs	11/03/2015	
286234	C9orf79	chromosome 9 open reading frame 79	Hs	11/03/2015	
731223	LOC731223	hypothetical LOC731223	Hs	11/03/2015	
731220	hCG_1645516	hypothetical protein LOC731220	Hs	11/03/2015	
6819	SULT1C2	sulfotransferase family, cytosolic, 1C, member 2	Hs	11/03/2015	
6818	SULT1A3	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	Hs	11/03/2015	
6811	STX5	syntaxin 5	Hs	11/03/2015	
6810	STX4	syntaxin 4	Hs	11/03/2015	
6813	STXBP2	syntaxin binding protein 2	Hs	11/03/2015	
6812	STXBP1	syntaxin binding protein 1	Hs	11/03/2015	
6814	STXBP3	syntaxin binding protein 3	Hs	11/03/2015	
6817	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	Hs	11/03/2015	
9757	MLL4	myeloid/lymphoid or mixed-lineage leukemia 4	Hs	11/03/2015	
9755	TBKBP1	TBK1 binding protein 1	Hs	11/03/2015	
9754	STARD8	StAR-related lipid transfer (START) domain containing 8	Hs	11/03/2015	
9753	ZSCAN12	zinc finger and SCAN domain containing 12	Hs	11/03/2015	
9752	PCDHA9	protocadherin alpha 9	Hs	11/03/2015	
9751	SNPH	syntaphilin	Hs	11/03/2015	
9750	FAM65B	family with sequence similarity 65, member B	Hs	11/03/2015	
