Source Identifier	SystemCode
ENSG00000197102	En
ENSG00000158560	En
ENSG00000077380	En
ENSG00000144635	En
ENSG00000135720	En
ENSG00000117298	En
ENSG00000104823	En
ENSG00000093144	En
ENSG00000127884	En
ENSG00000102189	En
ENSG00000156508	En
ENSG00000101210	En
ENSG00000114942	En
ENSG00000104529	En
ENSG00000254772	En
ENSG00000167658	En
ENSG00000115380	En
ENSG00000142634	En
ENSG00000084710	En
ENSG00000146648	En
ENSG00000110047	En
ENSG00000024422	En
ENSG00000013016	En
ENSG00000134001	En
ENSG00000130741	En
ENSG00000107581	En
ENSG00000106263	En
ENSG00000184110	En
ENSG00000175390	En
ENSG00000084623	En
ENSG00000100129	En
ENSG00000156976	En
ENSG00000063046	En
ENSG00000100664	En
ENSG00000132507	En
ENSG00000127463	En
ENSG00000125746	En
ENSG00000154380	En
ENSG00000149218	En
ENSG00000106991	En
ENSG00000074800	En
ENSG00000111674	En
ENSG00000145293	En
ENSG00000001561	En
ENSG00000164303	En
ENSG00000143420	En
ENSG00000138185	En
ENSG00000054179	En
ENSG00000168032	En
ENSG00000088367	En
ENSG00000079819	En
ENSG00000082397	En
ENSG00000086289	En
ENSG00000116106	En
ENSG00000133216	En
ENSG00000143819	En
ENSG00000120915	En
ENSG00000063245	En
NA	En
ENSG00000085832	En
ENSG00000127527	En
ENSG00000164307	En
NA	En
ENSG00000113719	En
ENSG00000147475	En
NA	En
ENSG00000089248	En
ENSG00000023318	En
ENSG00000139684	En
ENSG00000139641	En
ENSG00000120705	En
ENSG00000140374	En
ENSG00000105379	En
ENSG00000171503	En
ENSG00000131558	En
ENSG00000092820	En
ENSG00000124491	En
ENSG00000117525	En
ENSG00000121769	En
ENSG00000164687	En
ENSG00000164434	En
ENSG00000103876	En
ENSG00000115042	En
NA	En
NA	En
ENSG00000148468	En
NA	En
NA	En
NA	En
ENSG00000152767	En
ENSG00000116120	En
ENSG00000169710	En
ENSG00000077942	En
ENSG00000166147	En
ENSG00000108306	En
ENSG00000116661	En
ENSG00000275395	En
ENSG00000150337	En
ENSG00000160752	En
ENSG00000073712	En
ENSG00000171560	En
ENSG00000171564	En
ENSG00000113578	En
ENSG00000171557	En
ENSG00000091483	En
ENSG00000022267	En
ENSG00000172500	En
ENSG00000214253	En
ENSG00000088832	En
ENSG00000173486	En
ENSG00000100442	En
ENSG00000004478	En
ENSG00000196924	En
ENSG00000136068	En
ENSG00000128591	En
ENSG00000137312	En
ENSG00000132589	En
ENSG00000155816	En
ENSG00000157827	En
ENSG00000167363	En
ENSG00000141560	En
ENSG00000168522	En
ENSG00000165457	En
ENSG00000171877	En
ENSG00000260230	En
ENSG00000075618	En
ENSG00000105255	En
ENSG00000167996	En
ENSG00000087086	En
ENSG00000010810	En
ENSG00000160211	En
ENSG00000171298	En
ENSG00000034713	En
ENSG00000204681	En
ENSG00000136928	En
ENSG00000022355	En
ENSG00000145864	En
ENSG00000136750	En
ENSG00000108479	En
ENSG00000089597	En
ENSG00000172020	En
ENSG00000111640	En
NA	En
ENSG00000007237	En
ENSG00000171766	En
NA	En
NA	En
ENSG00000117228	En
ENSG00000115271	En
ENSG00000001084	En
ENSG00000119125	En
ENSG00000203879	En
ENSG00000057608	En
ENSG00000131095	En
ENSG00000006625	En
ENSG00000137563	En
ENSG00000100031	En
ENSG00000099998	En
ENSG00000131067	En
ENSG00000108262	En
ENSG00000152661	En
ENSG00000090863	En
ENSG00000122694	En
ENSG00000124767	En
ENSG00000167699	En
ENSG00000139433	En
ENSG00000148672	En
ENSG00000135821	En
ENSG00000197045	En
ENSG00000173540	En
ENSG00000137198	En
ENSG00000100938	En
ENSG00000163655	En
ENSG00000088256	En
ENSG00000120063	En
ENSG00000127955	En
ENSG00000114353	En
ENSG00000065135	En
ENSG00000087258	En
ENSG00000156052	En
ENSG00000087460	En
ENSG00000128266	En
ENSG00000078369	En
ENSG00000172354	En
NA	En
ENSG00000114450	En
ENSG00000069966	En
ENSG00000172380	En
ENSG00000186469	En
ENSG00000168243	En
ENSG00000176533	En
ENSG00000204590	En
ENSG00000113552	En
ENSG00000163281	En
ENSG00000173905	En
ENSG00000120053	En
ENSG00000125166	En
ENSG00000167588	En
ENSG00000152642	En
ENSG00000115159	En
ENSG00000171723	En
ENSG00000105220	En
ENSG00000150625	En
ENSG00000046653	En
ENSG00000151025	En
ENSG00000170075	En
ENSG00000169258	En
ENSG00000169727	En
ENSG00000233276	En
ENSG00000167468	En
ENSG00000177885	En
ENSG00000137106	En
ENSG00000120251	En
ENSG00000164082	En
ENSG00000198822	En
ENSG00000168959	En
ENSG00000030582	En
ENSG00000105723	En
ENSG00000103342	En
ENSG00000104687	En
ENSG00000100983	En
ENSG00000134184	En
ENSG00000213366	En
ENSG00000134202	En
ENSG00000134201	En
ENSG00000148834	En
ENSG00000084207	En
ENSG00000133433	En
NA	En
ENSG00000143774	En
ENSG00000163754	En
ENSG00000049239	En
ENSG00000138796	En
ENSG00000084754	En
ENSG00000138029	En
ENSG00000063854	En
ENSG00000145681	En
ENSG00000132702	En
ENSG00000187664	En
NA	En
ENSG00000206172	En
ENSG00000244734	En
ENSG00000223609	En
ENSG00000143321	En
NA	En
ENSG00000167220	En
ENSG00000013583	En
ENSG00000051620	En
ENSG00000165478	En
ENSG00000049860	En
ENSG00000185359	En
ENSG00000106049	En
ENSG00000198130	En
ENSG00000169567	En
ENSG00000111911	En
ENSG00000130787	En
NA	En
NA	En
NA	En
ENSG00000156515	En
ENSG00000206503	En
ENSG00000234745	En
ENSG00000204287	En
ENSG00000196126	En
ENSG00000103415	En
ENSG00000150540	En
ENSG00000135486	En
ENSG00000122566	En
ENSG00000092199	En
ENSG00000138668	En
ENSG00000165119	En
ENSG00000153187	En
ENSG00000152413	En
ENSG00000257017	En
ENSG00000121905	En
ENSG00000115756	En
ENSG00000116983	En
ENSG00000165704	En
ENSG00000110169	En
ENSG00000174775	En
NA	En
ENSG00000072506	En
ENSG00000149084	En
ENSG00000133835	En
ENSG00000119471	En
ENSG00000080824	En
ENSG00000096384	En
ENSG00000166598	En
ENSG00000165868	En
ENSG00000204388	En
ENSG00000126803	En
ENSG00000170606	En
ENSG00000164070	En
ENSG00000044574	En
ENSG00000109971	En
ENSG00000113013	En
ENSG00000106211	En
ENSG00000144381	En
ENSG00000115541	En
ENSG00000142798	En
ENSG00000120694	En
ENSG00000197386	En
ENSG00000086758	En
ENSG00000149428	En
ENSG00000134330	En
ENSG00000090339	En
ENSG00000105376	En
ENSG00000138413	En
ENSG00000182054	En
ENSG00000166411	En
ENSG00000101365	En
ENSG00000067064	En
ENSG00000197081	En
ENSG00000211895	En
ENSG00000211896	En
ENSG00000211893	En
ENSG00000211897	En
ENSG00000211899	En
ENSG00000211592	En
ENSG00000222037	En
ENSG00000142549	En
ENSG00000147255	En
ENSG00000117154	En
ENSG00000162729	En
ENSG00000143621	En
ENSG00000129351	En
ENSG00000166333	En
ENSG00000105135	En
ENSG00000132305	En
ENSG00000133731	En
ENSG00000148798	En
ENSG00000151689	En
ENSG00000068383	En
ENSG00000065150	En
ENSG00000205339	En
ENSG00000140575	En
ENSG00000144711	En
ENSG00000167378	En
ENSG00000182149	En
ENSG00000105655	En
ENSG00000129636	En
NA	En
ENSG00000213949	En
ENSG00000164171	En
ENSG00000005884	En
ENSG00000161638	En
ENSG00000091409	En
ENSG00000135424	En
ENSG00000169896	En
ENSG00000138448	En
ENSG00000140678	En
ENSG00000150093	En
ENSG00000160255	En
ENSG00000259207	En
ENSG00000132470	En
ENSG00000082781	En
ENSG00000105855	En
ENSG00000143772	En
ENSG00000123104	En
ENSG00000154721	En
ENSG00000166086	En
ENSG00000173801	En
NA	En
ENSG00000176595	En
ENSG00000111262	En
ENSG00000177301	En
ENSG00000069424	En
ENSG00000156113	En
ENSG00000143603	En
ENSG00000178695	En
ENSG00000183775	En
ENSG00000121774	En
ENSG00000088247	En
ENSG00000135709	En
NA	En
NA	En
NA	En
NA	En
ENSG00000130294	En
ENSG00000139116	En
ENSG00000068796	En
ENSG00000170759	En
ENSG00000168280	En
ENSG00000126214	En
ENSG00000186432	En
ENSG00000108424	En
ENSG00000203786	En
ENSG00000126777	En
ENSG00000198910	En
ENSG00000196569	En
ENSG00000112769	En
ENSG00000130702	En
ENSG00000172037	En
ENSG00000135862	En
ENSG00000185896	En
ENSG00000005893	En
ENSG00000149357	En
ENSG00000115365	En
ENSG00000132434	En
ENSG00000002549	En
ENSG00000002834	En
ENSG00000205629	En
ENSG00000136167	En
ENSG00000134333	En
ENSG00000111716	En
ENSG00000100097	En
ENSG00000131981	En
ENSG00000108679	En
ENSG00000119862	En
ENSG00000108231	En
ENSG00000107902	En
ENSG00000169756	En
ENSG00000148943	En
ENSG00000131899	En
ENSG00000074695	En
ENSG00000169223	En
ENSG00000160789	En
ENSG00000113441	En
ENSG00000123384	En
ENSG00000163956	En
NA	En
ENSG00000066557	En
ENSG00000130764	En
ENSG00000180979	En
ENSG00000136802	En
ENSG00000148356	En
ENSG00000185565	En
ENSG00000111144	En
ENSG00000176956	En
ENSG00000254087	En
ENSG00000163818	En
ENSG00000003056	En
ENSG00000127603	En
ENSG00000172264	En
ENSG00000110514	En
ENSG00000105695	En
ENSG00000187391	En
ENSG00000145050	En
ENSG00000189221	En
ENSG00000069535	En
ENSG00000166963	En
ENSG00000131711	En
ENSG00000130479	En
ENSG00000078018	En
ENSG00000169032	En
ENSG00000126934	En
ENSG00000065559	En
ENSG00000047849	En
ENSG00000171533	En
ENSG00000100030	En
ENSG00000109339	En
ENSG00000102882	En
ENSG00000138834	En
ENSG00000101367	En
ENSG00000166974	En
ENSG00000084764	En
ENSG00000186868	En
ENSG00000277443	En
ENSG00000175130	En
ENSG00000116141	En
ENSG00000168906	En
ENSG00000038274	En
ENSG00000176055	En
ENSG00000197971	En
ENSG00000076706	En
ENSG00000131844	En
ENSG00000232119	En
ENSG00000014641	En
ENSG00000146701	En
ENSG00000065833	En
ENSG00000082212	En
NA	En
ENSG00000111142	En
NA	En
ENSG00000140545	En
NA	En
NA	En
ENSG00000074416	En
ENSG00000141503	En
ENSG00000100427	En
ENSG00000110917	En
NA	En
ENSG00000204655	En
ENSG00000079931	En
ENSG00000178802	En
ENSG00000108852	En
NA	En
ENSG00000128309	En
ENSG00000158186	En
ENSG00000260314	En
ENSG00000011028	En
ENSG00000179832	En
ENSG00000147065	En
ENSG00000099810	En
ENSG00000109919	En
NA	En
ENSG00000100714	En
ENSG00000063601	En
ENSG00000198793	En
ENSG00000105887	En
NA	En
ENSG00000128654	En
ENSG00000013364	En
ENSG00000133026	En
ENSG00000133392	En
ENSG00000105357	En
ENSG00000100345	En
ENSG00000118680	En
ENSG00000092841	En
ENSG00000196465	En
ENSG00000065534	En
ENSG00000196535	En
ENSG00000197879	En
ENSG00000176658	En
ENSG00000197535	En
ENSG00000196586	En
ENSG00000138119	En
ENSG00000152620	En
ENSG00000159593	En
ENSG00000124357	En
ENSG00000105835	En
ENSG00000095380	En
ENSG00000187109	En
ENSG00000205531	En
ENSG00000105402	En
ENSG00000125814	En
ENSG00000134265	En
NA	En
ENSG00000104490	En
ENSG00000149294	En
ENSG00000154654	En
ENSG00000130287	En
ENSG00000020129	En
ENSG00000144959	En
ENSG00000071051	En
ENSG00000061676	En
ENSG00000115053	En
ENSG00000111912	En
ENSG00000107130	En
ENSG00000162736	En
ENSG00000166579	En
ENSG00000104419	En
ENSG00000165795	En
ENSG00000101079	En
ENSG00000103034	En
ENSG00000130414	En
ENSG00000186010	En
ENSG00000131495	En
ENSG00000128609	En
ENSG00000119421	En
ENSG00000139180	En
ENSG00000140990	En
ENSG00000147684	En
ENSG00000023228	En
ENSG00000158864	En
ENSG00000213619	En
ENSG00000168653	En
ENSG00000145494	En
ENSG00000167792	En
ENSG00000178127	En
ENSG00000123119	En
ENSG00000103154	En
ENSG00000089818	En
ENSG00000255526	En
ENSG00000277586	En
ENSG00000104722	En
ENSG00000172260	En
ENSG00000117691	En
ENSG00000067141	En
ENSG00000163531	En
ENSG00000116962	En
ENSG00000087303	En
ENSG00000196290	En
ENSG00000184117	En
ENSG00000136783	En
ENSG00000010322	En
ENSG00000158793	En
ENSG00000114021	En
ENSG00000011052	En
ENSG00000136448	En
ENSG00000112992	En
ENSG00000140939	En
ENSG00000141458	En
ENSG00000119655	En
ENSG00000215440	En
ENSG00000141279	En
ENSG00000181163	En
ENSG00000156642	En
ENSG00000171246	En
ENSG00000181019	En
ENSG00000124588	En
ENSG00000091129	En
ENSG00000124785	En
ENSG00000021645	En
ENSG00000073969	En
ENSG00000088833	En
ENSG00000076685	En
ENSG00000135318	En
ENSG00000182667	En
ENSG00000196358	En
ENSG00000148053	En
ENSG00000104805	En
ENSG00000070081	En
ENSG00000069275	En
ENSG00000090273	En
ENSG00000015676	En
ENSG00000198585	En
ENSG00000165609	En
ENSG00000102898	En
ENSG00000105953	En
ENSG00000119900	En
ENSG00000138430	En
ENSG00000126861	En
ENSG00000198836	En
ENSG00000183715	En
ENSG00000229314	En
ENSG00000110048	En
ENSG00000141447	En
ENSG00000167770	En
ENSG00000083720	En
ENSG00000164830	En
