GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
182 Ensembl source identifiers supplied in the input file:yellow_Module.txt
182 source identifiers meeting the filter linked to a Ensembl ID.
181 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
1732 Genes linked to a term.
The z score is based on an N of 1732 and a R of 181 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0030865	cortical cytoskeleton organization	biological_process	4	10	21	40.0	47.619047619	3.06257727466	0.012	0.3576
GO:0016298	lipase activity	molecular_function	4	10	110	40.0	9.09090909091	3.06257727466	0.016	0.421086956522
GO:0009185	ribonucleoside diphosphate metabolic process	biological_process	4	10	17	40.0	58.8235294118	3.06257727466	0.0145	0.395584507042
GO:0005774	vacuolar membrane	cellular_component	14	64	347	21.875	18.4438040346	3.04359063628	0.0045	0.2179125
GO:0071496	cellular response to external stimulus	biological_process	8	29	181	27.5862068966	16.0220994475	3.04122693092	0.0055	0.250082159624
GO:0017048	Rho GTPase binding	molecular_function	6	19	66	31.5789473684	28.7878787879	3.02635656355	0.014	0.390749279539
GO:0007605	sensory perception of sound	biological_process	6	19	134	31.5789473684	14.1791044776	3.02635656355	0.009	0.333965517241
GO:0019898	extrinsic component of membrane	cellular_component	7	24	112	29.1666666667	21.4285714286	3.01740350552	0.0095	0.342035315985
GO:0007584	response to nutrient	biological_process	7	24	145	29.1666666667	16.5517241379	3.01740350552	0.014	0.390749279539
GO:0033993	response to lipid	biological_process	17	84	650	20.2380952381	12.9230769231	3.00535023119	0.0055	0.250082159624
GO:0022604	regulation of cell morphogenesis	biological_process	17	84	389	20.2380952381	21.5938303342	3.00535023119	0.0065	0.27610745614
