Ensembl	symbol	GeneOntology
ENSG00000108561	C1QBP	GO:0043232
ENSG00000099204	ABLIM1	GO:0043232
ENSG00000077380	DYNC1I2	GO:0043232
ENSG00000103257	SLC7A5	GO:0043232
ENSG00000198755	RPL10A	GO:0043232
ENSG00000106588	PSMA2	GO:0043232
ENSG00000188846	RPL14	GO:0043232
ENSG00000143621	ILF2	GO:0043232
ENSG00000165916	PSMC3	GO:0043232
ENSG00000129084	PSMA1	GO:0043232
ENSG00000072110	ACTN1	GO:0043232
ENSG00000111911	HINT3	GO:0043232
ENSG00000100902	PSMA6	GO:0043232
ENSG00000136930	PSMB7	GO:0043232
ENSG00000148798	INA	GO:0043232
ENSG00000129351	ILF3	GO:0043232
ENSG00000113013	HSPA9	GO:0043232
ENSG00000198130	HIBCH	GO:0043233
ENSG00000075239	ACAT1	GO:0043233
ENSG00000127884	ECHS1	GO:0043233
ENSG00000138796	HADH	GO:0043233
ENSG00000108561	C1QBP	GO:0043233
ENSG00000104687	GSR	GO:0043233
ENSG00000111275	ALDH2	GO:0043233
ENSG00000112294	ALDH5A1	GO:0043233
ENSG00000140374	ETFA	GO:0043233
ENSG00000072110	ACTN1	GO:0043233
ENSG00000104325	DECR1	GO:0043233
ENSG00000091140	DLD	GO:0043233
ENSG00000183044	ABAT	GO:0043233
ENSG00000105379	ETFB	GO:0043233
ENSG00000148672	GLUD1	GO:0043233
ENSG00000100412	ACO2	GO:0043233
ENSG00000125166	GOT2	GO:0043233
ENSG00000106049	HIBADH	GO:0043233
ENSG00000146701	MDH2	GO:0043233
ENSG00000116288	PARK7	GO:1901671
ENSG00000138796	HADH	GO:1903531
ENSG00000116288	PARK7	GO:0009566
ENSG00000148672	GLUD1	GO:1903532
ENSG00000111716	LDHB	GO:0046496
ENSG00000106049	HIBADH	GO:0046496
ENSG00000146701	MDH2	GO:0046496
ENSG00000188846	RPL14	GO:0034660
ENSG00000091140	DLD	GO:0034660
ENSG00000165916	PSMC3	GO:0006195
ENSG00000165916	PSMC3	GO:0006200
ENSG00000072110	ACTN1	GO:0044433
ENSG00000091140	DLD	GO:0044433
ENSG00000077380	DYNC1I2	GO:0044430
ENSG00000129084	PSMA1	GO:0044430
ENSG00000072110	ACTN1	GO:0044430
ENSG00000148798	INA	GO:0044430
ENSG00000091140	DLD	GO:0044437
ENSG00000099204	ABLIM1	GO:0009887
ENSG00000111640	GAPDH	GO:0009889
ENSG00000108561	C1QBP	GO:0009889
ENSG00000099204	ABLIM1	GO:0009889
