Ensembl	symbol	KEGG
ENSG00000072210	ALDH3A2	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000154930	ACSS1	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000168291	PDHB	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000134333	LDHA	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000150768	DLAT	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000241685	ARPC1A	Shigellosis:KEGG-hsa05131
ENSG00000003056	M6PR	Phagosome:KEGG-hsa04145
ENSG00000234745	HLA-B	Phagosome:KEGG-hsa04145
ENSG00000179218	CALR	Phagosome:KEGG-hsa04145
ENSG00000169896	ITGAM	Phagosome:KEGG-hsa04145
ENSG00000127022	CANX	Phagosome:KEGG-hsa04145
ENSG00000260314	MRC1	Phagosome:KEGG-hsa04145
ENSG00000004939	SLC4A1	Collecting duct acid secretion:KEGG-hsa04966
ENSG00000101444	AHCY	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000134333	LDHA	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000168906	MAT2A	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000169896	ITGAM	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000117118	SDHB	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000168291	PDHB	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000073578	SDHA	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000150768	DLAT	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000105953	OGDH	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000105974	CAV1	Endocytosis:KEGG-hsa04144
ENSG00000146648	EGFR	Endocytosis:KEGG-hsa04144
ENSG00000234745	HLA-B	Endocytosis:KEGG-hsa04144
ENSG00000110047	EHD1	Endocytosis:KEGG-hsa04144
ENSG00000165457	FOLR2	Endocytosis:KEGG-hsa04144
ENSG00000110090	CPT1A	PPAR signaling pathway:KEGG-hsa03320
ENSG00000168959	GRM5	Long-term depression:KEGG-hsa04730
ENSG00000072210	ALDH3A2	beta-Alanine metabolism:KEGG-hsa00410
ENSG00000146648	EGFR	ErbB signaling pathway:KEGG-hsa04012
ENSG00000148660	CAMK2G	ErbB signaling pathway:KEGG-hsa04012
ENSG00000234745	HLA-B	Antigen processing and presentation:KEGG-hsa04612
ENSG00000179218	CALR	Antigen processing and presentation:KEGG-hsa04612
ENSG00000044574	HSPA5	Antigen processing and presentation:KEGG-hsa04612
ENSG00000127022	CANX	Antigen processing and presentation:KEGG-hsa04612
ENSG00000167004	PDIA3	Antigen processing and presentation:KEGG-hsa04612
ENSG00000109743	BST1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000113721	PDGFRB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000213585	VDAC1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000146648	EGFR	Calcium signaling pathway:KEGG-hsa04020
ENSG00000165637	VDAC2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000168959	GRM5	Calcium signaling pathway:KEGG-hsa04020
