Ensembl	symbol	WikiPathways
ENSG00000063046	EIF4B	Interferon type I signaling pathways:WP585
ENSG00000079215	SLC1A3	Synaptic Vesicle Pathway:WP2267
ENSG00000151729	SLC25A4	Synaptic Vesicle Pathway:WP2267
ENSG00000138029	HADHB	SIDS Susceptibility Pathways:WP706
ENSG00000079215	SLC1A3	SIDS Susceptibility Pathways:WP706
ENSG00000166598	HSP90B1	SIDS Susceptibility Pathways:WP706
ENSG00000151729	SLC25A4	SIDS Susceptibility Pathways:WP706
ENSG00000189221	MAOA	SIDS Susceptibility Pathways:WP706
ENSG00000110090	CPT1A	SIDS Susceptibility Pathways:WP706
ENSG00000118705	RPN2	Proteasome Degradation:WP183
ENSG00000163902	RPN1	Proteasome Degradation:WP183
ENSG00000179218	CALR	Calcium Regulation in the Cardiac Cell:WP536
ENSG00000148660	CAMK2G	Calcium Regulation in the Cardiac Cell:WP536
ENSG00000174437	ATP2A2	Calcium Regulation in the Cardiac Cell:WP536
ENSG00000174444	RPL4	Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368
ENSG00000110090	CPT1A	Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368
ENSG00000146648	EGFR	Hair Follicle Development: Induction (Part 1 of 3):WP2804
ENSG00000146648	EGFR	AGE/RAGE pathway:WP2324
ENSG00000189221	MAOA	Dopamine metabolism:WP2436
ENSG00000093010	COMT	Dopamine metabolism:WP2436
ENSG00000146648	EGFR	Aryl Hydrocarbon Receptor Pathway:WP2873
ENSG00000138119	MYOF	Aryl Hydrocarbon Receptor Pathway:WP2873
ENSG00000184047	DIABLO	Apoptosis:WP254
ENSG00000118705	RPN2	Translation Factors:WP107
ENSG00000063046	EIF4B	Translation Factors:WP107
ENSG00000093010	COMT	Methylation Pathways:WP704
ENSG00000168906	MAT2A	Methylation Pathways:WP704
