GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
200 Ensembl source identifiers supplied in the input file:blue_Module.txt
200 source identifiers meeting the filter linked to a Ensembl ID.
97 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 97 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Wnt Signaling Pathway:WP428	1	9	67	11.1111111111	13.4328358209	-0.146453540296	0.663	1.0
Interferon type I signaling pathways:WP585	1	9	53	11.1111111111	16.9811320755	-0.146453540296	0.654	1.0
EPO Receptor Signaling:WP581	1	9	27	11.1111111111	33.3333333333	-0.146453540296	0.6765	1.0
Aryl Hydrocarbon Receptor:WP2586	1	9	47	11.1111111111	19.1489361702	-0.146453540296	0.6905	1.0
Alzheimers Disease:WP2059	3	26	81	11.5384615385	32.0987654321	-0.185302833572	0.9595	1.0
Ectoderm Differentiation:WP2858	2	18	144	11.1111111111	12.5	-0.208365538483	0.895	1.0
EGF/EGFR Signaling Pathway:WP437	5	43	168	11.6279069767	25.5952380952	-0.222999642866	0.997	1.0
Wnt Signaling Pathway Netpath:WP363	1	10	53	10.0	18.8679245283	-0.260525389142	0.6975	1.0
TSLP Signaling Pathway:WP2203	1	10	46	10.0	21.7391304348	-0.260525389142	0.696	1.0
MAPK Cascade:WP422	1	10	30	10.0	33.3333333333	-0.260525389142	0.7195	1.0
IL-6 signaling pathway:WP364	1	10	43	10.0	23.2558139535	-0.260525389142	0.706	1.0
IL-5 Signaling Pathway:WP127	1	10	41	10.0	24.3902439024	-0.260525389142	0.707	1.0
ErbB Signaling Pathway:WP673	1	10	58	10.0	17.2413793103	-0.260525389142	0.712	1.0
miRNA Biogenesis:WP2338	0	1	5	0.0	20.0	-0.381922324111	1.0	1.0
Type III interferon signaling:WP2113	0	1	11	0.0	9.09090909091	-0.381922324111	1.0	1.0
Triacylglyceride Synthesis:WP325	0	1	22	0.0	4.54545454545	-0.381922324111	1.0	1.0
Sphingolipid Metabolism:WP1422	0	1	19	0.0	5.26315789474	-0.381922324111	1.0	1.0
SRF and miRs in Smooth Muscle Differentiation and Proliferation:WP1991	0	1	17	0.0	5.88235294118	-0.381922324111	1.0	1.0
Peptide GPCRs:WP24	0	1	75	0.0	1.33333333333	-0.381922324111	1.0	1.0
NLR Proteins:WP288	0	1	9	0.0	11.1111111111	-0.381922324111	1.0	1.0
