Ensembl ID	UniGene ID
ENSG00000005156	Hs.100299
ENSG00000005156	Hs.556108
ENSG00000005156	Hs.594059
ENSG00000005175	Hs.437855
ENSG00000005175	Hs.606034
ENSG00000005175	Hs.622915
ENSG00000005175	Hs.712751
ENSG00000005187	Hs.641428
ENSG00000005187	Hs.706754
ENSG00000005189	Hs.177926
ENSG00000005194	Hs.4900
ENSG00000005206	Hs.715108
ENSG00000005206	Hs.744026
ENSG00000005238	Hs.301696
ENSG00000005238	Hs.626178
ENSG00000005243	Hs.408434
ENSG00000005249	Hs.433068
ENSG00000005249	Hs.593442
ENSG00000005249	Hs.605228
ENSG00000005302	Hs.655288
ENSG00000005339	Hs.459759
ENSG00000005339	Hs.595172
ENSG00000005339	Hs.600458
ENSG00000005339	Hs.708378
ENSG00000005379	Hs.618070
ENSG00000005379	Hs.713111
ENSG00000005381	Hs.458272
ENSG00000005381	Hs.593778
ENSG00000005421	Hs.370995
ENSG00000005421	Hs.611732
ENSG00000005436	Hs.303808
ENSG00000005436	Hs.641827
ENSG00000005436	Hs.658579
ENSG00000005436	Hs.710597
ENSG00000005436	Hs.734364
ENSG00000005469	Hs.125039
ENSG00000005471	Hs.601011
ENSG00000005471	Hs.654403
ENSG00000005483	Hs.592262
ENSG00000005483	Hs.613024
ENSG00000005486	Hs.488827
ENSG00000005513	Hs.243678
ENSG00000005700	Hs.306425
ENSG00000005700	Hs.604934
ENSG00000005801	Hs.386294
ENSG00000005810	Hs.151411
ENSG00000005810	Hs.591221
ENSG00000005812	Hs.508284
ENSG00000005812	Hs.665879
ENSG00000005812	Hs.713348
ENSG00000005844	Hs.174103
ENSG00000005882	Hs.256667
ENSG00000005884	Hs.265829
ENSG00000005889	Hs.336681
ENSG00000005889	Hs.370424
ENSG00000005893	Hs.496684
ENSG00000005893	Hs.703553
ENSG00000005961	Hs.411312
ENSG00000005981	Hs.602765
ENSG00000005981	Hs.737518
ENSG00000006007	Hs.512607
ENSG00000006007	Hs.598067
ENSG00000006007	Hs.623801
ENSG00000006015	Hs.625061
ENSG00000006015	Hs.639518
ENSG00000006015	Hs.655317
ENSG00000006016	Hs.114948
ENSG00000006025	Hs.463320
ENSG00000006042	Hs.3447
ENSG00000006042	Hs.667237
ENSG00000006042	Hs.714525
ENSG00000006047	Hs.567494
ENSG00000006047	Hs.678212
ENSG00000006059	Hs.512579
ENSG00000006062	Hs.404183
ENSG00000006071	Hs.54470
ENSG00000006116	Hs.7235
ENSG00000006118	Hs.118552
ENSG00000006118	Hs.708843
ENSG00000006125	Hs.597304
ENSG00000006125	Hs.617705
ENSG00000006128	Hs.2563
ENSG00000006128	Hs.601895
ENSG00000006194	Hs.161287
ENSG00000006194	Hs.592092
ENSG00000006194	Hs.611475
ENSG00000006194	Hs.733817
ENSG00000006194	Hs.745179
ENSG00000006210	Hs.531668
ENSG00000006282	Hs.103147
ENSG00000006282	Hs.739755
ENSG00000006283	Hs.591169
ENSG00000006377	Hs.249196
ENSG00000006377	Hs.648834
ENSG00000006432	Hs.445496
ENSG00000006432	Hs.593542
ENSG00000006432	Hs.630318
ENSG00000006432	Hs.641566
ENSG00000006451	Hs.547367
ENSG00000006451	Hs.644968
ENSG00000006451	Hs.6906
ENSG00000006453	Hs.656063
ENSG00000006453	Hs.701668
ENSG00000006459	Hs.308710
ENSG00000006459	Hs.625852
ENSG00000006459	Hs.629168
ENSG00000006468	Hs.22634
ENSG00000006468	Hs.627150
ENSG00000006468	Hs.697443
ENSG00000006530	Hs.685880
ENSG00000006530	Hs.733211
ENSG00000006530	Hs.743318
ENSG00000006534	Hs.523841
ENSG00000006534	Hs.602709
ENSG00000006555	Hs.16230
ENSG00000006576	Hs.203965
ENSG00000006576	Hs.601884
ENSG00000006606	Hs.131342
ENSG00000006607	Hs.655537
ENSG00000006607	Hs.726316
ENSG00000006611	Hs.502072
ENSG00000006634	Hs.485380
ENSG00000006634	Hs.573845
ENSG00000006634	Hs.701134
ENSG00000006638	Hs.442530
ENSG00000006652	Hs.702661
ENSG00000006652	Hs.729518
ENSG00000006652	Hs.744747
ENSG00000006652	Hs.7879
ENSG00000006659	Hs.24236
ENSG00000006695	Hs.462278
ENSG00000006695	Hs.640551
ENSG00000006704	Hs.647056
ENSG00000006712	Hs.466714
ENSG00000006715	Hs.148721
ENSG00000006715	Hs.605850
ENSG00000006715	Hs.638126
ENSG00000006740	Hs.499758
ENSG00000006740	Hs.618923
ENSG00000006740	Hs.667038
ENSG00000006740	Hs.737991
ENSG00000006740	Hs.740175
ENSG00000006744	Hs.434232
ENSG00000006756	Hs.528631
ENSG00000006757	Hs.264
ENSG00000006788	Hs.711142
ENSG00000006831	Hs.371642
ENSG00000006831	Hs.600531
ENSG00000006831	Hs.735430
ENSG00000006837	Hs.719926
ENSG00000007001	Hs.128427
ENSG00000007001	Hs.602682
ENSG00000007047	Hs.34314
ENSG00000007062	Hs.614734
ENSG00000007062	Hs.622476
ENSG00000007062	Hs.736099
ENSG00000007129	Hs.655885
ENSG00000007168	Hs.77318
ENSG00000007171	Hs.709191
ENSG00000007174	Hs.567259
ENSG00000007202	Hs.151761
ENSG00000007216	Hs.102307
ENSG00000007237	Hs.462214
ENSG00000007237	Hs.618996
ENSG00000007264	Hs.631845
ENSG00000007306	Hs.74466
ENSG00000007312	Hs.89575
ENSG00000007314	Hs.46038
ENSG00000007341	Hs.201921
ENSG00000007341	Hs.602519
ENSG00000007341	Hs.626741
ENSG00000007341	Hs.662672
ENSG00000007341	Hs.678783
ENSG00000007341	Hs.704149
ENSG00000007341	Hs.739536
ENSG00000007350	Hs.102866
ENSG00000007372	Hs.270303
ENSG00000007372	Hs.502235
ENSG00000007372	Hs.611376
ENSG00000007372	Hs.694375
ENSG00000007376	Hs.101742
ENSG00000007384	Hs.669906
ENSG00000007392	Hs.16803
ENSG00000007402	Hs.476273
ENSG00000007402	Hs.692457
ENSG00000007516	Hs.458427
ENSG00000007520	Hs.134846
ENSG00000007541	Hs.744949
ENSG00000007545	Hs.603676
ENSG00000007545	Hs.623492
ENSG00000007545	Hs.649340
ENSG00000007908	Hs.82848
ENSG00000007923	Hs.462640
ENSG00000007933	Hs.445350
ENSG00000007933	Hs.709019
ENSG00000007933	Hs.727057
ENSG00000007944	Hs.484738
ENSG00000007944	Hs.653717
ENSG00000007968	Hs.194333
ENSG00000007968	Hs.625101
ENSG00000008056	Hs.225936
ENSG00000008083	Hs.269059
ENSG00000008083	Hs.732973
ENSG00000008086	Hs.435570
ENSG00000008086	Hs.609210
ENSG00000008086	Hs.613815
ENSG00000008086	Hs.659851
ENSG00000008086	Hs.674709
ENSG00000008086	Hs.696079
ENSG00000008086	Hs.735323
ENSG00000008118	Hs.199068
ENSG00000008130	Hs.654792
ENSG00000008196	Hs.33102
ENSG00000008197	Hs.434107
ENSG00000008226	Hs.714499
ENSG00000008256	Hs.487479
ENSG00000008256	Hs.702333
ENSG00000008277	Hs.596889
ENSG00000008277	Hs.610310
ENSG00000008277	Hs.616826
ENSG00000008277	Hs.630308
ENSG00000008277	Hs.730222
ENSG00000008282	Hs.80919
ENSG00000008283	Hs.355264
ENSG00000008283	Hs.623628
ENSG00000008294	Hs.463439
ENSG00000008294	Hs.594826
ENSG00000008294	Hs.713834
ENSG00000008294	Hs.715865
ENSG00000008294	Hs.738131
ENSG00000008300	Hs.631926
ENSG00000008311	Hs.156738
ENSG00000008323	Hs.631660
ENSG00000008382	Hs.321689
ENSG00000008394	Hs.389700
ENSG00000008394	Hs.680544
ENSG00000008394	Hs.700679
ENSG00000008405	Hs.151573
ENSG00000008405	Hs.739819
ENSG00000008438	Hs.137583
ENSG00000008441	Hs.597451
ENSG00000008441	Hs.619048
ENSG00000008441	Hs.621701
ENSG00000008513	Hs.374257
ENSG00000008513	Hs.714208
ENSG00000008513	Hs.736266
ENSG00000008516	Hs.654979
ENSG00000008710	Hs.559245
ENSG00000008710	Hs.569615
ENSG00000008710	Hs.578873
ENSG00000008710	Hs.634612
ENSG00000008710	Hs.75813
ENSG00000008735	Hs.558180
ENSG00000008735	Hs.656617
ENSG00000008838	Hs.462983
ENSG00000008853	Hs.372688
ENSG00000008869	Hs.744084
ENSG00000008952	Hs.592561
ENSG00000008952	Hs.593127
ENSG00000008952	Hs.629470
ENSG00000008952	Hs.744859
ENSG00000008988	Hs.645656
ENSG00000009307	Hs.69855
ENSG00000009307	Hs.731984
ENSG00000009307	Hs.737558
ENSG00000009335	Hs.118351
ENSG00000009335	Hs.605244
ENSG00000009335	Hs.711323
ENSG00000009413	Hs.232021
ENSG00000009694	Hs.23796
ENSG00000009694	Hs.744536
ENSG00000009709	Hs.113253
ENSG00000009724	Hs.655645
ENSG00000009765	Hs.310225
ENSG00000009765	Hs.544367
ENSG00000009765	Hs.593957
ENSG00000009780	Hs.469359
ENSG00000009780	Hs.599891
ENSG00000009780	Hs.719519
ENSG00000009790	Hs.147434
ENSG00000009790	Hs.608357
ENSG00000009790	Hs.634602
ENSG00000009830	Hs.132989
ENSG00000009844	Hs.12565
ENSG00000009844	Hs.431367
ENSG00000009844	Hs.593536
ENSG00000009844	Hs.595041
ENSG00000009844	Hs.603025
ENSG00000009844	Hs.605251
ENSG00000009844	Hs.623074
ENSG00000009950	Hs.647055
ENSG00000009954	Hs.743372
ENSG00000010017	Hs.708182
ENSG00000010030	Hs.272398
ENSG00000010072	Hs.608253
ENSG00000010072	Hs.623990
ENSG00000010165	Hs.494705
ENSG00000010165	Hs.642424
ENSG00000010165	Hs.737211
ENSG00000010219	Hs.439530
ENSG00000010219	Hs.687156
ENSG00000010244	Hs.500775
ENSG00000010244	Hs.612377
ENSG00000010244	Hs.636112
ENSG00000010244	Hs.658344
ENSG00000010244	Hs.670238
ENSG00000010244	Hs.694378
ENSG00000010244	Hs.716993
ENSG00000010244	Hs.743764
ENSG00000010256	Hs.119251
ENSG00000010270	Hs.309753
ENSG00000010270	Hs.744269
ENSG00000010270	Hs.744885
ENSG00000010282	Hs.476041
ENSG00000010282	Hs.727842
ENSG00000010292	Hs.5719
ENSG00000010295	Hs.15243
ENSG00000010295	Hs.628927
ENSG00000010310	Hs.251412
ENSG00000010310	Hs.658534
ENSG00000010318	Hs.372719
ENSG00000010319	Hs.59729
ENSG00000010322	Hs.435290
ENSG00000010322	Hs.629379
ENSG00000010322	Hs.662535
ENSG00000010327	Hs.301989
ENSG00000010379	Hs.504398
ENSG00000010379	Hs.733878
ENSG00000010404	Hs.460960
ENSG00000010404	Hs.6795
ENSG00000010404	Hs.718003
ENSG00000010539	Hs.632222
ENSG00000010539	Hs.708748
ENSG00000010626	Hs.155586
ENSG00000010671	Hs.159494
ENSG00000010704	Hs.233325
ENSG00000010704	Hs.738117
ENSG00000010803	Hs.571874
ENSG00000010810	Hs.623374
ENSG00000010818	Hs.510172
ENSG00000010932	Hs.1424
ENSG00000011007	Hs.15535
ENSG00000011009	Hs.533479
ENSG00000011009	Hs.730360
ENSG00000011021	Hs.193043
ENSG00000011028	Hs.7835
ENSG00000011083	Hs.241597
ENSG00000011105	Hs.504517
ENSG00000011114	Hs.596502
ENSG00000011114	Hs.607884
ENSG00000011114	Hs.637026
ENSG00000011132	Hs.465607
ENSG00000011143	Hs.408843
ENSG00000011198	Hs.19385
ENSG00000011201	Hs.521869
ENSG00000011201	Hs.603939
ENSG00000011201	Hs.606153
ENSG00000011243	Hs.399800
ENSG00000011258	Hs.656803
ENSG00000011258	Hs.668257
ENSG00000011258	Hs.703374
ENSG00000011260	Hs.709327
ENSG00000011275	Hs.487458
ENSG00000011295	Hs.462316
ENSG00000011304	Hs.172550
ENSG00000011304	Hs.616689
ENSG00000011332	Hs.631576
ENSG00000011347	Hs.684589
ENSG00000011376	Hs.526975
ENSG00000011376	Hs.613250
ENSG00000011376	Hs.674494
ENSG00000011405	Hs.175343
ENSG00000011405	Hs.608695
ENSG00000011405	Hs.713166
ENSG00000011426	Hs.62180
ENSG00000011451	Hs.442138
ENSG00000011451	Hs.604246
ENSG00000011451	Hs.629913
ENSG00000011451	Hs.633436
ENSG00000011451	Hs.733695
ENSG00000011454	Hs.271341
ENSG00000011454	Hs.637028
ENSG00000011454	Hs.707617
ENSG00000011454	Hs.722039
ENSG00000011465	Hs.156316
ENSG00000011465	Hs.530910
ENSG00000011465	Hs.539252
ENSG00000011465	Hs.622557
ENSG00000011465	Hs.629398
ENSG00000011465	Hs.657741
ENSG00000011465	Hs.680778
ENSG00000011465	Hs.732351
ENSG00000011465	Hs.742499
ENSG00000011465	Hs.744446
ENSG00000011478	Hs.631556
ENSG00000011485	Hs.601993
ENSG00000011485	Hs.654604
ENSG00000011485	Hs.735375
ENSG00000011523	Hs.683033
ENSG00000011523	Hs.709257
ENSG00000011566	Hs.655750
ENSG00000011590	Hs.736841
ENSG00000011590	Hs.99430
ENSG00000011600	Hs.515369
ENSG00000011638	Hs.258212
ENSG00000011677	Hs.123024
ENSG00000011677	Hs.440548
ENSG00000012048	Hs.194143
ENSG00000012048	Hs.622171
ENSG00000012061	Hs.435981
ENSG00000012124	Hs.579691
ENSG00000012124	Hs.716252
ENSG00000012171	Hs.695057
ENSG00000012171	Hs.82222
ENSG00000012174	Hs.443490
ENSG00000012174	Hs.645203
ENSG00000012211	Hs.732712
ENSG00000012223	Hs.529517
ENSG00000012223	Hs.610567
ENSG00000012223	Hs.739670
ENSG00000012232	Hs.491354
ENSG00000012232	Hs.713320
ENSG00000012504	Hs.733865
ENSG00000012504	Hs.734504
ENSG00000012660	Hs.745069
ENSG00000012779	Hs.89499
ENSG00000012817	Hs.630488
ENSG00000012817	Hs.80358
ENSG00000012822	Hs.156667
ENSG00000012822	Hs.224854
ENSG00000012963	Hs.648806
ENSG00000012963	Hs.745115
ENSG00000012983	Hs.130491
ENSG00000013016	Hs.368808
ENSG00000013016	Hs.604749
ENSG00000013016	Hs.605056
ENSG00000013016	Hs.724055
ENSG00000013016	Hs.726971
ENSG00000013275	Hs.211594
ENSG00000013288	Hs.188464
ENSG00000013288	Hs.623012
ENSG00000013288	Hs.625918
ENSG00000013293	Hs.596660
ENSG00000013297	Hs.407600
ENSG00000013297	Hs.599737
ENSG00000013297	Hs.664081
ENSG00000013364	Hs.600748
ENSG00000013364	Hs.632177
ENSG00000013374	Hs.647082
ENSG00000013375	Hs.661665
ENSG00000013392	Hs.423336
ENSG00000013441	Hs.433732
ENSG00000013441	Hs.624435
ENSG00000013503	Hs.62696
ENSG00000013523	Hs.497448
ENSG00000013561	Hs.483616
ENSG00000013561	Hs.508993
ENSG00000013563	Hs.401929
ENSG00000013573	Hs.443960
ENSG00000013573	Hs.447869
ENSG00000013583	Hs.737726
ENSG00000013588	Hs.615200
ENSG00000013588	Hs.631733
ENSG00000013588	Hs.632997
ENSG00000013588	Hs.708935
ENSG00000013588	Hs.713322
ENSG00000013588	Hs.735417
ENSG00000013588	Hs.745132
ENSG00000013619	Hs.20136
ENSG00000013810	Hs.104019
ENSG00000014138	Hs.201897
ENSG00000014138	Hs.659967
ENSG00000014164	Hs.521915
ENSG00000014216	Hs.502842
ENSG00000014216	Hs.735492
ENSG00000014257	Hs.433060
ENSG00000014824	Hs.201937
ENSG00000014824	Hs.479634
ENSG00000014914	Hs.425144
ENSG00000014919	Hs.28326
ENSG00000014919	Hs.718750
ENSG00000015133	Hs.525536
ENSG00000015133	Hs.606198
ENSG00000015133	Hs.732042
ENSG00000015133	Hs.737610
ENSG00000015153	Hs.617142
ENSG00000015153	Hs.649195
ENSG00000015153	Hs.708084
ENSG00000015171	Hs.292265
ENSG00000015171	Hs.601757
ENSG00000015171	Hs.740145
ENSG00000015285	Hs.2157
ENSG00000015285	Hs.602310
ENSG00000015413	Hs.109
ENSG00000015475	Hs.591054
ENSG00000015479	Hs.595110
ENSG00000015479	Hs.602545
ENSG00000015479	Hs.714176
ENSG00000015520	Hs.567486
ENSG00000015532	Hs.463416
ENSG00000015568	Hs.469630
ENSG00000015568	Hs.535589
ENSG00000015568	Hs.645445
ENSG00000015568	Hs.652697
ENSG00000015568	Hs.666924
ENSG00000015568	Hs.687703
ENSG00000015568	Hs.697403
ENSG00000015568	Hs.720366
ENSG00000015568	Hs.726367
ENSG00000015592	Hs.201058
ENSG00000015592	Hs.734948
ENSG00000015676	Hs.488171
ENSG00000015676	Hs.573355
ENSG00000015676	Hs.595976
ENSG00000015676	Hs.738910
ENSG00000016082	Hs.505
ENSG00000016082	Hs.603406
ENSG00000016391	Hs.126688
ENSG00000016391	Hs.659586
ENSG00000016391	Hs.729536
ENSG00000016391	Hs.741499
ENSG00000016402	Hs.445868
ENSG00000016402	Hs.600366
ENSG00000016490	Hs.194659
ENSG00000016490	Hs.606218
ENSG00000016602	Hs.567422
ENSG00000016602	Hs.607191
ENSG00000016864	Hs.297304
ENSG00000017260	Hs.584884
ENSG00000017260	Hs.713021
ENSG00000017260	Hs.734775
ENSG00000017427	Hs.160562
ENSG00000017427	Hs.604258
ENSG00000017427	Hs.624759
ENSG00000017427	Hs.708628
ENSG00000017483	Hs.195155
ENSG00000017797	Hs.528993
ENSG00000017797	Hs.713842
ENSG00000018189	Hs.596505
ENSG00000018189	Hs.596820
ENSG00000018189	Hs.739750
ENSG00000018189	Hs.740904
ENSG00000018236	Hs.143434
ENSG00000018236	Hs.605950
ENSG00000018236	Hs.741112
ENSG00000018280	Hs.591607
ENSG00000018280	Hs.627035
ENSG00000018408	Hs.477921
ENSG00000018408	Hs.535002
ENSG00000018408	Hs.743486
ENSG00000018408	Hs.745074
ENSG00000018510	Hs.516543
ENSG00000018510	Hs.604884
ENSG00000018610	Hs.248572
ENSG00000018610	Hs.635597
ENSG00000018625	Hs.34114
ENSG00000018699	Hs.468125
ENSG00000018699	Hs.664352
ENSG00000018869	Hs.244391
ENSG00000019102	Hs.112377
ENSG00000019169	Hs.67726
ENSG00000019186	Hs.596674
ENSG00000019186	Hs.607492
ENSG00000019186	Hs.89663
ENSG00000019485	Hs.178715
ENSG00000019505	Hs.436643
ENSG00000019549	Hs.360174
ENSG00000019582	Hs.436568
ENSG00000019991	Hs.396530
ENSG00000019991	Hs.561679
ENSG00000019991	Hs.611986
ENSG00000019991	Hs.737588
ENSG00000019995	Hs.595158
ENSG00000019995	Hs.602770
ENSG00000019995	Hs.644931
ENSG00000019995	Hs.736102
ENSG00000020129	Hs.121870
ENSG00000020129	Hs.600737
ENSG00000020181	Hs.274136
ENSG00000020256	Hs.473082
ENSG00000020426	Hs.509523
ENSG00000020577	Hs.602611
ENSG00000020577	Hs.733324
ENSG00000020577	Hs.98259
ENSG00000020633	Hs.170019
ENSG00000020922	Hs.547925
ENSG00000020922	Hs.617527
ENSG00000021300	Hs.445489
ENSG00000021461	Hs.306220
ENSG00000021488	Hs.743345
ENSG00000021574	Hs.468091
ENSG00000021574	Hs.607500
ENSG00000021645	Hs.627999
ENSG00000021645	Hs.715668
ENSG00000021645	Hs.744713
ENSG00000021645	Hs.744777
ENSG00000021762	Hs.436166
ENSG00000021776	Hs.16886
ENSG00000021776	Hs.510958
ENSG00000021776	Hs.608739
ENSG00000021776	Hs.614463
ENSG00000021776	Hs.737664
ENSG00000021826	Hs.149252
ENSG00000021852	Hs.391835
ENSG00000021852	Hs.702980
ENSG00000022267	Hs.435369
ENSG00000022267	Hs.619207
ENSG00000022277	Hs.517134
ENSG00000022277	Hs.732571
ENSG00000022355	Hs.175934
ENSG00000022355	Hs.595114
ENSG00000022556	Hs.369279
ENSG00000022556	Hs.597119
ENSG00000022567	Hs.372492
ENSG00000022567	Hs.609853
ENSG00000022840	Hs.442798
ENSG00000022840	Hs.619394
ENSG00000022840	Hs.630749
ENSG00000022976	Hs.599639
ENSG00000022976	Hs.743359
ENSG00000023171	Hs.144725
ENSG00000023171	Hs.732509
ENSG00000023191	Hs.530687
ENSG00000023228	Hs.471207
ENSG00000023228	Hs.597574
ENSG00000023228	Hs.598436
ENSG00000023228	Hs.619013
ENSG00000023287	Hs.196102
ENSG00000023287	Hs.702264
ENSG00000023318	Hs.154023
ENSG00000023318	Hs.619196
ENSG00000023330	Hs.476308
ENSG00000023330	Hs.713107
ENSG00000023445	Hs.127799
ENSG00000023445	Hs.626211
ENSG00000023445	Hs.732738
ENSG00000023516	Hs.105105
ENSG00000023516	Hs.601805
ENSG00000023608	Hs.179312
ENSG00000023608	Hs.603981
ENSG00000023697	Hs.39429
ENSG00000023734	Hs.743971
ENSG00000023839	Hs.368243
ENSG00000023892	Hs.15476
ENSG00000023902	Hs.438824
ENSG00000023909	Hs.315562
ENSG00000023909	Hs.606719
ENSG00000023909	Hs.711318
ENSG00000024048	Hs.529925
ENSG00000024048	Hs.595020
ENSG00000024422	Hs.744963
ENSG00000024526	Hs.445098
ENSG00000024526	Hs.641921
ENSG00000024862	Hs.412019
ENSG00000025039	Hs.31712
ENSG00000025039	Hs.485938
ENSG00000025039	Hs.595624
ENSG00000025156	Hs.158195
ENSG00000025156	Hs.613261
ENSG00000025156	Hs.674777
ENSG00000025293	Hs.517044
ENSG00000025293	Hs.617444
ENSG00000025293	Hs.619230
ENSG00000025423	Hs.524513
ENSG00000025423	Hs.736027
ENSG00000025434	Hs.438863
ENSG00000025708	Hs.180903
ENSG00000025708	Hs.685254
ENSG00000025770	Hs.730607
ENSG00000025772	Hs.517066
ENSG00000025796	Hs.26904
ENSG00000025796	Hs.603080
ENSG00000025796	Hs.644924
ENSG00000025796	Hs.716394
ENSG00000025800	Hs.470588
ENSG00000025800	Hs.602987
ENSG00000025800	Hs.711019
ENSG00000026025	Hs.455493
ENSG00000026036	Hs.745057
ENSG00000026103	Hs.623093
ENSG00000026297	Hs.529989
ENSG00000026508	Hs.626357
ENSG00000026508	Hs.662037
ENSG00000026508	Hs.733491
ENSG00000026559	Hs.118695
ENSG00000026559	Hs.735151
ENSG00000026652	Hs.353175
ENSG00000026652	Hs.610611
ENSG00000026751	Hs.517265
ENSG00000026950	Hs.628564
ENSG00000027001	Hs.507498
ENSG00000027075	Hs.333907
ENSG00000027075	Hs.630857
ENSG00000027075	Hs.713372
ENSG00000027644	Hs.248138
ENSG00000027644	Hs.563818
ENSG00000027847	Hs.455109
ENSG00000027869	Hs.103527
ENSG00000028116	Hs.715298
ENSG00000028116	Hs.744058
ENSG00000028137	Hs.256278
ENSG00000028137	Hs.604011
ENSG00000028137	Hs.619763
ENSG00000028203	Hs.24135
ENSG00000028203	Hs.596229
ENSG00000028203	Hs.601681
ENSG00000028277	Hs.147381
ENSG00000028277	Hs.601322
ENSG00000028277	Hs.604769
ENSG00000028277	Hs.610390
ENSG00000028310	Hs.449278
ENSG00000028310	Hs.660599
ENSG00000028528	Hs.188634
ENSG00000028528	Hs.695096
ENSG00000028528	Hs.703547
ENSG00000028839	Hs.486507
ENSG00000028839	Hs.635693
ENSG00000029153	Hs.445447
ENSG00000029363	Hs.486542
ENSG00000029363	Hs.601398
ENSG00000029363	Hs.617546
ENSG00000029363	Hs.627320
ENSG00000029363	Hs.710172
ENSG00000029363	Hs.718334
ENSG00000029364	Hs.607572
ENSG00000029364	Hs.727286
ENSG00000029534	Hs.654438
ENSG00000029534	Hs.708861
ENSG00000029559	Hs.518726
ENSG00000029639	Hs.279908
ENSG00000029725	Hs.592121
ENSG00000029725	Hs.733301
ENSG00000029993	Hs.19114
ENSG00000029993	Hs.591080
ENSG00000029993	Hs.595140
ENSG00000030066	Hs.643526
