Ensembl ID	HPA ID
ENSG00000011523	HPA040620
ENSG00000011566	30380
ENSG00000011566	HPA030380
ENSG00000011590	52633
ENSG00000011590	HPA052633
ENSG00000011600	41899
ENSG00000011600	9493
ENSG00000011600	CAB009493
ENSG00000011600	HPA041899
ENSG00000011638	18033
ENSG00000011638	HPA018033
ENSG00000011677	839
ENSG00000011677	HPA000839
ENSG00000012048	18369
ENSG00000012048	1946
ENSG00000012048	34966
ENSG00000012048	CAB001946
ENSG00000012048	CAB018369
ENSG00000012048	HPA034966
ENSG00000012061	29773
ENSG00000012061	4390
ENSG00000012061	50182
ENSG00000012061	CAB004390
ENSG00000012061	HPA029773
ENSG00000012061	HPA050182
ENSG00000012124	2418
ENSG00000012124	24353
ENSG00000012124	CAB002418
ENSG00000012124	HPA024353
ENSG00000012174	5494
ENSG00000012174	9486
ENSG00000012174	CAB009486
ENSG00000012174	HPA005494
ENSG00000012211	1442
ENSG00000012211	998
ENSG00000012211	HPA000998
ENSG00000012211	HPA001442
ENSG00000012223	8645
ENSG00000012223	CAB008645
ENSG00000012232	25387
ENSG00000012232	40467
ENSG00000012232	CAB025387
ENSG00000012232	HPA040467
ENSG00000012504	47699
ENSG00000012504	HPA047699
ENSG00000012660	17042
ENSG00000012660	47752
ENSG00000012660	CAB017042
ENSG00000012660	HPA047752
ENSG00000012779	5066
ENSG00000012779	CAB005066
ENSG00000012817	49086
ENSG00000012817	HPA049086
ENSG00000012822	38313
ENSG00000012822	38314
ENSG00000012822	HPA038313
ENSG00000012822	HPA038314
ENSG00000012963	861
ENSG00000012963	HPA000861
ENSG00000012983	36696
ENSG00000012983	HPA036696
ENSG00000013016	49890
ENSG00000013016	49986
ENSG00000013275	2044
ENSG00000013275	5471
ENSG00000013275	HPA002044
ENSG00000013275	HPA005471
ENSG00000013288	37005
ENSG00000013288	HPA037005
ENSG00000013293	45929
ENSG00000013293	HPA045929
ENSG00000013297	13166
ENSG00000013297	9789
ENSG00000013297	CAB009789
ENSG00000013297	HPA013166
ENSG00000013306	26785
ENSG00000013306	HPA026785
ENSG00000013364	22717
ENSG00000013364	2321
ENSG00000013364	2752
ENSG00000013364	CAB002752
ENSG00000013364	CAB022717
ENSG00000013364	HPA002321
ENSG00000013374	21220
ENSG00000013374	50722
ENSG00000013374	53648
ENSG00000013374	HPA021220
ENSG00000013374	HPA050722
ENSG00000013374	HPA053648
ENSG00000013375	29759
ENSG00000013375	29760
ENSG00000013375	4998
ENSG00000013375	CAB004998
ENSG00000013375	HPA029759
ENSG00000013375	HPA029760
ENSG00000013392	30105
ENSG00000013392	30106
ENSG00000013392	30107
ENSG00000013392	HPA030105
ENSG00000013392	HPA030106
ENSG00000013392	HPA030107
ENSG00000013441	33141
ENSG00000013441	CAB033141
ENSG00000013503	36466
ENSG00000013503	HPA036466
ENSG00000013523	948
ENSG00000013523	HPA000948
ENSG00000013561	8716
ENSG00000013561	HPA008716
ENSG00000013573	47228
ENSG00000013573	49167
ENSG00000013573	HPA047228
ENSG00000013573	HPA049167
ENSG00000013583	56417
ENSG00000013583	HPA056417
ENSG00000013588	20771
ENSG00000013588	46526
ENSG00000013588	7928
ENSG00000013588	CAB020771
ENSG00000013588	HPA007928
ENSG00000013588	HPA046526
ENSG00000013619	3923
ENSG00000013619	HPA003923
ENSG00000013725	16252
ENSG00000013725	2489
ENSG00000013725	CAB002489
ENSG00000013725	CAB016252
ENSG00000013810	10111
ENSG00000013810	22039
ENSG00000013810	5781
ENSG00000013810	CAB010111
ENSG00000013810	HPA005781
ENSG00000013810	HPA022039
ENSG00000014123	30558
ENSG00000014123	30559
ENSG00000014123	30560
ENSG00000014123	HPA030558
ENSG00000014123	HPA030559
ENSG00000014123	HPA030560
ENSG00000014138	37570
ENSG00000014138	HPA037570
ENSG00000014164	23658
ENSG00000014164	50577
ENSG00000014164	HPA023658
ENSG00000014164	HPA050577
ENSG00000014216	5992
ENSG00000014216	HPA005992
ENSG00000014257	4335
ENSG00000014257	71
ENSG00000014257	CAB000071
ENSG00000014257	HPA004335
ENSG00000014641	27296
ENSG00000014641	47333
ENSG00000014641	54276
ENSG00000014641	CAB047333
ENSG00000014641	HPA027296
ENSG00000014641	HPA054276
ENSG00000014824	4014
ENSG00000014824	HPA004014
ENSG00000014914	30351
ENSG00000014914	HPA030351
ENSG00000014919	37727
ENSG00000014919	37728
ENSG00000014919	HPA037727
ENSG00000014919	HPA037728
ENSG00000015133	5832
ENSG00000015133	HPA005832
ENSG00000015153	26867
ENSG00000015153	HPA026867
ENSG00000015171	15816
ENSG00000015171	30553
ENSG00000015171	HPA015816
