Ensembl ID	ChEMBL ID
ENSG00000079277	CHEMBL4718
ENSG00000079335	CHEMBL1772926
ENSG00000079337	CHEMBL2029197
ENSG00000079387	CHEMBL1909484
ENSG00000079435	CHEMBL3590
ENSG00000079459	CHEMBL3338
ENSG00000079462	CHEMBL5108
ENSG00000079616	CHEMBL5470
ENSG00000079785	CHEMBL2010634
ENSG00000079805	CHEMBL5812
ENSG00000079999	CHEMBL3038498
ENSG00000080224	CHEMBL2363043
ENSG00000080293	CHEMBL1925
ENSG00000080503	CHEMBL2362979
ENSG00000080573	CHEMBL2364188
ENSG00000080618	CHEMBL3419
ENSG00000080644	CHEMBL2111384
ENSG00000080709	CHEMBL4469
ENSG00000080815	CHEMBL2094135
ENSG00000080819	CHEMBL1681618
ENSG00000080824	CHEMBL3880
ENSG00000080986	CHEMBL5660
ENSG00000081026	CHEMBL5212
ENSG00000081052	CHEMBL2364188
ENSG00000081181	CHEMBL1795148
ENSG00000081237	CHEMBL3243
ENSG00000081248	CHEMBL2363032
ENSG00000081307	CHEMBL2016429
ENSG00000081320	CHEMBL3980
ENSG00000082175	CHEMBL208
ENSG00000082482	CHEMBL2321615
ENSG00000082556	CHEMBL2095151
ENSG00000082701	CHEMBL2095188
ENSG00000082781	CHEMBL2096675
ENSG00000082898	CHEMBL5661
ENSG00000083290	CHEMBL5435
ENSG00000083454	CHEMBL4942
ENSG00000083807	CHEMBL5196
ENSG00000084110	CHEMBL4003
ENSG00000084207	CHEMBL3902
ENSG00000084453	CHEMBL1743123
ENSG00000084674	CHEMBL4549
ENSG00000084676	CHEMBL1615387
ENSG00000084731	CHEMBL1075196
ENSG00000084734	CHEMBL1075152
ENSG00000084774	CHEMBL3093
ENSG00000085377	CHEMBL3202
ENSG00000085511	CHEMBL4853
ENSG00000085563	CHEMBL4302
ENSG00000085662	CHEMBL1900
ENSG00000085871	CHEMBL1743185
ENSG00000085998	CHEMBL2321629
ENSG00000085999	CHEMBL2146297
ENSG00000086015	CHEMBL3038500
ENSG00000086061	CHEMBL2189122
ENSG00000086062	CHEMBL4384
ENSG00000086205	CHEMBL1892
ENSG00000086232	CHEMBL6029
ENSG00000086696	CHEMBL2789
ENSG00000086991	CHEMBL1250375
ENSG00000087085	CHEMBL2095233
ENSG00000087088	CHEMBL5318
ENSG00000087095	CHEMBL5364
ENSG00000087237	CHEMBL3572
ENSG00000087245	CHEMBL2095216
ENSG00000087258	CHEMBL4742
ENSG00000087365	CHEMBL1229011
ENSG00000087460	CHEMBL4377
ENSG00000087586	CHEMBL4722
ENSG00000087842	CHEMBL2010627
ENSG00000088002	CHEMBL1743297
ENSG00000088179	CHEMBL3165
ENSG00000088247	CHEMBL1795105
ENSG00000088305	CHEMBL6095
ENSG00000088325	CHEMBL5389
ENSG00000088386	CHEMBL4605
ENSG00000088727	CHEMBL2321637
ENSG00000088826	CHEMBL2176769
ENSG00000088832	CHEMBL1902
ENSG00000088926	CHEMBL2820
ENSG00000089022	CHEMBL3094
ENSG00000089041	CHEMBL4805
ENSG00000089050	CHEMBL1075121
ENSG00000089057	CHEMBL3271
ENSG00000089123	CHEMBL6153
ENSG00000089159	CHEMBL5715
ENSG00000089163	CHEMBL2163185
ENSG00000089225	CHEMBL1687681
ENSG00000089250	CHEMBL2096621
ENSG00000089558	CHEMBL2362996
ENSG00000089597	CHEMBL2519
