Ensembl ID	miRBase ID
ENSG00000207817	MI0003627
ENSG00000207818	MI0000112
ENSG00000207819	MI0000468
ENSG00000207820	MI0003516
ENSG00000207821	MI0003655
ENSG00000207825	MI0003151
ENSG00000207826	MI0003608
ENSG00000207827	MI0000088
ENSG00000207836	MI0003665
ENSG00000207837	MI0003165
ENSG00000207838	MI0003174
ENSG00000207839	MI0003646
ENSG00000207858	MI0003636
ENSG00000207861	MI0003175
ENSG00000207862	MI0003156
ENSG00000207863	MI0000470
ENSG00000207864	MI0000440
ENSG00000207865	MI0000268
ENSG00000207866	MI0003199
ENSG00000207866	MI0003200
ENSG00000207867	MI0003199
ENSG00000207867	MI0003200
ENSG00000207868	MI0003198
ENSG00000207869	MI0003142
ENSG00000207870	MI0000298
ENSG00000207871	MI0006648
ENSG00000207873	MI0003191
ENSG00000207874	MI0003623
ENSG00000207875	MI0000063
ENSG00000207922	MI0003572
ENSG00000207923	MI0003565
ENSG00000207924	MI0000279
ENSG00000207925	MI0003167
ENSG00000207926	MI0000452
ENSG00000207927	MI0000738
ENSG00000207928	MI0003647
ENSG00000207930	MI0003616
ENSG00000207931	MI0003584
ENSG00000207932	MI0000091
ENSG00000207933	MI0000466
ENSG00000207934	MI0003676
ENSG00000207935	MI0000284
ENSG00000207938	MI0003127
ENSG00000207939	MI0000300
ENSG00000207940	MI0003573
ENSG00000207941	MI0003557
ENSG00000207942	MI0000475
ENSG00000207943	MI0003649
ENSG00000207944	MI0003581
ENSG00000207945	MI0003682
ENSG00000207946	MI0003172
ENSG00000207947	MI0000462
ENSG00000207948	MI0000804
ENSG00000207949	MI0000290
ENSG00000207949	MI0014136
ENSG00000207951	MI0003567
ENSG00000207952	MI0003638
ENSG00000207954	MI0000476
ENSG00000207955	MI0000740
ENSG00000207955	MI0017299
ENSG00000207956	MI0003586
ENSG00000207957	MI0000111
ENSG00000207959	MI0003678
ENSG00000207960	MI0000464
ENSG00000207961	MI0003136
ENSG00000207962	MI0000736
ENSG00000207963	MI0003576
ENSG00000207964	MI0003642
ENSG00000207965	MI0003643
ENSG00000207967	MI0003634
ENSG00000207969	MI0003194
ENSG00000207970	MI0003684
ENSG00000207971	MI0000446
ENSG00000207972	MI0003653
ENSG00000207973	MI0003599
ENSG00000207974	MI0003563
ENSG00000207975	MI0000270
ENSG00000207976	MI0003620
ENSG00000207977	MI0003160
ENSG00000207978	MI0000480
ENSG00000207979	MI0003179
ENSG00000207980	MI0000079
ENSG00000207981	MI0003162
ENSG00000207982	MI0003596
ENSG00000207983	MI0003626
ENSG00000207984	MI0003192
ENSG00000207987	MI0003169
ENSG00000207988	MI0003583
ENSG00000207989	MI0003132
ENSG00000207990	MI0000272
ENSG00000207991	MI0003614
ENSG00000207992	MI0003178
ENSG00000207993	MI0000474
ENSG00000207994	MI0000102
ENSG00000207995	MI0000824
ENSG00000207996	MI0000745
ENSG00000207997	MI0003659
ENSG00000208000	MI0003196
ENSG00000208000	MI0005530
ENSG00000208001	MI0001721
ENSG00000208002	MI0003658
ENSG00000208003	MI0003679
ENSG00000208004	MI0014206
ENSG00000208005	MI0003188
ENSG00000208006	MI0000070
ENSG00000208008	MI0000469
