Ensembl ID	Vega_gene ID
ENSG00000008869	OTTHUMG00000152158
ENSG00000008952	OTTHUMG00000158753
ENSG00000008988	OTTHUMG00000164297
ENSG00000009307	OTTHUMG00000012060
ENSG00000009335	OTTHUMG00000157239
ENSG00000009413	OTTHUMG00000016318
ENSG00000009694	OTTHUMG00000022721
ENSG00000009709	OTTHUMG00000002433
ENSG00000009724	OTTHUMG00000002121
ENSG00000009765	OTTHUMG00000016347
ENSG00000009780	OTTHUMG00000003729
ENSG00000009790	OTTHUMG00000036480
ENSG00000009830	OTTHUMG00000171556
ENSG00000009844	OTTHUMG00000015707
ENSG00000009950	OTTHUMG00000129995
ENSG00000009954	OTTHUMG00000023847
ENSG00000010017	OTTHUMG00000015642
ENSG00000010030	OTTHUMG00000014594
ENSG00000010072	OTTHUMG00000038022
ENSG00000010165	OTTHUMG00000034912
ENSG00000010219	OTTHUMG00000168204
ENSG00000010244	OTTHUMG00000132810
ENSG00000010256	OTTHUMG00000133539
ENSG00000010270	OTTHUMG00000023659
ENSG00000010278	OTTHUMG00000044400
ENSG00000010282	OTTHUMG00000133043
ENSG00000010292	OTTHUMG00000168513
ENSG00000010295	OTTHUMG00000141264
ENSG00000010310	OTTHUMG00000182129
ENSG00000010318	OTTHUMG00000158495
ENSG00000010319	OTTHUMG00000158570
ENSG00000010322	OTTHUMG00000158571
ENSG00000010327	OTTHUMG00000158574
ENSG00000010361	OTTHUMG00000167281
ENSG00000010379	OTTHUMG00000168053
ENSG00000010404	OTTHUMG00000022615
ENSG00000010438	OTTHUMG00000019798
ENSG00000010539	OTTHUMG00000129317
ENSG00000010610	OTTHUMG00000168514
ENSG00000010626	OTTHUMG00000156668
ENSG00000010671	OTTHUMG00000022022
ENSG00000010704	OTTHUMG00000016348
ENSG00000010803	OTTHUMG00000005720
ENSG00000010810	OTTHUMG00000016305
ENSG00000010818	OTTHUMG00000015713
ENSG00000010932	OTTHUMG00000035502
ENSG00000011007	OTTHUMG00000002957
ENSG00000011009	OTTHUMG00000002961
ENSG00000011021	OTTHUMG00000002299
ENSG00000011028	OTTHUMG00000179178
ENSG00000011052	OTTHUMG00000137475
ENSG00000011083	OTTHUMG00000130046
ENSG00000011105	OTTHUMG00000150333
ENSG00000011114	OTTHUMG00000171269
ENSG00000011132	OTTHUMG00000180915
ENSG00000011143	OTTHUMG00000133714
ENSG00000011198	OTTHUMG00000133039
ENSG00000011201	OTTHUMG00000021107
ENSG00000011243	OTTHUMG00000182446
ENSG00000011258	OTTHUMG00000150442
ENSG00000011260	OTTHUMG00000162370
ENSG00000011275	OTTHUMG00000155500
ENSG00000011295	OTTHUMG00000059306
ENSG00000011304	OTTHUMG00000181789
ENSG00000011332	OTTHUMG00000157164
ENSG00000011347	OTTHUMG00000168199
ENSG00000011376	OTTHUMG00000133177
ENSG00000011405	OTTHUMG00000166036
ENSG00000011422	OTTHUMG00000182778
ENSG00000011426	OTTHUMG00000023143
ENSG00000011451	OTTHUMG00000182448
ENSG00000011454	OTTHUMG00000020633
ENSG00000011465	OTTHUMG00000169998
ENSG00000011478	OTTHUMG00000182131
ENSG00000011485	OTTHUMG00000134287
ENSG00000011523	OTTHUMG00000129538
ENSG00000011566	OTTHUMG00000102127
ENSG00000011590	OTTHUMG00000048118
ENSG00000011600	OTTHUMG00000181739
ENSG00000011638	OTTHUMG00000131559
