Ensembl ID	EntrezGene_trans_name ID
ENSG00000241111	PRICKLE2-AS1-001
ENSG00000241224	FLJ22763-001
ENSG00000241224	FLJ22763-002
ENSG00000241224	FLJ22763-003
ENSG00000241224	FLJ22763-004
ENSG00000241224	FLJ22763-005
ENSG00000241224	FLJ22763-006
ENSG00000241224	FLJ22763-007
ENSG00000241224	FLJ22763-008
ENSG00000241528	KIAA1656-001
ENSG00000242261	MGC27345-001
ENSG00000243350	GATA3-AS1-001
ENSG00000243350	GATA3-AS1-002
ENSG00000245468	FLJ36777-001
ENSG00000245468	FLJ36777-002
ENSG00000245468	FLJ36777-003
ENSG00000245857	GS1-24F4.2-001
ENSG00000245857	GS1-24F4.2-002
ENSG00000245888	FLJ21408-001
ENSG00000245888	FLJ21408-002
ENSG00000245888	FLJ21408-004
ENSG00000245888	FLJ21408-005
ENSG00000245970	SNORA72-001
ENSG00000246731	MGC16275-001
ENSG00000246731	MGC16275-002
ENSG00000246731	MGC16275-003
ENSG00000248222	CTB-174D11.1-001
ENSG00000248222	CTB-174D11.1-002
ENSG00000248222	CTB-174D11.1-003
ENSG00000248222	CTB-174D11.1-004
ENSG00000248222	CTB-174D11.1-005
ENSG00000248222	CTB-174D11.1-006
ENSG00000248222	CTB-174D11.1-007
ENSG00000248222	CTB-174D11.1-008
ENSG00000248222	CTB-174D11.1-009
ENSG00000248222	CTB-174D11.1-010
ENSG00000248265	FLJ12825-001
ENSG00000248569	CRSP8P-001
ENSG00000248599	FLJ42969-001
ENSG00000248671	ALG1L9P-001
ENSG00000248671	ALG1L9P-002
ENSG00000248671	ALG1L9P-003
ENSG00000248671	ALG1L9P-004
ENSG00000248858	FLJ46284-001
ENSG00000248858	FLJ46284-002
ENSG00000248858	FLJ46284-003
ENSG00000248858	FLJ46284-004
ENSG00000249035	CTB-113P19.1-001
ENSG00000249035	CTB-113P19.1-002
ENSG00000249054	FAM138D-001
ENSG00000249054	FAM138D-002
ENSG00000249138	SLED1-001
ENSG00000249138	SLED1-002
ENSG00000249201	CTD-3080P12.3-001
ENSG00000249201	CTD-3080P12.3-002
ENSG00000249201	CTD-3080P12.3-003
ENSG00000249326	CTD-2194D22.4-001
ENSG00000249436	LINCR-0003-001
ENSG00000249825	CTD-2201I18.1-001
ENSG00000249825	CTD-2201I18.1-002
ENSG00000250250	CTD-2350J17.1-001
ENSG00000250250	CTD-2350J17.1-002
ENSG00000250328	MGC32805-001
ENSG00000250328	MGC32805-002
ENSG00000250328	MGC32805-003
ENSG00000250328	MGC32805-004
ENSG00000250328	MGC32805-005
ENSG00000250490	FLJ33360-001
ENSG00000250490	FLJ33360-002
ENSG00000250579	CTD-2297D10.2-001
ENSG00000251279	CTC-436P18.1-001
ENSG00000251370	CTD-2201E9.1-001
ENSG00000253647	CTD-2270F17.1-001
ENSG00000253978	CTB-178M22.2-001
ENSG00000254130	CTB-7E3.1-001
ENSG00000254226	CTB-12O2.1-001
ENSG00000254226	CTB-12O2.1-002
ENSG00000254226	CTB-12O2.1-003
ENSG00000254226	CTB-12O2.1-004
ENSG00000254349	FLJ39080-001
ENSG00000254349	FLJ39080-002
ENSG00000254349	FLJ39080-003
ENSG00000254349	FLJ39080-004
ENSG00000254531	FLJ20021-001
ENSG00000254531	FLJ20021-002
ENSG00000255125	SNORD97-001
ENSG00000255389	TRAF3IP2-AS1-001
ENSG00000255515	N6AMT1-001
ENSG00000255693	FLJ41278-001
ENSG00000255693	FLJ41278-002
ENSG00000256500	KLC1-001
ENSG00000256597	FLJ37505-001
ENSG00000256597	FLJ37505-002
ENSG00000256825	ZNF268-001
ENSG00000257621	FLJ31306-002
ENSG00000257621	FLJ31306-003
ENSG00000257621	FLJ31306-004
ENSG00000257621	FLJ31306-005
ENSG00000257621	FLJ31306-006
ENSG00000257621	FLJ31306-007
ENSG00000257621	FLJ31306-008
ENSG00000257621	FLJ31306-009
ENSG00000257621	FLJ31306-011
ENSG00000257621	FLJ31306-013
ENSG00000257621	FLJ31306-014
ENSG00000257621	FLJ31306-015
ENSG00000257621	FLJ31306-016
ENSG00000257621	FLJ31306-017
ENSG00000259458	MGC15885-001
ENSG00000259458	MGC15885-002
ENSG00000259834	KCNA3-001
