Ensembl ID	RefSeq_mRNA_predicted ID
ENSG00000006576	XM_005250509
ENSG00000006576	XR_425981
ENSG00000006576	XR_427887
ENSG00000006576	XR_429774
ENSG00000006576	XR_431979
ENSG00000006606	NM_006072
ENSG00000006606	XM_006715837
ENSG00000006607	NM_001282983
ENSG00000006607	NM_001282984
ENSG00000006607	NM_014808
ENSG00000006607	XM_005247049
ENSG00000006607	XR_425498
ENSG00000006607	XR_427199
ENSG00000006607	XR_431512
ENSG00000006611	NM_001297764
ENSG00000006611	NM_005709
ENSG00000006611	NM_153676
ENSG00000006611	XM_005252725
ENSG00000006625	NM_001199815
ENSG00000006625	NM_001199816
ENSG00000006625	NM_001199817
ENSG00000006625	NM_024051
ENSG00000006634	NM_006716
ENSG00000006634	XM_005250120
ENSG00000006634	XM_005250121
ENSG00000006634	XM_006715843
ENSG00000006638	NM_001060
ENSG00000006638	NM_201636
ENSG00000006652	NM_001007245
ENSG00000006652	NM_001197079
ENSG00000006652	NM_001197080
ENSG00000006652	NM_001550
ENSG00000006659	NM_020129
ENSG00000006659	NM_203471
ENSG00000006695	NM_001303
ENSG00000006704	NM_001199207
ENSG00000006704	NM_005685
ENSG00000006704	NM_016328
ENSG00000006704	XM_005250720
ENSG00000006704	XM_005250721
ENSG00000006704	XM_006716182
ENSG00000006704	XM_006716183
ENSG00000006704	XM_006716184
ENSG00000006712	NM_001256826
ENSG00000006712	NM_019088
ENSG00000006715	NM_014396
ENSG00000006715	NM_080631
ENSG00000006740	NM_014859
ENSG00000006740	XM_005256888
ENSG00000006740	XR_424703
ENSG00000006740	XR_424704
ENSG00000006740	XR_433265
ENSG00000006740	XR_433266
ENSG00000006744	NM_001165962
ENSG00000006744	NM_018127
ENSG00000006744	NM_173717
ENSG00000006747	NM_001112706
ENSG00000006747	NM_033128
ENSG00000006756	NM_001669
ENSG00000006757	NM_001142389
ENSG00000006757	NM_001172672
ENSG00000006757	NM_004650
ENSG00000006788	NM_003802
ENSG00000006831	NM_024551
ENSG00000006831	XM_005253789
ENSG00000006831	XM_006719018
ENSG00000006837	NM_001113575
ENSG00000006837	NM_001300853
ENSG00000006837	NM_016508
ENSG00000006837	XM_005272004
ENSG00000007001	NM_001135098
ENSG00000007001	NM_173355
ENSG00000007038	NM_001270452
ENSG00000007038	NM_006799
ENSG00000007038	NM_144956
ENSG00000007038	NM_144957
ENSG00000007038	XM_005255051
ENSG00000007047	NM_001199867
ENSG00000007047	NM_031417
ENSG00000007047	XM_006723307
ENSG00000007062	NM_001145847
ENSG00000007062	NM_001145848
ENSG00000007062	NM_001145849
ENSG00000007062	NM_001145850
ENSG00000007062	NM_001145851
ENSG00000007062	NM_001145852
ENSG00000007062	NM_006017
ENSG00000007062	XM_006713973
ENSG00000007062	XM_006713974
ENSG00000007080	NM_001136203
ENSG00000007080	NM_138442
ENSG00000007129	NM_001098506
ENSG00000007129	NM_001288773
ENSG00000007129	NM_001290113
ENSG00000007129	NM_033543
ENSG00000007129	XM_005278396
ENSG00000007129	XM_005278397
ENSG00000007168	NM_000430
ENSG00000007171	NM_000625
ENSG00000007174	NM_001372
ENSG00000007174	NM_004662
ENSG00000007174	XM_006721465
ENSG00000007174	XM_006721466
ENSG00000007174	XM_006721467
ENSG00000007202	NM_014680
ENSG00000007202	XM_005258073
ENSG00000007202	XM_006722198
ENSG00000007216	NM_001145975
ENSG00000007216	NM_003984
ENSG00000007216	XM_006722165
ENSG00000007237	NM_001130831
ENSG00000007237	NM_003644
ENSG00000007237	NM_201432
ENSG00000007237	NM_201433
ENSG00000007237	XM_005256831
ENSG00000007237	XM_005256832
ENSG00000007237	XM_005256833
ENSG00000007237	XM_005256834
ENSG00000007237	XM_005256835
ENSG00000007255	NM_001270891
ENSG00000007255	NM_001270892
ENSG00000007255	NM_001270893
ENSG00000007255	NM_024108
ENSG00000007264	NM_002378
ENSG00000007264	NM_139354
ENSG00000007264	NM_139355
ENSG00000007306	NM_001291485
ENSG00000007306	NM_006890
ENSG00000007312	NM_000626
ENSG00000007312	NM_001039933
ENSG00000007312	NM_021602
ENSG00000007314	NM_000334
ENSG00000007314	XM_005257566
ENSG00000007341	NM_017744
ENSG00000007341	NM_138727
ENSG00000007341	NM_138728
ENSG00000007341	NM_138729
ENSG00000007341	XM_005270963
ENSG00000007341	XM_005270964
ENSG00000007341	XM_005270966
ENSG00000007341	XM_005270970
ENSG00000007341	XM_006710709
ENSG00000007350	NM_001145933
ENSG00000007350	NM_001145934
ENSG00000007350	NM_012253
ENSG00000007372	NM_000280
ENSG00000007372	NM_001127612
ENSG00000007372	NM_001258462
ENSG00000007372	NM_001258463
ENSG00000007372	NM_001258464
ENSG00000007372	NM_001258465
ENSG00000007372	NM_001604
ENSG00000007372	XM_005252954
ENSG00000007372	XM_005252955
ENSG00000007376	NM_058192
ENSG00000007384	NM_022450
ENSG00000007384	XM_005255494
ENSG00000007384	XM_005255498
ENSG00000007384	XM_006720921
ENSG00000007392	NM_018032
ENSG00000007392	NM_201412
ENSG00000007392	XM_005255426
ENSG00000007402	NM_001005505
ENSG00000007402	NM_001174051
ENSG00000007402	NM_001291101
ENSG00000007402	NM_006030
ENSG00000007402	XM_005265581
ENSG00000007516	NM_001199096
ENSG00000007516	NM_001199097
ENSG00000007516	NM_001199098
ENSG00000007516	NM_001199099
ENSG00000007516	NM_001286464
ENSG00000007516	NM_003933
ENSG00000007520	NM_001001410
ENSG00000007541	NM_004204
ENSG00000007541	NM_148920
ENSG00000007545	NM_020825
ENSG00000007866	NM_003214
ENSG00000007908	NM_000450
ENSG00000007923	NM_018198
ENSG00000007933	NM_001002294
ENSG00000007933	NM_006894
ENSG00000007944	NM_013262
ENSG00000007944	XM_005249033
ENSG00000007952	NM_001271815
ENSG00000007952	NM_007052
ENSG00000007952	NM_013955
ENSG00000007968	NM_004091
ENSG00000007968	XM_005245748
ENSG00000007968	XM_005245749
ENSG00000008018	NM_002793
ENSG00000008056	NM_006950
