GeneID	EntrezGene	Pathway
2743	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
203068	L	Gap junction:KEGG-hsa04540
203068	L	Pathogenic Escherichia coli infection:KEGG-hsa05130
203068	L	Phagosome:KEGG-hsa04145
2033	L	Adherens junction:KEGG-hsa04520
2033	L	Cell cycle:KEGG-hsa04110
2033	L	Huntington's disease:KEGG-hsa05016
2033	L	Jak-STAT signaling pathway:KEGG-hsa04630
2033	L	Long-term potentiation:KEGG-hsa04720
2033	L	Melanogenesis:KEGG-hsa04916
2033	L	Notch signaling pathway:KEGG-hsa04330
2033	L	Pathways in cancer:KEGG-hsa05200
2033	L	Prostate cancer:KEGG-hsa05215
2033	L	Renal cell carcinoma:KEGG-hsa05211
2033	L	TGF-beta signaling pathway:KEGG-hsa04350
2033	L	Tuberculosis:KEGG-hsa05152
2033	L	Wnt signaling pathway:KEGG-hsa04310
23127	L	Lysine degradation:KEGG-hsa00310
4597	L	Terpenoid backbone biosynthesis:KEGG-hsa00900
65083	L	Ribosome biogenesis in eukaryotes:KEGG-hsa03008
2747	L	Alanine, aspartate and glutamate metabolism:KEGG-hsa00250
2747	L	Arginine and proline metabolism:KEGG-hsa00330
2747	L	D-Glutamine and D-glutamate metabolism:KEGG-hsa00471
2747	L	Nitrogen metabolism:KEGG-hsa00910
2747	L	Proximal tubule bicarbonate reclamation:KEGG-hsa04964
55331	L	Sphingolipid metabolism:KEGG-hsa00600
2746	L	Alanine, aspartate and glutamate metabolism:KEGG-hsa00250
2746	L	Arginine and proline metabolism:KEGG-hsa00330
2746	L	D-Glutamine and D-glutamate metabolism:KEGG-hsa00471
2746	L	Nitrogen metabolism:KEGG-hsa00910
2746	L	Proximal tubule bicarbonate reclamation:KEGG-hsa04964
55627	L	Sphingolipid metabolism:KEGG-hsa00600
10885	L	Ribosome biogenesis in eukaryotes:KEGG-hsa03008
10886	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
10888	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
4598	L	Peroxisome:KEGG-hsa04146
4598	L	Terpenoid backbone biosynthesis:KEGG-hsa00900
50674	L	Maturity onset diabetes of the young:KEGG-hsa04950
4734	L	Endocytosis:KEGG-hsa04144
4734	L	Ubiquitin mediated proteolysis:KEGG-hsa04120
81539	L	Glutamatergic synapse:KEGG-hsa04724
2317	L	Focal adhesion:KEGG-hsa04510
2317	L	MAPK signaling pathway:KEGG-hsa04010
65264	L	Ubiquitin mediated proteolysis:KEGG-hsa04120
65263	L	Arginine and proline metabolism:KEGG-hsa00330
391	L	Bacterial invasion of epithelial cells:KEGG-hsa05100
391	L	Shigellosis:KEGG-hsa05131
397	L	Neurotrophin signaling pathway:KEGG-hsa04722
397	L	Vasopressin-regulated water reabsorption:KEGG-hsa04962
396	L	Neurotrophin signaling pathway:KEGG-hsa04722
396	L	Vasopressin-regulated water reabsorption:KEGG-hsa04962
394	L	Focal adhesion:KEGG-hsa04510
394	L	Leukocyte transendothelial migration:KEGG-hsa04670
399	L	Leukocyte transendothelial migration:KEGG-hsa04670
2309	L	Chemokine signaling pathway:KEGG-hsa04062
2309	L	Endometrial cancer:KEGG-hsa05213
2309	L	Neurotrophin signaling pathway:KEGG-hsa04722
2309	L	Non-small cell lung cancer:KEGG-hsa05223
2308	L	Insulin signaling pathway:KEGG-hsa04910
