ID	SystemCode	MAPP
ENSG00000186868	En	IL-5 Signaling Pathway:WP127
ENSG00000100368	En	IL-5 Signaling Pathway:WP127
ENSG00000109471	En	IL-5 Signaling Pathway:WP127
ENSG00000132155	En	IL-5 Signaling Pathway:WP127
ENSG00000105851	En	IL-5 Signaling Pathway:WP127
ENSG00000133703	En	IL-5 Signaling Pathway:WP127
ENSG00000082701	En	IL-5 Signaling Pathway:WP127
ENSG00000136997	En	IL-5 Signaling Pathway:WP127
ENSG00000117676	En	IL-5 Signaling Pathway:WP127
ENSG00000112242	En	Metastatic brain tumor:WP2249
ENSG00000070831	En	Metastatic brain tumor:WP2249
ENSG00000136997	En	Metastatic brain tumor:WP2249
ENSG00000141510	En	Metastatic brain tumor:WP2249
ENSG00000199135	En	Metastatic brain tumor:WP2249
ENSG00000199122	En	Metastatic brain tumor:WP2249
ENSG00000207562	En	Metastatic brain tumor:WP2249
ENSG00000105810	En	Metastatic brain tumor:WP2249
ENSG00000199085	En	Metastatic brain tumor:WP2249
ENSG00000199065	En	Metastatic brain tumor:WP2249
ENSG00000207865	En	Metastatic brain tumor:WP2249
ENSG00000207811	En	Metastatic brain tumor:WP2249
ENSG00000171132	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000112033	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000164930	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000105568	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000138795	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000163558	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000134245	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000168036	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000087095	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000180340	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000125084	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000119402	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000126583	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000161202	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000137713	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000105989	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000111186	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000100393	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000221914	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000158955	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000118971	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000119715	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000181449	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000177485	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000148737	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000082701	En	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000050748	En	Wnt Signaling Pathway and Pluripotency:WP399
