GeneID	HMDB	Pathway
HMDB00256	Ch	Steroid biosynthesis:KEGG-hsa00100
HMDB00251	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00251	Ch	Neuroactive ligand-receptor interaction:KEGG-hsa04080
HMDB00251	Ch	Primary bile acid biosynthesis:KEGG-hsa00120
HMDB00251	Ch	Taurine and hypotaurine metabolism:KEGG-hsa00430
HMDB00250	Ch	Oxidative phosphorylation:KEGG-hsa00190
HMDB00250	Ch	Parkinson's disease:KEGG-hsa05012
HMDB00253	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00253	Ch	Steroid hormone biosynthesis:KEGG-hsa00140
HMDB00252	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00252	Ch	Sphingolipid metabolism:KEGG-hsa00600
HMDB08279	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08279	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08279	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08279	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08279	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08278	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08278	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08278	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08278	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08278	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB00194	Ch	Histidine metabolism:KEGG-hsa00340
HMDB00194	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00194	Ch	beta-Alanine metabolism:KEGG-hsa00410
HMDB08273	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08273	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08273	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08273	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08273	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08272	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08272	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08272	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08272	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08272	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08271	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08271	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08271	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08271	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08271	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08270	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08270	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08270	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08270	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08270	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08277	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08277	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08277	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08277	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08277	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08276	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08276	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08276	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08276	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08276	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08275	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08275	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08275	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08275	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08275	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08274	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08274	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08274	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08274	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08274	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08479	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08479	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08479	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08479	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08479	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08478	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08478	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08478	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08478	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08478	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB09306	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09306	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09306	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09306	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09306	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09307	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
