ID	SystemCode	MAPP
7026	L	Nuclear Receptors:WP170
7025	L	Nuclear Receptors:WP170
5468	L	Nuclear Receptors:WP170
3172	L	Nuclear Receptors:WP170
6095	L	Nuclear Receptors:WP170
2516	L	Nuclear Receptors:WP170
6097	L	Nuclear Receptors:WP170
7182	L	Nuclear Receptors:WP170
2063	L	Nuclear Receptors:WP170
7068	L	Nuclear Receptors:WP170
7067	L	Nuclear Receptors:WP170
4919	L	Nuclear Receptors:WP170
5241	L	Nuclear Receptors:WP170
2494	L	Nuclear Receptors:WP170
6256	L	Nuclear Receptors:WP170
6258	L	Nuclear Receptors:WP170
7421	L	Nuclear Receptors:WP170
2103	L	Nuclear Receptors:WP170
5914	L	Nuclear Receptors:WP170
2101	L	Nuclear Receptors:WP170
2100	L	Nuclear Receptors:WP170
6257	L	Nuclear Receptors:WP170
8856	L	Nuclear Receptors:WP170
5170	L	Insulin Signaling:WP481
50488	L	Insulin Signaling:WP481
6722	L	Insulin Signaling:WP481
8986	L	Insulin Signaling:WP481
10211	L	Insulin Signaling:WP481
7249	L	Insulin Signaling:WP481
5506	L	Insulin Signaling:WP481
6517	L	Insulin Signaling:WP481
5584	L	Insulin Signaling:WP481
3799	L	Insulin Signaling:WP481
5583	L	Insulin Signaling:WP481
5580	L	Insulin Signaling:WP481
25759	L	Insulin Signaling:WP481
8471	L	Insulin Signaling:WP481
5588	L	Insulin Signaling:WP481
6009	L	Insulin Signaling:WP481
10580	L	Insulin Signaling:WP481
8491	L	Insulin Signaling:WP481
10110	L	Insulin Signaling:WP481
8651	L	Insulin Signaling:WP481
10746	L	Insulin Signaling:WP481
3991	L	Insulin Signaling:WP481
11183	L	Insulin Signaling:WP481
9064	L	Insulin Signaling:WP481
11184	L	Insulin Signaling:WP481
3480	L	Insulin Signaling:WP481
6446	L	Insulin Signaling:WP481
9175	L	Insulin Signaling:WP481
3643	L	Insulin Signaling:WP481
1958	L	Insulin Signaling:WP481
6844	L	Insulin Signaling:WP481
2998	L	Insulin Signaling:WP481
5590	L	Insulin Signaling:WP481
5595	L	Insulin Signaling:WP481
5594	L	Insulin Signaling:WP481
5597	L	Insulin Signaling:WP481
2319	L	Insulin Signaling:WP481
5599	L	Insulin Signaling:WP481
5598	L	Insulin Signaling:WP481
6655	L	Insulin Signaling:WP481
4641	L	Insulin Signaling:WP481
2997	L	Insulin Signaling:WP481
375	L	Insulin Signaling:WP481
2992	L	Insulin Signaling:WP481
2475	L	Insulin Signaling:WP481
6654	L	Insulin Signaling:WP481
1326	L	Insulin Signaling:WP481
9265	L	Insulin Signaling:WP481
23678	L	Insulin Signaling:WP481
4217	L	Insulin Signaling:WP481
5605	L	Insulin Signaling:WP481
5604	L	Insulin Signaling:WP481
5607	L	Insulin Signaling:WP481
5606	L	Insulin Signaling:WP481
5601	L	Insulin Signaling:WP481
5600	L	Insulin Signaling:WP481
5603	L	Insulin Signaling:WP481
5602	L	Insulin Signaling:WP481
5609	L	Insulin Signaling:WP481
5608	L	Insulin Signaling:WP481
2309	L	Insulin Signaling:WP481
2308	L	Insulin Signaling:WP481
2549	L	Insulin Signaling:WP481
6513	L	Insulin Signaling:WP481
5562	L	Insulin Signaling:WP481
7248	L	Insulin Signaling:WP481
10603	L	Insulin Signaling:WP481
1398	L	Insulin Signaling:WP481
5596	L	Insulin Signaling:WP481
6300	L	Insulin Signaling:WP481
5967	L	Insulin Signaling:WP481
4215	L	Insulin Signaling:WP481
4214	L	Insulin Signaling:WP481
3667	L	Insulin Signaling:WP481
4216	L	Insulin Signaling:WP481
30846	L	Insulin Signaling:WP481
2932	L	Insulin Signaling:WP481
30849	L	Insulin Signaling:WP481
9252	L	Insulin Signaling:WP481
2931	L	Insulin Signaling:WP481
382	L	Insulin Signaling:WP481
3265	L	Insulin Signaling:WP481
11127	L	Insulin Signaling:WP481
7786	L	Insulin Signaling:WP481
5770	L	Insulin Signaling:WP481
1432	L	Insulin Signaling:WP481
3551	L	Insulin Signaling:WP481
5579	L	Insulin Signaling:WP481
5578	L	Insulin Signaling:WP481
4294	L	Insulin Signaling:WP481
4296	L	Insulin Signaling:WP481
4293	L	Insulin Signaling:WP481
5871	L	Insulin Signaling:WP481
252983	L	Insulin Signaling:WP481
5879	L	Insulin Signaling:WP481
8503	L	Insulin Signaling:WP481
53358	L	Insulin Signaling:WP481
2887	L	Insulin Signaling:WP481
2885	L	Insulin Signaling:WP481
2888	L	Insulin Signaling:WP481
2889	L	Insulin Signaling:WP481
7494	L	Insulin Signaling:WP481
5296	L	Insulin Signaling:WP481
5781	L	Insulin Signaling:WP481
5867	L	Insulin Signaling:WP481
5563	L	Insulin Signaling:WP481
5295	L	Insulin Signaling:WP481
8773	L	Insulin Signaling:WP481
5293	L	Insulin Signaling:WP481
23433	L	Insulin Signaling:WP481
6885	L	Insulin Signaling:WP481
5894	L	Insulin Signaling:WP481
6616	L	Insulin Signaling:WP481
3725	L	Insulin Signaling:WP481
5291	L	Insulin Signaling:WP481
9021	L	Insulin Signaling:WP481
9020	L	Insulin Signaling:WP481
5294	L	Insulin Signaling:WP481
868	L	Insulin Signaling:WP481
57761	L	Insulin Signaling:WP481
867	L	Insulin Signaling:WP481
9448	L	Insulin Signaling:WP481
8660	L	Insulin Signaling:WP481
6195	L	Insulin Signaling:WP481
6196	L	Insulin Signaling:WP481
6197	L	Insulin Signaling:WP481
5792	L	Insulin Signaling:WP481
2353	L	Insulin Signaling:WP481
6198	L	Insulin Signaling:WP481
6199	L	Insulin Signaling:WP481
3636	L	Insulin Signaling:WP481
6810	L	Insulin Signaling:WP481
6813	L	Insulin Signaling:WP481
6812	L	Insulin Signaling:WP481
6814	L	Insulin Signaling:WP481
5290	L	Insulin Signaling:WP481
3631	L	Insulin Signaling:WP481
5880	L	Insulin Signaling:WP481
5213	L	Insulin Signaling:WP481
5211	L	Insulin Signaling:WP481
5728	L	Insulin Signaling:WP481
6416	L	Insulin Signaling:WP481
10938	L	Insulin Signaling:WP481
115703	L	Insulin Signaling:WP481
10487	L	Insulin Signaling:WP481
5289	L	Insulin Signaling:WP481
5288	L	Insulin Signaling:WP481
207	L	Insulin Signaling:WP481
5167	L	Insulin Signaling:WP481
208	L	Insulin Signaling:WP481
5286	L	Insulin Signaling:WP481
23624	L	Insulin Signaling:WP481
1978	L	Insulin Signaling:WP481
1977	L	Insulin Signaling:WP481
27330	L	Insulin Signaling:WP481
6464	L	Insulin Signaling:WP481
2002	L	Insulin Signaling:WP481
9882	L	Insulin Signaling:WP481
6236	L	Insulin Signaling:WP481
57381	L	Insulin Signaling:WP481
5029	L	Nucleotide GPCRs:WP80
5028	L	Nucleotide GPCRs:WP80
140	L	Nucleotide GPCRs:WP80
2846	L	Nucleotide GPCRs:WP80
5030	L	Nucleotide GPCRs:WP80
5031	L	Nucleotide GPCRs:WP80
1241	L	Nucleotide GPCRs:WP80
10161	L	Nucleotide GPCRs:WP80
135	L	Nucleotide GPCRs:WP80
134	L	Nucleotide GPCRs:WP80
136	L	Nucleotide GPCRs:WP80
1738	L	TCA Cycle:WP78
6391	L	TCA Cycle:WP78
2271	L	TCA Cycle:WP78
1431	L	TCA Cycle:WP78
6392	L	TCA Cycle:WP78
3421	L	TCA Cycle:WP78
3420	L	TCA Cycle:WP78
50	L	TCA Cycle:WP78
4191	L	TCA Cycle:WP78
8801	L	TCA Cycle:WP78
8802	L	TCA Cycle:WP78
4967	L	TCA Cycle:WP78
1743	L	TCA Cycle:WP78
6389	L	TCA Cycle:WP78
6390	L	TCA Cycle:WP78
3418	L	TCA Cycle:WP78
3419	L	TCA Cycle:WP78
22801	L	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
775	L	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
