GeneID	Ensembl	Pathway
ENSG00000118640	En	SNARE interactions in vesicular transport:KEGG-hsa04130
ENSG00000090776	En	Axon guidance:KEGG-hsa04360
ENSG00000227277	En	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000213585	En	Calcium signaling pathway:KEGG-hsa04020
ENSG00000213585	En	Huntington's disease:KEGG-hsa05016
ENSG00000213585	En	Parkinson's disease:KEGG-hsa05012
ENSG00000138696	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000138696	En	TGF-beta signaling pathway:KEGG-hsa04350
ENSG00000138346	En	DNA replication:KEGG-hsa03030
ENSG00000014216	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000014216	En	Apoptosis:KEGG-hsa04210
ENSG00000014216	En	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000077348	En	RNA degradation:KEGG-hsa03018
ENSG00000235966	En	Olfactory transduction:KEGG-hsa04740
ENSG00000278074	En	Antigen processing and presentation:KEGG-hsa04612
ENSG00000278074	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000278079	En	Antigen processing and presentation:KEGG-hsa04612
ENSG00000278079	En	Graft-versus-host disease:KEGG-hsa05332
ENSG00000278079	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000100519	En	Proteasome:KEGG-hsa03050
ENSG00000162337	En	Wnt signaling pathway:KEGG-hsa04310
ENSG00000066427	En	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000198899	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000198899	En	Huntington's disease:KEGG-hsa05016
ENSG00000198899	En	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000198899	En	Parkinson's disease:KEGG-hsa05012
ENSG00000108064	En	Huntington's disease:KEGG-hsa05016
ENSG00000165879	En	Wnt signaling pathway:KEGG-hsa04310
ENSG00000204174	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000181939	En	Olfactory transduction:KEGG-hsa04740
ENSG00000178372	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000178372	En	Calcium signaling pathway:KEGG-hsa04020
ENSG00000178372	En	Gastric acid secretion:KEGG-hsa04971
ENSG00000178372	En	Glioma:KEGG-hsa05214
ENSG00000178372	En	GnRH signaling pathway:KEGG-hsa04912
ENSG00000178372	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000178372	En	Long-term potentiation:KEGG-hsa04720
ENSG00000178372	En	Melanogenesis:KEGG-hsa04916
ENSG00000178372	En	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000178372	En	Olfactory transduction:KEGG-hsa04740
ENSG00000178372	En	Oocyte meiosis:KEGG-hsa04114
ENSG00000178372	En	Phosphatidylinositol signaling system:KEGG-hsa04070
ENSG00000178372	En	Phototransduction:KEGG-hsa04744
ENSG00000178372	En	Salivary secretion:KEGG-hsa04970
ENSG00000178372	En	Tuberculosis:KEGG-hsa05152
ENSG00000178372	En	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000181935	En	Olfactory transduction:KEGG-hsa04740
