Source Identifier	SystemCode	ME	NA
ENSG00000006625	GGCT	turquoise	En
ENSG00000100031	GGT1	turquoise	En
ENSG00000099998	GGT5	turquoise	En
ENSG00000152661	GJA1	turquoise	En
ENSG00000122694	GLIPR2	turquoise	En
ENSG00000135821	GLUL	turquoise	En
ENSG00000137198	GMPR	turquoise	En
ENSG00000114353	GNAI2	turquoise	En
ENSG00000065135	GNAI3	turquoise	En
ENSG00000087460	GNAS	turquoise	En
NA	GNB2L1	turquoise	En
ENSG00000114450	GNB4	turquoise	En
ENSG00000172380	GNG12	turquoise	En
ENSG00000173905	GOLIM4	turquoise	En
ENSG00000120053	GOT1	turquoise	En
ENSG00000167588	GPD1	turquoise	En
ENSG00000115159	GPD2	turquoise	En
ENSG00000171723	GPHN	turquoise	En
ENSG00000167468	GPX4	turquoise	En
ENSG00000030582	GRN	turquoise	En
ENSG00000104687	GSR	turquoise	En
ENSG00000213366	GSTM2	turquoise	En
ENSG00000134202	GSTM3	turquoise	En
ENSG00000163754	GYG1	turquoise	En
ENSG00000049239	H6PD	turquoise	En
ENSG00000138796	HADH	turquoise	En
ENSG00000084754	HADHA	turquoise	En
ENSG00000138029	HADHB	turquoise	En
ENSG00000063854	HAGH	turquoise	En
NA	HARS	turquoise	En
ENSG00000165478	HEPACAM	turquoise	En
ENSG00000106049	HIBADH	turquoise	En
ENSG00000198130	HIBCH	turquoise	En
NA	HIST1H2AJ	turquoise	En
NA	HIST1H2BH	turquoise	En
NA	HIST1H4A	turquoise	En
ENSG00000156515	HK1	turquoise	En
ENSG00000206503	HLA-A	turquoise	En
ENSG00000234745	HLA-B	turquoise	En
ENSG00000204287	HLA-DRA	turquoise	En
ENSG00000196126	HLA-DRB1	turquoise	En
ENSG00000150540	HNMT	turquoise	En
ENSG00000122566	HNRNPA2B1	turquoise	En
ENSG00000153187	HNRNPU	turquoise	En
ENSG00000072506	HSD17B10	turquoise	En
ENSG00000119471	HSDL2	turquoise	En
ENSG00000170606	HSPA4	turquoise	En
ENSG00000109971	HSPA8	turquoise	En
ENSG00000113013	HSPA9	turquoise	En
ENSG00000144381	HSPD1	turquoise	En
ENSG00000115541	HSPE1	turquoise	En
ENSG00000090339	ICAM1	turquoise	En
ENSG00000138413	IDH1	turquoise	En
ENSG00000182054	IDH2	turquoise	En
ENSG00000166411	IDH3A	turquoise	En
ENSG00000101365	IDH3B	turquoise	En
ENSG00000147255	IGSF1	turquoise	En
ENSG00000117154	IGSF21	turquoise	En
ENSG00000166333	ILK	turquoise	En
ENSG00000132305	IMMT	turquoise	En
ENSG00000068383	INPP5A	turquoise	En
ENSG00000105655	ISYNA1	turquoise	En
NA	ITFG3	turquoise	En
ENSG00000164171	ITGA2	turquoise	En
ENSG00000005884	ITGA3	turquoise	En
ENSG00000161638	ITGA5	turquoise	En
ENSG00000091409	ITGA6	turquoise	En
ENSG00000135424	ITGA7	turquoise	En
ENSG00000169896	ITGAM	turquoise	En
ENSG00000138448	ITGAV	turquoise	En
ENSG00000140678	ITGAX	turquoise	En
ENSG00000150093	ITGB1	turquoise	En
ENSG00000160255	ITGB2	turquoise	En
ENSG00000132470	ITGB4	turquoise	En
ENSG00000082781	ITGB5	turquoise	En
ENSG00000143772	ITPKB	turquoise	En
ENSG00000154721	JAM2	turquoise	En
NA	KARS	turquoise	En
ENSG00000177301	KCNA2	turquoise	En
ENSG00000069424	KCNAB2	turquoise	En
ENSG00000143603	KCNN3	turquoise	En
ENSG00000121774	KHDRBS1	turquoise	En
ENSG00000112769	LAMA4	turquoise	En
ENSG00000130702	LAMA5	turquoise	En
ENSG00000185896	LAMP1	turquoise	En
ENSG00000005893	LAMP2	turquoise	En
ENSG00000149357	LAMTOR1	turquoise	En
ENSG00000115365	LANCL1	turquoise	En
ENSG00000002549	LAP3	turquoise	En
ENSG00000134333	LDHA	turquoise	En
ENSG00000100097	LGALS1	turquoise	En
ENSG00000131981	LGALS3	turquoise	En
ENSG00000119862	LGALSL	turquoise	En
ENSG00000169756	LIMS1	turquoise	En
ENSG00000113441	LNPEP	turquoise	En
ENSG00000123384	LRP1	turquoise	En
ENSG00000185565	LSAMP	turquoise	En
ENSG00000105695	MAG	turquoise	En
ENSG00000189221	MAOA	turquoise	En
ENSG00000069535	MAOB	turquoise	En
ENSG00000166963	MAP1A	turquoise	En
ENSG00000131711	MAP1B	turquoise	En
ENSG00000078018	MAP2	turquoise	En
ENSG00000171533	MAP6	turquoise	En
ENSG00000186868	MAPT	turquoise	En
ENSG00000175130	MARCKSL1	turquoise	En
ENSG00000038274	MAT2B	turquoise	En
ENSG00000131844	MCCC2	turquoise	En
ENSG00000014641	MDH1	turquoise	En
ENSG00000082212	ME2	turquoise	En
ENSG00000140545	MFGE8	turquoise	En
NA	MFI2	turquoise	En
NA	MGEA5	turquoise	En
ENSG00000100427	MLC1	turquoise	En
NA	MLLT4	turquoise	En
ENSG00000079931	MOXD1	turquoise	En
ENSG00000178802	MPI	turquoise	En
ENSG00000128309	MPST	turquoise	En
ENSG00000260314	MRC1	turquoise	En
ENSG00000147065	MSN	turquoise	En
ENSG00000109919	MTCH2	turquoise	En
NA	MT-CO2	turquoise	En
ENSG00000198793	MTOR	turquoise	En
NA	MTSS1L	turquoise	En
ENSG00000128654	MTX2	turquoise	En
ENSG00000196586	MYO6	turquoise	En
ENSG00000138119	MYOF	turquoise	En
ENSG00000152620	NADK2	turquoise	En
ENSG00000105835	NAMPT	turquoise	En
ENSG00000020129	NCDN	turquoise	En
ENSG00000162736	NCSTN	turquoise	En
ENSG00000130414	NDUFA10	turquoise	En
ENSG00000186010	NDUFA13	turquoise	En
ENSG00000131495	NDUFA2	turquoise	En
ENSG00000128609	NDUFA5	turquoise	En
ENSG00000119421	NDUFA8	turquoise	En
ENSG00000139180	NDUFA9	turquoise	En
ENSG00000140990	NDUFB10	turquoise	En
ENSG00000147684	NDUFB9	turquoise	En
ENSG00000023228	NDUFS1	turquoise	En
ENSG00000158864	NDUFS2	turquoise	En
ENSG00000213619	NDUFS3	turquoise	En
ENSG00000168653	NDUFS5	turquoise	En
ENSG00000145494	NDUFS6	turquoise	En
ENSG00000167792	NDUFV1	turquoise	En
ENSG00000178127	NDUFV2	turquoise	En
ENSG00000184117	NIPSNAP1	turquoise	En
ENSG00000136783	NIPSNAP3A	turquoise	En
ENSG00000011052	NME1-NME2	turquoise	En
ENSG00000136448	NMT1	turquoise	En
