Source Identifier	SystemCode	ME	NA
ENSG00000139641	ESYT1	black	En
ENSG00000105379	ETFB	black	En
NA	FAM126B	black	En
NA	FAM49A	black	En
NA	FAM49B	black	En
ENSG00000152767	FARP1	black	En
ENSG00000169710	FASN	black	En
ENSG00000091483	FH	black	En
ENSG00000172500	FIBP	black	En
ENSG00000004478	FKBP4	black	En
ENSG00000136068	FLNB	black	En
ENSG00000260230	FRRS1L	black	En
ENSG00000075618	FSCN1	black	En
ENSG00000105255	FSD1	black	En
ENSG00000167996	FTH1	black	En
ENSG00000010810	FYN	black	En
ENSG00000204681	GABBR1	black	En
ENSG00000136928	GABBR2	black	En
ENSG00000172020	GAP43	black	En
ENSG00000007237	GAS7	black	En
ENSG00000119125	GDA	black	En
ENSG00000131067	GGT7	black	En
ENSG00000108262	GIT1	black	En
ENSG00000148672	GLUD1	black	En
ENSG00000100938	GMPR2	black	En
ENSG00000163655	GMPS	black	En
ENSG00000127955	GNAI1	black	En
ENSG00000087258	GNAO1	black	En
ENSG00000128266	GNAZ	black	En
ENSG00000078369	GNB1	black	En
ENSG00000172354	GNB2	black	En
ENSG00000069966	GNB5	black	En
ENSG00000186469	GNG2	black	En
ENSG00000176533	GNG7	black	En
ENSG00000204590	GNL1	black	En
ENSG00000125166	GOT2	black	En
ENSG00000152642	GPD1L	black	En
ENSG00000105220	GPI	black	En
ENSG00000150625	GPM6A	black	En
ENSG00000151025	GPR158	black	En
ENSG00000169258	GPRIN1	black	En
ENSG00000169727	GPS1	black	En
ENSG00000233276	GPX1	black	En
ENSG00000177885	GRB2	black	En
ENSG00000137106	GRHPR	black	En
ENSG00000164082	GRM2	black	En
ENSG00000198822	GRM3	black	En
ENSG00000105723	GSK3A	black	En
ENSG00000103342	GSPT1	black	En
ENSG00000084207	GSTP1	black	En
NA	GUCY1B3	black	En
ENSG00000223609	HBD	black	En
ENSG00000143321	HDGF	black	En
ENSG00000185359	HGS	black	En
ENSG00000169567	HINT1	black	En
ENSG00000103415	HMOX2	black	En
ENSG00000092199	HNRNPC	black	En
ENSG00000152413	HOMER1	black	En
ENSG00000121905	HPCA	black	En
ENSG00000115756	HPCAL1	black	En
ENSG00000116983	HPCAL4	black	En
ENSG00000165704	HPRT1	black	En
ENSG00000110169	HPX	black	En
ENSG00000174775	HRAS	black	En
ENSG00000096384	HSP90AB1	black	En
ENSG00000165868	HSPA12A	black	En
ENSG00000204388	HSPA1B	black	En
ENSG00000126803	HSPA2	black	En
ENSG00000164070	HSPA4L	black	En
ENSG00000106211	HSPB1	black	En
ENSG00000120694	HSPH1	black	En
ENSG00000197386	HTT	black	En
ENSG00000105376	ICAM5	black	En
ENSG00000162729	IGSF8	black	En
ENSG00000143621	ILF2	black	En
ENSG00000129351	ILF3	black	En
ENSG00000065150	IPO5	black	En
ENSG00000144711	IQSEC1	black	En
ENSG00000167378	IRGQ	black	En
ENSG00000182149	IST1	black	En
ENSG00000213949	ITGA1	black	En
ENSG00000166086	JAM3	black	En
ENSG00000183775	KCTD16	black	En
ENSG00000135709	KIAA0513	black	En
NA	KIAA1045	black	En
NA	KIAA1107	black	En
NA	KIAA1468	black	En
NA	KIAA1598	black	En
ENSG00000130294	KIF1A	black	En
ENSG00000139116	KIF21A	black	En
ENSG00000068796	KIF2A	black	En
ENSG00000168280	KIF5C	black	En
ENSG00000126214	KLC1	black	En
ENSG00000186432	KPNA4	black	En
ENSG00000108424	KPNB1	black	En
ENSG00000196569	LAMA2	black	En
ENSG00000172037	LAMB2	black	En
ENSG00000135862	LAMC1	black	En
ENSG00000132434	LANCL2	black	En
ENSG00000002834	LASP1	black	En
ENSG00000205629	LCMT1	black	En
ENSG00000136167	LCP1	black	En
ENSG00000108679	LGALS3BP	black	En
ENSG00000107902	LHPP	black	En
ENSG00000160789	LMNA	black	En
NA	LRRC16A	black	En
ENSG00000066557	LRRC40	black	En
ENSG00000130764	LRRC47	black	En
ENSG00000180979	LRRC57	black	En
ENSG00000148356	LRSAM1	black	En
ENSG00000163818	LZTFL1	black	En
ENSG00000172264	MACROD2	black	En
ENSG00000110514	MADD	black	En
ENSG00000187391	MAGI2	black	En
ENSG00000130479	MAP1S	black	En
ENSG00000169032	MAP2K1	black	En
ENSG00000065559	MAP2K4	black	En
ENSG00000047849	MAP4	black	En
ENSG00000109339	MAPK10	black	En
ENSG00000138834	MAPK8IP3	black	En
ENSG00000166974	MAPRE2	black	En
ENSG00000084764	MAPRE3	black	En
ENSG00000116141	MARK1	black	En
ENSG00000076706	MCAM	black	En
ENSG00000232119	MCTS1	black	En
ENSG00000146701	MDH2	black	En
ENSG00000065833	ME1	black	En
ENSG00000074416	MGLL	black	En
ENSG00000179832	MROH1	black	En
ENSG00000099810	MTAP	black	En
ENSG00000063601	MTMR1	black	En
ENSG00000105887	MTPN	black	En
ENSG00000013364	MVP	black	En
ENSG00000095380	NANS	black	En
ENSG00000105402	NAPA	black	En
ENSG00000125814	NAPB	black	En
ENSG00000134265	NAPG	black	En
ENSG00000104490	NCALD	black	En
ENSG00000071051	NCK2	black	En
ENSG00000111912	NCOA7	black	En
ENSG00000107130	NCS1	black	En
ENSG00000166579	NDEL1	black	En
ENSG00000101079	NDRG3	black	En
ENSG00000123119	NECAB1	black	En
ENSG00000103154	NECAB2	black	En
ENSG00000089818	NECAP1	black	En
ENSG00000067141	NEO1	black	En
ENSG00000163531	NFASC	black	En
ENSG00000116962	NID1	black	En
ENSG00000010322	NISCH	black	En
ENSG00000158793	NIT1	black	En
ENSG00000156642	NPTN	black	En
ENSG00000124785	NRN1	black	En
ENSG00000073969	NSF	black	En
ENSG00000088833	NSFL1C	black	En
ENSG00000196358	NTNG2	black	En
