Source Identifier	SystemCode	ME	NA
ENSG00000162517	PEF1	green	En
ENSG00000178921	PFAS	green	En
ENSG00000152556	PFKM	green	En
ENSG00000108518	PFN1	green	En
ENSG00000102144	PGK1	green	En
ENSG00000101856	PGRMC1	green	En
ENSG00000067225	PKM	green	En
ENSG00000105355	PLIN3	green	En
ENSG00000164050	PLXNB1	green	En
ENSG00000196576	PLXNB2	green	En
ENSG00000105854	PON2	green	En
ENSG00000166794	PPIB	green	En
ENSG00000167815	PRDX2	green	En
ENSG00000123131	PRDX4	green	En
ENSG00000108946	PRKAR1A	green	En
ENSG00000154229	PRKCA	green	En
ENSG00000130175	PRKCSH	green	En
ENSG00000253729	PRKDC	green	En
NA	PROSC	green	En
ENSG00000100567	PSMA3	green	En
ENSG00000008018	PSMB1	green	En
ENSG00000100804	PSMB5	green	En
ENSG00000132670	PTPRA	green	En
ENSG00000081237	PTPRC	green	En
ENSG00000100504	PYGL	green	En
ENSG00000154917	RAB6B	green	En
ENSG00000196642	RABL6	green	En
ENSG00000049449	RCN1	green	En
ENSG00000117906	RCN2	green	En
ENSG00000131378	RFTN1	green	En
ENSG00000198755	RPL10A	green	En
ENSG00000167526	RPL13	green	En
ENSG00000188846	RPL14	green	En
ENSG00000174748	RPL15	green	En
ENSG00000105640	RPL18A	green	En
ENSG00000198242	RPL23A	green	En
ENSG00000100316	RPL3	green	En
ENSG00000174444	RPL4	green	En
ENSG00000089009	RPL6	green	En
ENSG00000147604	RPL7	green	En
ENSG00000148303	RPL7A	green	En
ENSG00000161016	RPL8	green	En
ENSG00000089157	RPLP0	green	En
ENSG00000177600	RPLP2	green	En
ENSG00000163902	RPN1	green	En
ENSG00000118705	RPN2	green	En
ENSG00000142937	RPS8	green	En
ENSG00000170889	RPS9	green	En
ENSG00000175792	RUVBL1	green	En
ENSG00000183207	RUVBL2	green	En
ENSG00000211456	SACM1L	green	En
ENSG00000079332	SAR1A	green	En
ENSG00000149257	SERPINH1	green	En
ENSG00000198478	SH3BGRL2	green	En
ENSG00000089006	SNX5	green	En
ENSG00000137642	SORL1	green	En
ENSG00000075142	SRI	green	En
ENSG00000103496	STX4	green	En
ENSG00000116266	STXBP3	green	En
ENSG00000120708	TGFBI	green	En
ENSG00000170348	TMED10	green	En
ENSG00000086598	TMED2	green	En
ENSG00000184840	TMED9	green	En
ENSG00000170876	TMEM43	green	En
ENSG00000128872	TMOD2	green	En
ENSG00000102804	TSC22D1	green	En
ENSG00000117862	TXNDC12	green	En
ENSG00000239264	TXNDC5	green	En
ENSG00000136731	UGGT1	green	En
ENSG00000169764	UGP2	green	En
ENSG00000026025	VIM	green	En
ENSG00000071127	WDR1	green	En
ENSG00000082898	XPO1	green	En
ENSG00000079246	XRCC5	green	En
ENSG00000196419	XRCC6	green	En
ENSG00000084073	ZMPSTE24	green	En
