GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000087460	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	ENSG00000087460	Chagas disease (American trypanosomiasis):KEGG-hsa05142	Chagas disease (American trypanosomiasis):KEGG-hsa05142	GNAS	yellow	En
ENSG00000065135	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:4387]	ENSG00000065135	Chagas disease (American trypanosomiasis):KEGG-hsa05142	Chagas disease (American trypanosomiasis):KEGG-hsa05142	GNAI3	yellow	En
ENSG00000156052	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide [Source:HGNC Symbol;Acc:HGNC:4390]	ENSG00000156052	Chagas disease (American trypanosomiasis):KEGG-hsa05142	Chagas disease (American trypanosomiasis):KEGG-hsa05142	GNAQ	yellow	En
ENSG00000090339	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	ENSG00000090339	Staphylococcus aureus infection:KEGG-hsa05150	Staphylococcus aureus infection:KEGG-hsa05150	ICAM1	yellow	En
ENSG00000150337	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64) [Source:HGNC Symbol;Acc:HGNC:3613]	ENSG00000150337	Staphylococcus aureus infection:KEGG-hsa05150	Staphylococcus aureus infection:KEGG-hsa05150	FCGR1A	yellow	En
ENSG00000160255	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6155]	ENSG00000160255	Staphylococcus aureus infection:KEGG-hsa05150	Staphylococcus aureus infection:KEGG-hsa05150	ITGB2	yellow	En
ENSG00000244731	C4A	complement component 4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]	ENSG00000244731	Staphylococcus aureus infection:KEGG-hsa05150	Staphylococcus aureus infection:KEGG-hsa05150	C4A	yellow	En
ENSG00000204287	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	ENSG00000204287	Staphylococcus aureus infection:KEGG-hsa05150	Staphylococcus aureus infection:KEGG-hsa05150	HLA-DRA	yellow	En
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	ENSG00000196126	Staphylococcus aureus infection:KEGG-hsa05150	Staphylococcus aureus infection:KEGG-hsa05150	HLA-DRB1	yellow	En
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	ENSG00000164171	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGA2	yellow	En
ENSG00000135424	ITGA7	integrin, alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	ENSG00000135424	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGA7	yellow	En
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]	ENSG00000005884	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGA3	yellow	En
ENSG00000161638	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6141]	ENSG00000161638	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGA5	yellow	En
ENSG00000132470	ITGB4	integrin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	ENSG00000132470	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGB4	yellow	En
ENSG00000082781	ITGB5	integrin, beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	ENSG00000082781	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGB5	yellow	En
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	ENSG00000150093	Dilated cardiomyopathy:KEGG-hsa05414	Dilated cardiomyopathy:KEGG-hsa05414	ITGB1	yellow	En
