GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000120063	GNA13	guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	ENSG00000120063	GO:0060089	molecular transducer activity	GNA13	yellow	En
ENSG00000067141	NEO1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]	ENSG00000067141	GO:0060089	molecular transducer activity	NEO1	yellow	En
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	ENSG00000196126	GO:0060089	molecular transducer activity	HLA-DRB1	yellow	En
ENSG00000213366	GSTM2	glutathione S-transferase mu 2 (muscle) [Source:HGNC Symbol;Acc:HGNC:4634]	ENSG00000213366	GO:0003012	muscle system process	GSTM2	yellow	En
ENSG00000152818	UTRN	utrophin [Source:HGNC Symbol;Acc:HGNC:12635]	ENSG00000152818	GO:0003012	muscle system process	UTRN	yellow	En
ENSG00000172164	SNTB1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1) [Source:HGNC Symbol;Acc:HGNC:11168]	ENSG00000172164	GO:0003012	muscle system process	SNTB1	yellow	En
ENSG00000137076	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	ENSG00000137076	GO:0003012	muscle system process	TLN1	yellow	En
ENSG00000095637	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	ENSG00000095637	GO:0003012	muscle system process	SORBS1	yellow	En
ENSG00000082781	ITGB5	integrin, beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	ENSG00000082781	GO:0003012	muscle system process	ITGB5	yellow	En
ENSG00000164708	PGAM2	phosphoglycerate mutase 2 (muscle) [Source:HGNC Symbol;Acc:HGNC:8889]	ENSG00000164708	GO:0003012	muscle system process	PGAM2	yellow	En
ENSG00000152661	GJA1	gap junction protein, alpha 1, 43kDa [Source:HGNC Symbol;Acc:HGNC:4274]	ENSG00000152661	GO:0003012	muscle system process	GJA1	yellow	En
ENSG00000134769	DTNA	dystrobrevin, alpha [Source:HGNC Symbol;Acc:HGNC:3057]	ENSG00000134769	GO:0003012	muscle system process	DTNA	yellow	En
ENSG00000164050	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	ENSG00000164050	GO:0001503	ossification	PLXNB1	yellow	En
ENSG00000087460	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	ENSG00000087460	GO:0001503	ossification	GNAS	yellow	En
ENSG00000108821	COL1A1	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]	ENSG00000108821	GO:0001503	ossification	COL1A1	yellow	En
ENSG00000046653	GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]	ENSG00000046653	GO:0001503	ossification	GPM6B	yellow	En
ENSG00000171885	AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	ENSG00000171885	GO:0003014	renal system process	AQP4	yellow	En
ENSG00000152661	GJA1	gap junction protein, alpha 1, 43kDa [Source:HGNC Symbol;Acc:HGNC:4274]	ENSG00000152661	GO:0003014	renal system process	GJA1	yellow	En
ENSG00000196139	AKR1C3	aldo-keto reductase family 1, member C3 [Source:HGNC Symbol;Acc:HGNC:386]	ENSG00000196139	GO:0003014	renal system process	AKR1C3	yellow	En
ENSG00000109501	WFS1	Wolfram syndrome 1 (wolframin) [Source:HGNC Symbol;Acc:HGNC:12762]	ENSG00000109501	GO:0003014	renal system process	WFS1	yellow	En
ENSG00000206503	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	ENSG00000206503	GO:0031341	regulation of cell killing	HLA-A	yellow	En
ENSG00000081237	PTPRC	protein tyrosine phosphatase, receptor type, C [Source:HGNC Symbol;Acc:HGNC:9666]	ENSG00000081237	GO:0031341	regulation of cell killing	PTPRC	yellow	En
ENSG00000090339	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	ENSG00000090339	GO:0031341	regulation of cell killing	ICAM1	yellow	En
ENSG00000185896	LAMP1	lysosomal-associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	ENSG00000185896	GO:0031341	regulation of cell killing	LAMP1	yellow	En
ENSG00000147065	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	ENSG00000147065	GO:0061028	establishment of endothelial barrier	MSN	yellow	En
