GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000114302	PRKAR2A	protein kinase, cAMP-dependent, regulatory, type II, alpha [Source:HGNC Symbol;Acc:HGNC:9391]	4	0.25	ENSG00000114302	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // miRs in Muscle Cell Differentiation:WP2012
ENSG00000099942	CRKL	v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:HGNC Symbol;Acc:HGNC:2363]	4	0.25	ENSG00000099942	TCR Signaling Pathway:WP69 // B Cell Receptor Signaling Pathway:WP23 // IL-3 Signaling Pathway:WP286 // EGF/EGFR Signaling Pathway:WP437
ENSG00000078369	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4396]	4	0.25	ENSG00000078369	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // Nicotine Activity on Dopaminergic Neurons:WP1602
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]	4	0.25	ENSG00000005249	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // miRs in Muscle Cell Differentiation:WP2012
ENSG00000186469	GNG2	guanine nucleotide binding protein (G protein), gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]	3	0.1875	ENSG00000186469	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // Nicotine Activity on Dopaminergic Neurons:WP1602
ENSG00000176533	GNG7	guanine nucleotide binding protein (G protein), gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]	3	0.1875	ENSG00000176533	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35
ENSG00000172354	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4398]	3	0.1875	ENSG00000172354	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35
ENSG00000170027	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma [Source:HGNC Symbol;Acc:HGNC:12852]	3	0.1875	ENSG00000170027	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // Cell Cycle:WP179
ENSG00000164924	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta [Source:HGNC Symbol;Acc:HGNC:12855]	3	0.1875	ENSG00000164924	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // Cell Cycle:WP179
ENSG00000164742	ADCY1	adenylate cyclase 1 (brain) [Source:HGNC Symbol;Acc:HGNC:232]	3	0.1875	ENSG00000164742	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35
ENSG00000128245	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta [Source:HGNC Symbol;Acc:HGNC:12853]	3	0.1875	ENSG00000128245	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // Cell Cycle:WP179
ENSG00000127955	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4384]	3	0.1875	ENSG00000127955	Calcium Regulation in the Cardiac Cell:WP536 // G Protein Signaling Pathways:WP35 // Nicotine Activity on Dopaminergic Neurons:WP1602
ENSG00000108953	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	3	0.1875	ENSG00000108953	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // Cell Cycle:WP179
ENSG00000069966	GNB5	guanine nucleotide binding protein (G protein), beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	3	0.1875	ENSG00000069966	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	3	0.1875	ENSG00000010810	TCR Signaling Pathway:WP69 // B Cell Receptor Signaling Pathway:WP23 // IL-3 Signaling Pathway:WP286
ENSG00000196961	AP2A1	adaptor-related protein complex 2, alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:561]	2	0.125	ENSG00000196961	Synaptic Vesicle Pathway:WP2267 // EGF/EGFR Signaling Pathway:WP437
