GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000177105	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	8	0.064	ENSG00000177105	GTPase activity // neuron projection guidance // intracellular signal transduction // positive regulation of GTPase activity // guanosine-containing compound catabolic process // guanyl nucleotide binding // regulation of signaling // regulation of cell communication
ENSG00000176788	BASP1	brain abundant, membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	8	0.064	ENSG00000176788	cell junction // COP9 signalosome // transcription corepressor activity // protein domain specific binding // nuclear body // positive regulation of developmental growth // cytoplasm // neuron part
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	8	0.064	ENSG00000166501	protein kinase binding // intracellular signal transduction // synaptic transmission // regulation of signaling // regulation of cell communication // cytoplasm // divalent inorganic cation transport // channel regulator activity
ENSG00000152932	RAB3C	RAB3C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30269]	8	0.064	ENSG00000152932	GTPase activity // intracellular signal transduction // guanosine-containing compound catabolic process // perinuclear region of cytoplasm // guanyl nucleotide binding // cytoplasm // synapse part // regulation of exocytosis
ENSG00000144635	DYNC1LI1	dynein, cytoplasmic 1, light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	8	0.064	ENSG00000144635	spindle pole // microtubule motor activity // microtubule // microtubule associated complex // cytoplasm // cell cycle process // kinetochore // microtubule-based process
ENSG00000141522	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha [Source:HGNC Symbol;Acc:HGNC:678]	8	0.064	ENSG00000141522	intracellular signal transduction // positive regulation of GTPase activity // regulation of signaling // regulation of cell communication // cytoplasm // nucleoside-triphosphatase regulator activity // enzyme activator activity // neurotrophin signaling pathway
ENSG00000138443	ABI2	abl-interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]	8	0.064	ENSG00000138443	cell junction // protein domain specific binding // binding, bridging // filopodium // intracellular signal transduction // cytoplasm // ubiquitin-like protein ligase binding // neuron part
ENSG00000133216	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	8	0.064	ENSG00000133216	dendritic spine organization // neuron projection guidance // corpus callosum development // neuron projection morphogenesis // regulation of signaling // regulation of cell communication // neuron part // nervous system development
ENSG00000130294	KIF1A	kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888]	8	0.064	ENSG00000130294	microtubule motor activity // microtubule // microtubule associated complex // cytoplasm // cytoskeleton-dependent intracellular transport // neuron part // tubulin binding // microtubule-based process
ENSG00000127824	TUBA4A	tubulin, alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	8	0.064	ENSG00000127824	GTPase activity // guanosine-containing compound catabolic process // cell cycle // guanyl nucleotide binding // microtubule // 'de novo' posttranslational protein folding // cell cycle process // microtubule-based process
ENSG00000123416	TUBA1B	tubulin, alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]	8	0.064	ENSG00000123416	GTPase activity // guanosine-containing compound catabolic process // guanyl nucleotide binding // microtubule // 'de novo' posttranslational protein folding // cytoskeleton-dependent intracellular transport // cell division // microtubule-based process
ENSG00000115252	PDE1A	phosphodiesterase 1A, calmodulin-dependent [Source:HGNC Symbol;Acc:HGNC:8774]	8	0.064	ENSG00000115252	ERBB signaling pathway // guanyl nucleotide binding // cGMP metabolic process // cytoplasm // neurotrophin signaling pathway // neuron part // fibroblast growth factor receptor signaling pathway // Golgi vesicle transport
ENSG00000108861	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	8	0.064	ENSG00000108861	protein dephosphorylation // intracellular signal transduction // regulation of protein serine/threonine kinase activity // phosphoprotein phosphatase activity // regulation of signaling // regulation of cell communication // negative regulation of phosphorus metabolic process // neurotrophin signaling pathway
ENSG00000108262	GIT1	G protein-coupled receptor kinase interacting ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	8	0.064	ENSG00000108262	cell junction // positive regulation of GTPase activity // regulation of signaling // regulation of cell communication // cytoplasm // nucleoside-triphosphatase regulator activity // enzyme activator activity // inclusion body
ENSG00000105402	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha [Source:HGNC Symbol;Acc:HGNC:7641]	8	0.064	ENSG00000105402	SNARE binding // synaptic transmission // regulation of signaling // regulation of cell communication // regulation of exocytosis // SNARE complex // neuron differentiation // Golgi vesicle transport
ENSG00000076864	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	8	0.064	ENSG00000076864	GTPase activity // positive regulation of GTPase activity // regulation of Rap GTPase activity // guanosine-containing compound catabolic process // regulation of signaling // regulation of cell communication // nucleoside-triphosphatase regulator activity // enzyme activator activity
ENSG00000074319	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	8	0.064	ENSG00000074319	transcription corepressor activity // endosomal transport // cytoplasm // regulation of cell growth // ubiquitin-like protein binding // ubiquitin-like protein ligase binding // cell cycle process // cell division
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	8	0.064	ENSG00000065559	regulation of neuron apoptotic process // protein kinase binding // MAP kinase kinase activity // intracellular signal transduction // regulation of protein serine/threonine kinase activity // regulation of signaling // regulation of cell communication // neuron part
ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]	8	0.064	ENSG00000046889	Ras guanyl-nucleotide exchange factor activity // intracellular signal transduction // positive regulation of GTPase activity // neuron projection morphogenesis // regulation of signaling // regulation of cell communication // nucleoside-triphosphatase regulator activity // enzyme activator activity
ENSG00000011485	PPP5C	protein phosphatase 5, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]	8	0.064	ENSG00000011485	protein dephosphorylation // response to isoquinoline alkaloid // phosphoprotein phosphatase activity // regulation of signaling // regulation of cell communication // cytoplasm // cell cycle process // neuron part
ENSG00000221823	PPP3R1	protein phosphatase 3, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	7	0.056	ENSG00000221823	protein domain specific binding // intracellular signal transduction // phosphoprotein phosphatase activity // regulation of signaling // regulation of cell communication // regulation of establishment of protein localization to mitochondrion // phosphatase complex
ENSG00000204681	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1 [Source:HGNC Symbol;Acc:HGNC:4070]	7	0.056	ENSG00000204681	cell junction // G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger // synaptic transmission // cytoplasm // negative regulation of phosphorus metabolic process // synapse part // neuron part
ENSG00000197959	DNM3	dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]	7	0.056	ENSG00000197959	GTPase activity // guanosine-containing compound catabolic process // perinuclear region of cytoplasm // guanyl nucleotide binding // microtubule // synapse part // neuron part
ENSG00000172757	CFL1	cofilin 1 (non-muscle) [Source:HGNC Symbol;Acc:HGNC:1874]	7	0.056	ENSG00000172757	cell junction // neuron projection guidance // intracellular signal transduction // positive regulation of protein complex disassembly // cytoplasm // cell cycle process // protein depolymerization
ENSG00000168993	CPLX1	complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]	7	0.056	ENSG00000168993	establishment of vesicle localization // SNARE binding // synaptic transmission // synapse // SNARE complex // neuron part // glutamate secretion
ENSG00000164742	ADCY1	adenylate cyclase 1 (brain) [Source:HGNC Symbol;Acc:HGNC:232]	7	0.056	ENSG00000164742	ERBB signaling pathway // intracellular signal transduction // G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger // neuron projection morphogenesis // synaptic transmission // neurotrophin signaling pathway // fibroblast growth factor receptor signaling pathway
ENSG00000158856	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	7	0.056	ENSG00000158856	intracellular signal transduction // perinuclear region of cytoplasm // spectrin binding // regulation of signaling // regulation of cell communication // negative regulation of phosphorus metabolic process // actin filament bundle assembly
ENSG00000144118	RALB	v-ral simian leukemia viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9840]	7	0.056	ENSG00000144118	GTPase activity // intracellular signal transduction // guanosine-containing compound catabolic process // guanyl nucleotide binding // regulation of exocytosis // cell cycle process // neurotrophin signaling pathway
ENSG00000137267	TUBB2A	tubulin, beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	7	0.056	ENSG00000137267	GTPase activity // guanosine-containing compound catabolic process // guanyl nucleotide binding // microtubule // cytoplasm // 'de novo' posttranslational protein folding // microtubule-based process
